,0
0,5
1,4
2,5
3,6
4,6
5,6
6,8
7,7
8,17
9,14
10,15
11,14
12,11
13,11
14,25
15,21
16,20
17,19
18,23
19,22
20,24
21,35
22,44
23,41
24,50
25,33
26,35
27,44
28,40
29,49
30,66
31,64
32,52
33,45
34,40
35,49
36,55
37,39
38,40
39,44
40,36
41,45
42,35
43,37
44,28
45,26
46,29
47,26
48,27
49,39
50,37
51,35
52,39
53,34
54,50
55,51
56,64
57,59
58,40
59,52
60,44
61,41
62,35
63,37
64,33
65,29
66,32
67,27
68,30
69,27
70,19
71,20
72,16
73,19
74,22
75,20
76,21
77,18
78,25
79,17
80,25
81,27
82,22
83,15
84,32
85,21
86,26
87,18
88,14
89,14
90,14
91,24
92,23
93,16
94,20
95,14
96,14
97,15
98,17
99,15
100,14
101,19
102,6
103,8
104,11
105,7
106,6
107,10
108,7
109,8
110,8
111,10
112,6
113,10
114,2
115,3
116,3
117,8
118,7
119,5
120,8
121,2
122,4
123,2
124,0
125,3
126,4
127,7
128,5
129,4
130,6
131,4
132,4
133,3
134,4
135,6
136,6
137,3
138,5
139,4
140,3
141,8
142,5
143,5
144,1
145,0
146,4
147,2
148,3
149,2
150,2
151,3
152,2
153,4
154,6
155,1
156,1
157,1
158,2
159,1
160,4
161,5
162,5
163,2
164,2
165,3
166,3
167,5
168,1
169,2
170,4
171,1
172,4
173,3
174,5
175,4
176,2
177,6
178,5
179,2
180,2
181,2
182,4
183,1
184,2
185,2
186,4
187,0
188,2
189,0
190,3
191,3
192,4
193,4
194,3
195,2
196,4
197,4
198,6
199,0
200,1
201,2
202,2
203,4
204,1
205,2
206,0
207,2
208,1
209,0
210,0
211,0
212,2
213,1
214,1
215,2
216,1
217,3
218,0
219,1
220,3
221,4
222,3
