,0
0,6
1,6
2,7
3,5
4,7
5,7
6,8
7,7
8,9
9,10
10,14
11,15
12,21
13,22
14,18
15,22
16,24
17,27
18,32
19,37
20,26
21,24
22,23
23,22
24,21
25,22
26,24
27,28
28,23
29,24
30,26
31,33
32,38
33,42
34,50
35,55
36,63
37,57
38,73
39,75
40,71
41,73
42,95
43,94
44,101
45,101
46,97
47,108
48,108
49,116
50,95
51,112
52,113
53,123
54,135
55,139
56,133
57,110
58,114
59,132
60,151
61,171
62,176
63,176
64,178
65,171
66,193
67,198
68,231
69,232
70,243
71,247
72,263
73,297
74,314
75,352
76,397
77,371
78,400
79,452
80,473
81,527
82,549
83,623
84,587
85,590
86,583
87,576
88,599
89,551
90,577
91,557
92,573
93,548
94,490
95,491
96,526
97,519
98,467
99,470
100,451
101,429
102,430
103,444
104,444
105,423
106,393
107,385
108,350
109,369
110,401
111,391
112,384
113,379
114,345
115,327
116,297
117,277
118,276
119,262
120,241
121,210
122,191
123,187
124,177
125,177
126,154
127,152
128,141
129,133
130,132
131,124
132,119
133,122
134,113
135,116
136,104
137,103
138,114
139,118
140,120
141,119
142,111
143,107
144,106
145,102
146,100
147,100
148,106
149,116
150,108
151,100
152,43
153,101
154,98
155,106
156,93
157,86
158,93
159,93
160,88
161,100
162,97
163,97
164,101
165,104
166,83
167,84
168,79
169,74
170,62
171,57
