,0
0,7
1,8
2,10
3,4
4,5
5,8
6,5
7,5
8,10
9,4
10,9
11,10
12,13
13,12
14,14
15,15
16,10
17,13
18,12
19,10
20,10
21,7
22,7
23,21
24,21
25,18
26,24
27,23
28,24
29,33
30,42
31,42
32,52
33,43
34,54
35,37
36,53
37,62
38,67
39,71
40,81
41,89
42,100
43,107
44,110
45,126
46,136
47,142
48,175
49,190
50,193
51,196
52,216
53,281
54,302
55,302
56,351
57,360
58,398
59,415
60,393
61,395
62,413
63,413
64,406
65,447
66,421
67,376
68,377
69,385
70,368
71,355
72,350
73,347
74,334
75,333
76,354
77,341
78,336
79,366
80,373
81,367
82,354
83,370
84,401
85,414
86,444
87,429
88,391
89,388
90,377
91,361
92,336
93,304
94,269
95,235
96,234
97,234
98,211
99,199
100,183
101,158
102,130
103,119
104,125
105,135
106,118
107,107
108,108
109,104
110,84
111,81
112,78
113,60
114,63
115,61
116,65
117,67
118,55
119,51
120,52
121,56
122,62
123,52
124,55
125,46
126,48
127,41
128,50
129,43
130,42
131,37
132,34
133,37
134,30
135,31
136,37
137,38
138,34
139,41
140,42
141,44
142,39
143,30
144,28
145,32
146,35
147,32
148,37
149,30
150,32
151,34
152,29
153,40
154,41
155,27
156,31
157,36
158,32
159,32
160,38
161,43
162,40
163,42
164,33
165,26
166,25
167,31
168,31
169,34
170,29
171,30
172,25
173,16
174,29
175,14
176,23
177,28
178,16
179,20
180,30
181,33
182,31
183,28
184,24
185,26
186,20
187,23
188,21
189,24
190,24
191,26
192,36
193,31
194,25
195,24
196,29
197,30
198,30
199,27
200,25
201,29
202,33
203,36
204,30
205,35
206,32
207,24
208,22
209,26
210,23
211,24
212,15
213,21
214,23
215,26
216,21
217,22
218,32
219,25
220,26
221,26
222,27
