,0
0,12
1,9
2,17
3,22
4,17
5,9
6,10
7,23
8,11
9,6
10,12
11,16
12,19
13,17
14,19
15,17
16,14
17,18
18,17
19,22
20,20
21,23
22,26
23,35
24,39
25,34
26,34
27,50
28,62
29,62
30,80
31,69
32,59
33,74
34,110
35,139
36,135
37,120
38,133
39,147
40,144
41,168
42,221
43,238
44,260
45,242
46,226
47,261
48,319
49,386
50,388
51,374
52,393
53,510
54,420
55,467
56,461
57,527
58,477
59,405
60,403
61,398
62,394
63,455
64,381
65,246
66,288
67,244
68,267
69,242
70,236
71,236
72,238
73,206
74,210
75,208
76,243
77,221
78,233
79,251
80,237
81,207
82,188
83,176
84,211
85,230
86,239
87,212
88,164
89,152
90,141
91,154
92,137
93,123
94,107
95,102
96,91
97,74
98,59
99,59
100,48
101,49
102,32
103,33
104,36
105,30
106,34
107,30
108,25
109,20
110,23
111,18
112,19
113,21
114,14
115,13
116,19
117,12
118,17
119,18
120,15
121,17
122,19
123,17
124,13
125,9
126,12
127,18
128,15
129,14
130,12
131,11
132,16
133,10
134,9
135,11
136,10
137,6
138,8
139,10
140,8
141,13
142,21
143,6
144,13
145,11
146,2
147,9
148,14
149,11
150,9
151,6
152,8
153,7
154,8
155,5
156,5
157,6
158,8
159,10
160,7
161,8
162,9
163,4
164,11
165,11
166,8
167,7
168,2
169,7
170,1
171,6
172,5
173,4
174,0
175,4
176,5
177,5
178,9
179,2
180,9
181,4
182,8
183,6
184,8
185,6
186,4
187,3
188,2
189,4
190,6
191,8
192,7
193,4
194,6
195,6
196,7
197,7
198,2
199,6
200,3
201,2
202,2
203,4
204,6
205,4
206,6
207,1
208,2
209,1
210,7
211,3
212,4
213,2
214,3
215,1
216,7
217,5
218,5
219,6
220,5
221,5
222,3
