,0
0,705
1,744
2,835
3,705
4,720
5,871
6,824
7,786
8,827
9,714
10,685
11,717
12,705
13,710
14,713
15,688
16,701
17,610
18,606
19,699
20,618
21,554
22,629
23,624
24,507
25,522
26,527
27,457
28,499
29,458
30,482
31,469
32,436
33,450
34,490
35,402
36,416
37,433
38,405
39,367
40,455
41,430
42,398
43,394
44,421
45,381
46,381
47,386
48,401
49,357
50,402
51,341
52,322
53,301
54,314
55,344
56,311
57,341
58,321
59,301
60,295
61,319
62,346
63,310
64,327
65,324
66,282
67,289
68,356
69,359
70,333
71,315
72,326
73,288
74,315
75,339
76,332
77,345
78,333
79,330
80,320
81,289
82,328
83,362
84,315
85,332
86,337
87,314
88,316
89,366
90,320
91,350
92,353
93,340
94,318
95,299
96,353
97,372
98,348
99,448
100,354
101,365
102,383
103,437
104,394
105,431
106,425
107,425
108,405
109,369
110,503
111,475
112,575
113,536
114,574
115,567
116,586
117,684
118,710
119,711
120,800
121,782
122,801
123,828
124,993
125,1003
126,1055
127,958
128,1162
129,1117
130,1114
131,1207
132,1224
133,1318
134,1369
135,1457
136,1360
137,1411
138,1527
139,1694
140,1752
141,1864
142,1926
143,1834
144,1866
145,2165
146,2115
147,2259
148,2341
149,2191
150,2060
151,2100
152,2353
153,2402
154,2264
155,2149
156,2090
157,2270
158,2219
159,2262
160,2357
161,2276
162,2224
163,2276
164,2230
165,2243
166,2550
167,2508
168,2378
169,2401
170,2310
171,1778
172,1931
173,2192
174,2201
175,2141
176,2196
177,2172
178,1870
179,1802
180,1959
181,1930
182,1763
183,1807
184,1802
185,1516
186,1374
187,1605
188,1493
189,1555
190,1494
191,1451
192,1149
193,1128
194,1295
195,1303
196,1249
197,1135
198,1116
199,941
200,834
201,1020
202,921
203,922
204,849
205,827
206,724
207,624
208,700
209,742
210,694
211,646
212,643
213,544
214,460
215,628
216,582
217,534
218,486
219,515
220,431
221,383
222,447
223,503
224,435
225,431
226,451
227,335
228,335
229,382
230,363
231,371
232,409
233,376
234,357
235,308
236,361
237,386
238,329
239,326
240,366
241,262
242,271
243,302
244,343
245,301
246,305
247,299
248,235
249,283
250,303
251,282
252,311
253,262
254,279
255,199
256,216
257,273
258,279
259,248
260,275
261,249
262,253
263,253
264,322
265,267
266,279
267,245
268,235
269,214
270,213
271,255
272,238
273,250
274,254
275,218
276,241
277,225
278,256
279,222
280,242
281,257
282,222
283,216
284,194
285,232
286,212
287,193
288,244
289,225
290,175
291,165
292,187
293,191
294,199
295,204
296,181
297,165
298,187
299,211
300,210
301,172
302,165
303,196
304,159
305,138
306,172
307,197
308,161
309,143
310,139
311,150
312,139
313,146
314,168
315,147
316,176
317,164
318,141
319,133
320,166
321,141
322,132
323,157
324,127
325,129
326,131
327,151
328,150
329,138
330,140
331,113
332,124
333,119
334,157
335,136
336,141
337,129
338,145
339,135
340,158
341,198
342,195
343,156
344,186
345,173
346,178
347,165
348,187
349,210
350,200
351,221
352,232
353,212
354,264
355,262
356,257
357,302
358,310
359,305
360,310
361,324
362,427
363,396
364,437
365,432
366,447
367,449
368,488
369,527
370,602
371,582
372,654
373,620
374,557
375,626
376,747
377,756
378,790
379,808
380,824
381,814
382,796
383,960
384,839
385,864
386,909
387,988
388,839
389,876
390,1012
391,1020
392,968
393,968
394,992
395,937
396,901
397,944
398,924
399,978
400,928
401,934
402,874
403,864
404,885
405,929
406,862
407,848
408,805
409,755
410,705
411,726
412,747
413,742
414,720
415,730
416,592
417,640
418,643
419,661
420,649
421,590
422,572
423,547
424,552
425,590
426,563
427,562
428,537
429,511
430,442
431,436
432,475
433,464
434,431
435,428
436,434
437,357
438,349
439,415
440,450
441,391
442,425
443,410
444,376
445,315
446,425
447,337
448,401
449,433
450,436
451,352
452,374
453,404
454,393
455,408
456,431
457,466
458,432
459,393
460,460
461,423
462,431
463,437
464,446
465,395
466,380
467,422
468,482
469,423
470,392
471,436
472,347
473,344
474,411
475,383
476,368
477,347
478,370
479,376
480,319
481,417
482,332
483,328
484,327
485,340
486,288
487,331
488,327
489,355
490,327
491,266
492,328
493,330
494,350
495,371
496,377
497,347
498,364
499,334
500,345
501,322
502,413
503,426
504,398
505,406
506,373
507,363
508,363
509,374
510,382
511,393
512,392
513,393
514,331
515,320
516,409
517,438
518,438
519,464
520,517
521,546
522,643
523,786
524,943
525,974
526,1038
527,1017
528,1098
529,1171
530,1383
531,1593
532,1712
533,1811
534,1819
535,1680
536,1714
537,1946
538,2159
539,2168
540,2180
541,2152
542,1944
543,1913
544,2180
545,2022
546,2172
547,2207
548,2001
549,1832
550,1732
551,2025
552,2038
553,1733
554,1847
555,1639
556,1415
557,1391
558,1544
559,1533
560,1319
561,1267
562,1233
563,1044
564,1023
565,1178
566,1190
567,1007
568,1017
569,960
570,792
571,710
572,766
573,769
574,750
575,705
576,614
577,521
578,476
579,526
580,579
581,528
582,492
583,460
584,389
585,355
586,468
587,435
588,431
589,394
590,378
591,290
592,270
593,299
594,330
595,289
596,301
597,256
598,205
599,205
600,263
601,231
602,242
603,237
604,185
605,166
606,153
607,228
608,219
609,203
610,243
611,206
612,196
613,106
614,151
615,165
616,133
617,132
618,136
619,94
620,125
621,160
622,140
623,145
624,133
625,136
626,104
627,99
628,151
629,114
630,123
631,139
632,128
633,124
634,111
635,155
636,142
637,147
638,153
639,145
640,121
641,105
642,181
643,169
644,152
645,163
646,163
647,181
648,149
649,175
650,191
651,215
652,216
653,218
654,173
655,179
656,219
657,241
658,237
659,251
660,230
661,262
662,264
663,310
664,300
665,325
666,337
667,322
668,273
669,288
670,341
671,376
672,369
673,389
674,377
675,347
676,353
677,350
678,424
679,426
680,411
681,438
682,410
683,407
684,493
685,450
686,500
687,460
688,501
689,447
690,427
691,495
692,481
693,494
694,468
695,456
696,433
697,432
698,537
699,523
700,591
701,565
702,612
703,549
704,556
705,589
706,617
707,603
708,628
709,604
710,585
711,550
712,566
713,758
714,742
715,766
716,725
717,692
718,602
719,736
720,762
721,756
722,789
723,681
724,690
725,632
726,757
727,749
728,712
