,0
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,1
19,1
20,0
21,1
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,2
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,54
75,59
76,65
77,54
78,24
79,42
80,104
81,139
82,56
83,61
84,77
85,71
86,70
87,66
88,76
89,89
90,72
91,73
92,69
93,88
94,75
95,73
96,84
97,79
98,68
99,56
100,65
101,88
102,72
103,77
104,73
105,73
106,63
107,55
108,87
109,68
110,73
111,67
112,455
113,72
114,62
115,78
116,79
117,81
118,80
119,66
120,56
121,62
122,87
123,58
124,71
125,81
126,72
127,66
128,75
129,82
130,102
131,92
132,80
133,88
134,73
135,82
136,75
137,89
138,91
139,80
140,105
141,63
142,76
143,87
144,101
145,113
146,114
147,104
148,88
149,220
150,109
151,104
152,126
153,95
154,101
155,83
156,110
157,133
158,112
159,125
160,151
161,146
162,144
163,137
164,152
165,156
166,146
167,142
168,125
169,105
170,110
171,141
172,171
173,153
174,162
175,144
176,133
177,108
178,152
179,163
180,147
181,157
182,137
183,122
184,141
185,196
186,257
187,288
188,312
189,293
190,288
191,198
192,358
193,422
194,446
195,445
196,400
197,382
198,311
199,374
200,448
201,466
202,493
203,527
204,454
205,472
206,578
207,571
208,563
209,535
210,620
211,563
212,509
213,603
214,730
215,670
216,742
217,739
218,669
219,601
220,745
221,875
222,881
223,858
224,886
225,790
226,758
227,862
228,932
229,823
230,874
231,990
232,846
233,814
234,1047
235,1045
236,997
237,998
238,935
239,1001
240,850
241,1076
242,1114
243,1095
244,986
245,989
246,1030
247,913
248,1174
249,1165
250,1173
251,1157
252,1123
253,1012
254,942
255,1071
256,1163
257,1165
258,1182
259,1104
260,1001
261,848
262,1041
263,934
264,968
265,991
266,968
267,787
268,758
269,949
270,887
271,950
272,816
273,848
274,680
275,690
276,644
277,862
278,954
279,882
280,804
281,706
282,652
283,759
284,793
285,688
286,682
287,657
288,568
289,547
290,632
291,673
292,604
293,543
294,573
295,525
296,563
297,598
298,631
299,671
300,585
301,585
302,529
303,469
304,612
305,578
306,562
307,544
308,511
309,469
310,470
311,522
312,572
313,544
314,580
315,511
316,443
317,496
318,525
319,547
320,594
321,560
322,524
323,478
324,526
325,573
326,562
327,604
328,581
329,616
330,493
331,480
332,573
333,573
334,543
335,551
336,490
337,489
338,484
339,568
340,541
341,514
342,484
343,478
344,437
345,411
346,472
347,444
348,485
349,504
350,479
351,415
352,374
353,464
354,381
355,368
356,388
357,388
358,315
359,271
360,359
361,293
362,336
363,294
364,270
365,228
366,251
367,286
368,287
369,257
370,245
371,208
372,205
373,189
374,210
375,220
376,212
377,179
378,200
379,156
380,153
381,195
382,197
383,168
384,160
385,155
386,130
387,140
388,143
389,139
390,149
391,130
392,128
393,82
394,101
395,86
396,110
397,101
398,116
399,87
400,68
401,78
402,90
403,105
404,78
405,93
406,75
407,48
408,82
409,76
410,63
411,62
412,68
413,47
414,51
415,59
416,65
417,58
418,69
419,53
420,39
421,52
422,49
423,57
424,56
425,50
426,54
427,57
428,46
429,57
430,55
431,62
432,45
433,50
434,51
435,48
436,56
437,53
438,57
439,87
440,72
441,61
442,71
443,71
444,93
445,94
446,109
447,74
448,96
449,84
450,93
451,105
452,117
453,127
454,128
455,129
456,119
457,135
458,156
459,203
460,204
461,197
462,237
463,183
464,235
465,219
466,279
467,292
468,309
469,297
470,230
471,248
472,329
473,317
474,285
475,299
476,259
477,260
478,248
479,325
480,323
481,330
482,310
483,271
484,266
485,233
486,343
487,350
488,354
489,316
490,307
491,279
492,287
493,287
494,330
495,297
496,346
497,304
498,283
499,305
500,293
501,308
502,313
503,310
504,310
505,250
506,256
507,309
508,271
509,304
510,326
511,282
512,251
513,227
514,302
515,265
516,245
517,282
518,280
519,245
520,261
521,312
522,257
523,267
524,272
525,265
526,215
527,234
528,269
529,279
530,305
531,295
532,269
533,233
534,216
535,251
536,269
537,243
538,258
539,271
540,206
541,202
542,242
543,234
544,255
545,222
546,222
547,215
548,216
549,249
550,243
551,237
552,217
553,225
554,213
555,234
556,299
557,247
558,271
559,246
560,292
561,238
562,256
563,323
564,335
565,346
566,357
567,350
568,299
569,355
570,393
571,374
572,351
573,404
574,406
575,333
576,383
577,453
578,469
579,433
580,483
581,437
582,377
583,390
584,523
585,479
586,479
587,494
588,467
589,441
590,372
591,495
592,520
593,513
594,570
595,519
596,465
597,570
598,658
599,664
600,794
601,753
602,688
603,844
604,963
605,1187
606,1340
607,1456
608,1519
