,0
0,17
1,18
2,8
3,19
4,14
5,10
6,15
7,15
8,20
9,14
10,12
11,15
12,14
13,14
14,20
15,13
16,26
17,23
18,14
19,15
20,28
21,34
22,39
23,46
24,42
25,37
26,34
27,26
28,46
29,47
30,54
31,40
32,43
33,48
34,58
35,73
36,77
37,69
38,76
39,55
40,82
41,68
42,69
43,74
44,84
45,75
46,66
47,68
48,87
49,115
50,124
51,99
52,124
53,129
54,125
55,135
56,132
57,136
58,137
59,135
60,121
61,100
62,107
63,145
64,145
65,129
66,85
67,78
68,100
69,113
70,113
71,117
72,140
73,134
74,127
75,147
76,128
77,146
78,149
79,145
80,166
81,143
82,105
83,145
84,177
85,189
86,201
87,199
88,197
89,189
90,209
91,209
92,209
93,211
94,154
95,116
96,105
97,114
98,120
99,110
100,114
101,87
102,78
103,91
104,81
105,88
106,86
107,78
108,77
109,97
110,70
111,68
112,68
113,61
114,65
115,43
116,52
117,53
118,48
119,64
120,53
121,46
122,47
123,45
124,40
125,48
126,52
127,45
128,46
129,35
130,34
131,40
132,27
133,36
134,34
135,24
136,30
137,45
138,30
139,33
140,33
141,38
142,31
143,23
144,27
145,16
146,30
147,36
148,22
149,23
150,32
151,19
152,22
153,23
154,23
155,29
156,23
157,30
158,30
159,30
160,38
161,26
162,35
163,28
164,25
165,29
166,20
167,21
168,34
169,26
170,17
171,20
172,20
173,24
174,18
175,34
176,23
177,25
178,18
179,23
180,21
181,25
182,34
183,35
184,23
185,24
186,23
187,18
188,21
189,15
190,15
191,22
192,19
193,20
194,23
195,19
196,26
197,16
198,29
199,21
200,18
201,12
202,18
203,29
204,20
205,23
206,22
207,13
208,16
209,12
210,15
211,26
212,21
213,17
214,20
215,14
216,15
217,25
218,19
219,23
220,25
221,10
222,18
