,0
0,0.0
1,0.2
2,0.2
3,0.2
4,0.2
5,0.2
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.2
42,0.6
43,0.6
44,0.6
45,1.0
46,1.4
47,1.0
48,1.0
49,1.6
50,1.2
51,1.8
52,2.2
53,3.6
54,6.6
55,11.2
56,17.2
57,26.4
58,41.6
59,56.2
60,66.6
61,80.8
62,102.6
63,107.6
64,118.6
65,151.2
66,156.2
67,149.6
68,164.6
69,170.0
70,172.4
71,196.0
72,209.4
73,195.8
74,191.4
75,199.8
76,168.6
77,186.6
78,193.4
79,195.8
80,158.2
81,170.4
82,168.8
83,193.8
84,203.8
85,224.8
86,220.8
87,203.8
88,192.4
89,209.6
90,222.4
91,243.6
92,255.6
93,250.4
94,236.6
95,232.8
96,273.8
97,287.0
98,327.8
99,337.0
100,343.0
101,330.0
102,347.6
103,316.2
104,377.2
105,407.2
106,362.8
107,335.2
108,358.2
109,338.0
110,342.8
111,410.0
112,456.6
113,441.8
114,398.4
115,380.4
116,347.4
117,336.4
118,335.8
119,369.0
120,360.2
121,333.8
122,303.2
123,338.8
124,364.8
125,419.0
126,536.6
127,614.4
128,562.2
129,677.4
130,776.8
131,725.6
132,900.6
133,1064.4
134,1145.0
135,1064.4
136,1082.0
137,1082.6
138,1163.2
139,1210.0
140,1396.4
141,1482.0
142,1398.4
143,1583.6
144,1579.6
145,1757.0
146,2240.8
147,2656.6
148,2681.2
149,2732.4
150,2986.6
151,2656.0
152,2630.8
153,2813.6
154,3105.0
155,3108.4
156,2871.0
157,3189.4
158,3489.2
159,3464.2
160,3590.4
161,4004.4
162,3775.0
163,3470.0
164,3529.8
165,3348.4
166,3620.8
167,3757.8
168,3695.0
169,3474.6
170,3042.0
171,3085.2
172,2892.4
173,2936.6
174,3211.2
175,3488.2
176,3105.4
177,2765.8
178,2814.0
179,2417.2
180,2335.8
181,2535.4
182,2971.6
183,2666.2
184,2643.6
185,2598.0
186,2394.4
187,2151.4
188,2399.2
189,2635.0
190,2506.6
191,2244.8
192,1941.4
193,1638.6
194,1330.8
195,1317.2
196,1322.0
197,1283.6
198,1064.0
199,1016.2
200,878.0
201,937.4
202,959.6
203,1026.2
204,960.0
205,912.4
206,825.2
207,767.2
208,725.2
209,672.4
210,778.0
211,636.6
212,571.4
213,598.6
214,512.0
215,448.8
216,511.0
217,574.6
218,477.6
219,475.2
220,440.6
221,440.6
222,533.2
223,604.0
224,736.4
225,685.0
226,620.6
227,418.4
228,372.0
229,297.0
230,351.2
231,432.8
232,493.4
233,436.8
234,441.4
235,476.8
236,706.4
237,886.0
238,965.2
239,962.4
240,868.8
241,637.2
242,468.4
243,460.2
244,469.2
245,515.0
246,478.2
247,445.2
248,466.4
249,428.0
250,477.2
251,505.2
252,577.8
253,514.0
254,512.6
255,544.4
256,555.0
257,600.4
258,666.0
259,781.6
260,728.2
261,702.4
262,666.6
263,710.2
264,754.0
265,782.2
266,881.8
267,883.0
268,852.4
269,837.8
270,885.2
271,889.4
272,946.6
273,975.0
274,1045.2
275,1010.4
276,1043.2
277,1056.6
278,1141.6
279,1176.4
280,1396.4
281,1470.2
282,1394.8
283,1467.6
284,1317.6
285,1364.4
286,1458.2
287,1849.0
288,1889.2
289,1813.2
290,2073.0
291,2079.8
292,1835.6
293,2062.6
294,2670.8
295,2460.6
296,2349.8
297,2666.8
298,2705.0
299,2834.4
300,3252.0
301,3684.4
302,3953.8
303,3844.4
304,3928.6
305,3830.8
306,3798.0
307,3794.6
308,4090.0
