,0
0,1194.0
1,1295.6
2,1346.8
3,1266.4
4,1297.6
5,1340.4
6,1252.6
7,1092.4
8,1021.6
9,966.0
10,1001.6
11,1120.8
12,1223.4
13,1418.4
14,1447.2
15,1352.6
16,1441.2
17,1635.0
18,1690.4
19,1790.8
20,2031.8
21,1774.0
22,1596.4
23,1513.0
24,1446.4
25,1551.8
26,1656.4
27,1762.6
28,1714.6
29,1685.0
30,1477.6
31,1697.4
32,1706.4
33,1823.8
34,1975.2
35,2129.4
36,1850.0
37,1775.2
38,1728.0
39,1709.6
40,1639.2
41,1789.8
42,1902.8
43,1882.4
44,1765.2
45,1838.8
46,1905.4
47,1953.2
48,2084.8
49,2209.0
50,2136.8
51,2103.8
52,2136.0
53,2220.0
54,2238.6
55,2509.6
56,2818.2
57,2790.8
58,2745.6
59,2797.8
60,2613.8
61,2488.8
62,2648.2
63,2721.8
64,2744.6
65,2751.4
66,2707.8
67,2701.6
68,2742.6
69,2996.2
70,3195.0
71,3142.6
72,2986.0
73,3136.4
74,3285.4
75,3568.2
76,3903.6
77,4381.0
78,4463.8
79,4737.8
80,5384.0
81,5670.8
82,5826.6
83,6294.0
84,5967.8
85,5621.6
86,5920.2
87,6845.0
88,7011.4
89,7737.2
90,7592.4
91,7235.2
92,7433.8
93,7240.2
94,7885.4
95,8373.2
96,8931.0
97,8378.4
98,8754.2
99,8043.4
100,8040.4
101,8628.8
102,8672.6
103,9015.8
104,9282.2
105,9422.2
106,8548.0
107,8717.6
108,9156.0
109,9691.6
110,9753.8
111,10419.6
112,10149.2
113,9046.0
114,7952.6
115,8179.8
116,8325.0
117,8392.4
118,8544.0
119,9040.6
120,8152.8
121,6917.2
122,6472.2
123,6139.0
124,6093.0
125,6516.2
126,7247.0
127,7485.8
128,8628.6
129,8999.6
130,9126.2
131,8696.0
132,10097.4
133,9337.6
134,8514.4
135,7783.8
136,7855.0
137,6180.6
138,5763.6
139,5855.4
140,6216.4
141,5926.4
142,5625.6
143,5733.8
144,5288.2
145,5080.8
146,5077.8
147,5355.6
148,4960.2
149,4869.4
150,4631.8
151,4685.4
152,4527.2
153,4696.8
154,4883.6
155,4638.4
156,4098.6
157,3441.0
158,3130.0
159,2843.2
160,3088.2
161,3486.8
162,3697.2
163,3504.6
164,3428.0
165,3263.4
166,3106.4
167,3403.4
168,3739.6
169,3783.2
170,3666.8
171,3570.4
172,3377.0
173,3272.4
174,3476.8
175,3716.4
176,3622.0
177,3410.8
178,3365.4
179,3153.0
180,3046.2
181,3311.0
182,3700.2
183,3577.8
184,3309.0
185,3203.4
186,3153.6
187,3086.4
188,3371.4
189,3761.4
190,3840.6
191,3588.6
192,3378.8
193,3233.8
194,3131.0
195,3097.0
196,3173.2
197,3287.0
198,3270.0
199,3388.4
200,3384.4
201,4054.8
202,4610.6
203,4979.8
204,4796.0
205,4838.2
206,4503.6
207,4136.2
208,3965.8
209,4436.2
210,4697.6
211,4600.4
212,4624.6
213,4889.6
214,4865.2
215,5339.8
216,5764.0
217,6635.2
218,6659.6
219,6851.2
220,7085.0
221,7300.8
222,7067.2
223,7993.0
224,9028.8
225,9266.8
226,9817.6
227,10562.6
228,10961.8
229,11562.8
230,12926.2
231,13908.6
232,13274.8
233,14183.8
234,15183.0
235,15080.2
236,14591.0
237,15507.4
238,15284.6
239,14252.2
240,14105.0
241,16306.2
242,17882.2
243,19604.8
244,22207.8
245,25320.2
246,25566.8
247,26605.0
248,28566.4
249,29527.2
250,31127.8
251,33704.4
252,34887.4
253,34141.8
254,34424.6
255,37762.2
256,41439.2
257,43967.2
258,46966.8
259,49340.0
260,45679.8
261,41937.6
262,40972.2
263,39992.8
264,39819.0
265,37810.6
266,40654.0
267,39340.0
268,38673.2
269,37208.8
270,36011.6
271,37179.2
272,40617.0
273,42414.4
274,41277.4
275,44475.8
276,40038.4
277,37818.0
278,38881.0
279,43143.8
280,45505.0
281,46226.2
282,46023.0
283,43480.6
284,40395.8
285,39220.4
286,39739.2
287,40392.4
288,38578.4
289,36288.4
290,32677.2
291,28613.0
292,24984.6
293,23646.2
294,23342.6
295,23563.6
296,22748.2
297,21815.0
298,20714.0
299,19945.4
300,18724.6
301,19251.8
302,18804.8
303,17891.2
304,16229.0
305,15060.0
306,14036.4
307,13512.4
308,13906.8
309,13782.2
310,12871.2
311,11901.2
312,10981.8
313,10160.2
314,9803.2
315,9986.8
316,9390.2
317,8719.8
318,7549.6
319,6891.8
320,6312.0
321,6495.0
322,6850.0
323,6851.6
324,6377.2
325,6109.6
326,5777.8
327,5471.8
328,5659.6
329,5909.2
330,5476.4
331,4874.8
332,4521.8
333,4183.0
334,4206.8
335,4531.0
336,4885.0
337,4771.6
338,4498.8
339,4094.6
340,3728.8
341,3544.6
342,3724.8
343,3539.0
344,3373.6
345,2967.0
346,2710.6
347,2463.2
348,2762.6
349,2913.6
350,3265.8
351,3173.6
352,2924.2
353,2649.0
354,2537.6
355,2426.2
356,2705.4
357,2903.8
358,2949.6
359,2844.0
360,2702.4
361,2512.4
362,2421.6
363,2913.4
364,2818.4
365,2712.4
366,2855.6
367,2812.2
368,2322.2
369,2519.4
370,3223.8
371,3625.2
372,3751.4
373,3623.6
374,3601.4
375,3037.6
376,2515.2
377,2519.4
378,2721.8
379,2608.4
380,2492.0
381,2428.0
382,2331.0
383,2180.6
384,1971.6
385,2090.0
386,2043.0
387,1870.4
388,1821.4
389,1947.4
390,1872.2
391,1899.0
392,2031.4
393,1994.8
394,1951.2
395,1883.2
396,1744.0
397,1821.6
398,1922.6
399,2004.0
400,1972.4
401,1899.4
402,1629.0
403,1521.4
404,1546.0
405,1656.0
406,1719.0
407,1648.0
408,1485.4
409,1297.4
410,1178.8
411,1234.2
412,1290.2
413,1406.6
414,1421.4
415,1279.4
416,1185.6
417,1219.6
418,1984.4
419,2033.4
420,2145.8
421,2021.0
422,1810.6
423,888.6
424,794.2
425,775.6
426,882.8
427,1027.0
428,1098.2
429,1086.8
430,1055.4
431,997.8
432,1004.4
433,1035.4
434,1059.8
435,982.0
436,978.8
437,892.4
438,850.0
439,916.2
440,989.2
441,1033.0
442,1094.4
443,1083.8
444,987.4
445,1090.0
446,1267.0
447,1406.0
448,1685.2
449,1762.4
450,1684.6
451,487.8
452,476.6
453,390.8
454,305.2
455,215.0
456,1114.0
457,1549.4
458,1574.2
459,1781.4
460,2146.6
461,2300.2
462,1772.0
463,2652.8
464,2991.4
465,3448.8
466,3939.8
467,4328.0
468,3801.4
469,3498.6
470,4531.4
471,4902.4
472,5758.4
473,6261.4
474,7519.2
475,5741.2
476,5765.0
477,7287.6
478,7903.0
479,7851.4
480,9256.0
481,10257.4
482,8169.4
483,7019.2
484,10269.0
485,10615.0
486,10487.4
487,11602.8
488,13927.2
489,11867.8
490,12454.2
491,12352.0
492,12917.6
493,12146.2
494,11587.6
495,11913.4
496,13136.8
497,13153.8
498,13036.8
499,13471.4
500,13669.0
501,13290.6
502,13737.8
503,16672.8
504,16802.6
505,15687.2
506,15733.2
507,15297.6
508,12867.2
509,12981.8
510,14282.0
511,14350.6
512,13975.4
513,13903.0
514,15842.0
515,14961.4
516,14601.2
517,14838.8
518,14539.8
519,11377.2
520,10451.2
521,10186.8
522,9432.2
523,8735.8
524,10237.0
525,10482.4
526,9478.0
527,10823.4
528,11060.2
529,9588.2
530,9954.4
531,10705.6
532,9314.8
533,8675.0
534,8660.2
535,8139.4
536,7630.0
537,7432.8
538,6786.8
539,5439.0
540,7424.6
541,7455.2
542,7393.2
543,8207.6
544,9547.2
545,6563.2
546,5357.4
547,6873.2
548,6633.6
549,6110.0
550,6665.0
551,7764.8
552,5252.8
553,4424.4
554,5922.8
555,5809.2
556,5495.4
557,5939.2
558,6764.0
559,4760.4
560,3819.8
561,5436.4
562,5664.2
563,5529.0
564,6036.8
565,7354.2
566,5047.0
567,4203.8
568,3466.8
569,6282.0
570,5945.8
571,6647.0
572,7886.8
573,8168.6
574,4498.2
575,6101.6
576,6474.4
577,5885.2
578,6472.8
579,7807.4
580,5814.2
581,4681.8
582,6238.6
583,6579.6
584,5876.8
585,6254.6
586,6358.2
587,5826.4
588,4964.8
589,5294.4
590,5184.2
591,5799.4
592,4894.6
593,5460.0
594,4756.2
595,4247.4
596,5218.0
597,5105.6
598,4879.4
599,4721.4
600,4346.0
601,2746.2
602,1964.8
603,4013.2
604,4710.6
605,5832.2
606,6449.4
607,7958.0
608,5688.0
609,5066.2
610,6934.8
611,7305.6
612,6598.6
613,7542.0
614,8389.8
615,6058.0
616,5017.6
617,6605.0
618,6222.8
619,6152.2
620,6683.4
621,7906.4
622,6349.4
623,5884.6
624,7970.8
625,8876.8
626,9638.0
627,11818.2
628,15208.4
629,14460.4
630,12473.0
631,14504.2
632,21117.2
633,22905.8
634,28290.8
635,39152.0
636,41965.4
637,32520.8
638,36056.6
639,56057.2
640,61642.2
641,66146.6
642,88723.8
643,91512.0
644,70913.4
645,93799.6
646,108408.4
647,115870.8
648,126213.0
649,148504.4
650,122296.4
651,104734.8
652,115784.0
653,113482.8
654,99749.0
655,112105.6
656,130233.4
657,104445.8
658,92276.8
659,112134.8
660,108166.8
661,99866.0
662,97139.4
663,106655.4
664,78886.2
665,61766.0
666,65850.6
667,62484.4
668,52978.2
669,51265.6
670,56994.6
671,38788.6
672,31344.4
673,29953.4
674,32870.0
675,36991.4
676,35294.2
677,37672.4
678,33057.4
679,24813.0
680,16315.2
681,16256.0
682,13975.8
683,15098.4
684,17080.6
685,12714.2
686,10667.4
687,9025.6
688,10395.0
689,9333.8
690,9822.2
691,11910.4
692,12220.2
693,8016.0
694,8237.2
695,7821.2
696,5921.8
697,6463.6
698,7508.6
699,6078.8
700,4787.6
701,5216.4
702,5147.2
703,4331.4
704,4532.4
705,5319.4
706,4570.8
707,3554.8
708,3897.4
709,3944.8
710,3238.0
711,3436.4
712,4341.4
713,4153.0
714,3837.2
715,4401.0
716,4759.4
717,4132.0
718,4098.0
719,4157.8
720,3619.2
721,2725.2
722,2800.4
723,2556.0
724,2215.8
725,2580.6
726,3278.6
727,3032.2
728,2484.8
729,2127.2
730,2771.2
731,2375.6
732,2211.4
733,3751.6
734,4759.2
735,3376.2
736,2889.4
737,3207.8
738,3452.4
739,2665.4
740,4105.2
741,4614.4
742,4055.6
743,2281.8
744,4270.8
745,3449.2
746,3212.0
747,5683.6
748,6680.8
749,4503.4
750,3912.4
751,7053.8
752,5533.8
753,4924.2
754,7667.6
755,8755.0
756,5373.6
757,4455.8
758,8188.2
759,6653.6
760,6136.0
761,8777.6
762,10928.4
763,6850.8
764,5662.8
765,10255.6
766,9195.2
767,7744.8
768,10405.6
769,12166.6
770,7041.6
771,5501.6
772,12810.6
773,12352.0
774,11605.0
775,17250.0
