,0
0,11008.4
1,11369.4
2,10436.8
3,9838.8
4,9746.0
5,10110.2
6,10205.8
7,9940.2
8,10132.2
9,9660.6
10,8740.6
11,7777.6
12,7648.8
13,7371.4
14,7176.2
15,7010.8
16,6956.4
17,6305.2
18,5759.8
19,5483.8
20,5488.6
21,6099.8
22,6308.6
23,6319.4
24,5801.6
25,5095.2
26,4082.2
27,3844.8
28,3857.2
29,3977.8
30,3979.2
31,3525.0
32,3051.6
33,2818.8
34,2696.4
35,2594.8
36,2653.6
37,2593.8
38,2217.6
39,1941.4
40,1882.2
41,1851.8
42,1990.6
43,2129.2
44,2125.2
45,1934.6
46,1718.2
47,1587.8
48,1563.2
49,1677.8
50,1762.2
51,1867.2
52,1686.2
53,1492.8
54,1309.8
55,1280.8
56,1217.0
57,1266.6
58,1307.2
59,1289.8
60,1115.0
61,1083.0
62,1065.8
63,1049.6
64,1007.2
65,996.6
66,873.8
67,741.4
68,692.4
69,684.2
70,689.0
71,708.0
72,749.2
73,689.0
74,608.0
75,595.8
76,622.0
77,627.6
78,659.0
79,705.2
80,665.6
81,595.4
82,619.2
83,651.8
84,670.2
85,692.2
86,704.4
87,642.2
88,585.8
89,620.4
90,681.0
91,729.6
92,773.4
93,768.4
94,676.6
95,607.4
96,605.0
97,644.6
98,715.8
99,775.6
100,789.0
101,810.6
102,767.0
103,769.4
104,785.4
105,824.2
106,778.4
107,772.8
108,734.8
109,680.6
110,685.4
111,706.6
112,723.8
113,709.4
114,725.2
115,655.6
116,620.0
117,627.4
118,639.8
119,663.8
120,673.4
121,677.0
122,644.2
123,603.0
124,600.4
125,605.4
126,627.0
127,615.2
128,622.6
129,590.6
130,567.8
131,556.6
132,571.8
133,606.0
134,611.6
135,613.4
136,592.6
137,566.0
138,564.2
139,589.6
140,631.6
141,632.4
142,623.6
143,598.0
144,547.0
145,570.0
146,595.4
147,639.6
148,671.2
149,711.8
150,672.8
151,668.6
152,713.2
153,744.6
154,771.6
155,798.2
156,782.0
157,699.0
158,643.4
159,611.8
160,670.8
161,742.6
162,809.0
163,823.0
164,828.4
165,759.0
166,778.8
167,778.2
168,826.2
169,858.8
170,849.0
171,761.6
172,709.2
173,749.0
174,778.6
175,886.2
176,975.0
177,1055.0
178,1030.6
179,1027.4
180,1057.6
181,1203.0
182,1346.6
183,1428.0
184,1460.6
185,1425.6
186,1317.4
187,1395.6
188,1440.2
189,1511.4
190,1536.4
191,1543.6
192,1368.8
193,1266.6
194,1273.6
195,1368.2
196,1456.4
197,1518.0
198,1540.2
199,1480.2
200,1474.0
201,1513.4
202,1577.8
203,1760.8
204,1897.2
205,1863.0
206,1840.8
207,1816.2
208,1861.6
209,1943.2
210,2112.8
211,2181.0
212,2212.8
213,2156.4
214,2104.4
215,2269.2
216,2487.0
217,2893.0
218,3195.0
219,3470.6
220,3618.6
221,3827.0
222,4092.0
223,4509.4
224,4935.6
225,4982.6
226,4974.0
227,4851.4
228,4693.4
229,4742.8
230,5051.0
231,5471.4
232,5685.0
233,5997.2
234,5808.8
235,5868.8
236,6068.8
237,6588.4
238,6673.2
239,6792.4
240,7140.2
241,7095.2
242,7066.6
243,7724.0
244,8997.6
245,9654.0
246,10266.8
247,10330.4
248,9987.8
249,9470.2
250,9484.2
251,9678.8
252,10188.2
253,10618.6
254,10794.6
255,10362.6
256,10021.6
257,10166.2
258,10579.2
259,10565.0
260,10633.2
261,10710.4
262,10244.4
263,9820.4
264,10411.8
265,11160.4
266,11425.2
267,11148.2
268,10695.4
269,10127.2
270,10101.0
271,10953.8
272,12758.8
273,14275.0
274,14684.8
275,14349.8
276,13899.6
277,13696.2
278,14044.0
279,15509.6
280,16829.0
281,17462.2
282,17094.8
283,16535.4
284,15564.2
285,14833.8
286,15466.0
287,15819.2
288,15599.8
289,15341.0
290,15047.8
291,13377.8
292,12970.4
293,13368.4
294,13468.2
295,13400.6
296,13571.2
297,12997.6
298,11933.8
299,11908.6
300,12022.2
301,12206.2
302,12240.0
303,11953.4
304,10786.6
305,9627.2
306,8442.8
307,7780.4
308,8292.4
309,8687.2
310,9050.8
311,9312.6
312,9050.0
313,8753.8
314,8512.2
315,8468.8
316,8479.0
317,8469.8
318,7809.4
319,7251.4
320,7416.8
321,7465.4
322,7805.4
323,7711.0
324,7785.4
325,7253.6
326,6766.8
327,6897.8
328,7265.2
329,7614.2
330,7795.0
331,7854.4
332,7352.0
333,7050.0
334,6935.2
335,7000.0
336,7338.0
337,7593.4
338,7368.6
339,7241.6
340,6832.6
341,6641.2
342,5954.8
343,6917.0
344,6887.8
345,7090.4
346,6998.8
347,7470.0
348,6522.8
349,6200.8
350,6110.4
351,5515.2
352,4758.0
353,4316.8
354,8830.2
355,9207.0
356,10071.8
357,11251.4
358,12371.6
359,8591.2
360,8056.0
361,8002.0
362,8097.2
363,7922.8
364,7725.4
365,8077.6
366,7851.6
367,7225.8
368,6946.8
369,7141.2
370,7346.4
371,7513.6
372,7631.4
373,7429.0
374,6688.2
375,6167.8
376,6074.6
377,6017.4
378,6209.2
379,6332.8
380,6126.0
381,5635.4
382,5225.0
383,4954.6
384,4795.8
385,4618.2
386,4515.8
387,4259.2
388,3874.0
389,3511.4
390,3463.2
391,3411.4
392,3584.0
393,3486.8
394,3365.6
395,3028.0
396,2747.4
397,2501.6
398,2428.2
399,2555.4
400,2588.2
401,2438.4
402,2201.8
403,2114.8
404,1939.2
405,1879.4
406,1908.8
407,1987.6
408,1854.6
409,1722.4
410,1575.0
411,1543.8
412,1487.8
413,1481.8
414,1391.6
415,1316.4
416,1171.6
417,1036.4
418,1000.2
419,972.8
420,955.0
421,935.0
422,861.2
423,724.6
424,617.2
425,542.6
426,532.8
427,594.2
428,602.6
429,626.0
430,616.8
431,550.0
432,491.2
433,525.6
434,510.2
435,492.2
436,477.6
437,434.6
438,360.0
439,361.2
440,369.8
441,375.8
442,368.2
443,363.8
444,326.4
445,297.4
446,298.0
447,310.6
448,322.6
449,347.0
450,357.0
451,328.0
452,317.6
453,327.0
454,351.4
455,346.4
456,366.0
457,380.4
458,361.8
459,333.8
460,410.0
461,488.8
462,560.8
463,660.0
464,714.0
465,709.0
466,708.4
467,752.0
468,736.4
469,883.2
470,983.8
471,1018.0
472,1051.6
473,1145.8
474,1200.0
475,1316.8
476,1513.8
477,1464.4
478,1749.2
479,1744.6
480,1773.6
481,1916.0
482,2257.2
483,2349.4
484,2541.2
485,2644.8
486,2729.4
487,2799.2
488,2892.0
489,3125.0
490,3544.8
491,3654.0
492,3482.0
493,3169.2
494,3752.0
495,3828.8
496,4041.6
497,4548.8
498,5034.6
499,4483.6
500,4190.4
501,4220.6
502,4316.8
503,4254.2
504,4663.2
505,4892.6
506,4699.8
507,4369.2
508,4330.2
509,4214.4
510,4579.4
511,4285.0
512,4828.0
513,5177.8
514,4887.0
515,4460.0
516,5021.6
517,4985.6
518,4592.4
519,5029.8
520,4915.6
521,4532.2
522,3879.0
523,4407.6
524,4318.6
525,4840.2
526,5011.6
527,5517.8
528,5077.6
529,4913.2
530,5013.0
531,5392.4
532,5098.2
533,5718.2
534,5440.8
535,5154.0
536,4865.2
537,5123.8
538,4898.6
539,5029.2
540,5228.6
541,4923.6
542,4924.6
543,4720.6
544,4887.0
545,4770.2
546,4884.4
547,4591.2
548,4723.2
549,4515.6
550,4600.0
551,4983.6
552,5428.2
553,5035.8
554,4699.2
555,4927.6
556,4479.2
557,4228.2
558,4374.6
559,5177.8
560,4566.4
561,4577.0
562,4652.2
563,4399.8
564,4110.2
565,4129.2
566,4196.6
567,3935.6
568,3746.6
569,3725.2
570,3339.0
571,3440.2
572,3401.0
573,4058.2
574,3761.0
575,3865.6
576,4071.6
577,3976.4
578,3663.0
579,3953.6
580,4334.6
581,4115.2
582,4310.0
583,4550.8
584,4466.8
585,4515.4
586,5023.2
587,5485.6
588,5523.2
589,5558.4
590,5849.8
591,5525.0
592,5490.4
593,6029.8
594,6669.6
595,6535.4
596,7218.8
597,7065.2
598,6557.4
599,6454.4
600,6694.8
601,6569.8
602,6200.8
603,6053.6
604,6158.8
605,6072.4
606,6383.8
607,7964.0
608,9242.0
609,9337.6
610,9669.4
611,9901.6
612,9332.6
613,8982.2
614,9710.2
615,10312.0
616,9970.0
617,9908.6
618,10716.0
619,10142.0
620,10412.6
621,12228.6
622,14766.6
623,14883.4
624,18306.2
625,20285.8
626,21552.4
627,23021.6
628,27286.2
629,28321.2
630,23805.6
631,35428.2
632,37125.2
633,39463.6
634,45676.2
635,60033.6
636,59181.6
637,59319.2
638,56771.4
639,70749.8
640,66841.8
641,66423.8
642,74594.0
643,84737.2
644,74596.2
645,82151.0
646,78524.0
647,73348.4
648,67424.2
649,63381.8
650,54618.2
651,51167.4
652,50061.2
653,46921.2
654,39462.8
655,34787.4
656,32680.2
657,29062.2
658,25574.8
659,26055.2
660,23965.6
661,20833.0
662,18902.0
663,17815.2
664,15421.0
665,15378.2
666,13896.2
667,11576.2
668,9503.0
669,8578.2
670,8100.6
671,8322.6
672,7972.8
673,8086.4
674,6914.2
675,5807.6
676,5335.6
677,5653.6
678,5187.0
679,5125.2
680,5147.6
681,4488.0
682,3471.0
683,3370.2
684,3412.4
685,3504.0
686,3508.8
687,3482.4
688,3153.0
689,2788.8
690,2270.8
691,2309.0
692,2351.6
693,2199.2
694,2240.2
695,2033.4
696,1797.0
697,1704.8
698,1814.2
699,1461.0
700,1897.6
701,2068.8
702,1897.6
703,1624.6
704,1892.8
705,1567.8
706,1545.0
707,1617.6
708,1853.0
709,1711.2
710,1987.4
711,1949.4
712,2141.4
713,2111.4
