,0
0,464.8
1,478.6
2,540.6
3,460.6
4,486.0
5,478.4
6,458.8
7,424.6
8,383.4
9,271.8
10,232.0
11,164.6
12,124.6
13,181.6
14,228.2
15,235.8
16,234.4
17,267.0
18,215.8
19,195.4
20,199.8
21,241.0
22,225.8
23,218.0
24,217.8
25,218.6
26,201.6
27,223.2
28,263.4
29,268.6
30,278.4
31,253.4
32,253.6
33,245.6
34,240.6
35,242.4
36,259.4
37,243.4
38,219.8
39,224.8
40,219.8
41,212.0
42,233.2
43,220.6
44,219.8
45,207.6
46,204.0
47,165.8
48,166.4
49,130.8
50,203.4
51,218.8
52,212.8
53,228.2
54,299.8
55,248.6
56,256.8
57,304.2
58,366.6
59,350.4
60,338.6
61,335.0
62,356.2
63,305.6
64,312.4
65,322.8
66,321.2
67,281.8
68,281.8
69,292.8
70,289.4
71,305.6
72,327.6
73,322.2
74,330.2
75,356.6
76,413.4
77,429.2
78,417.4
79,440.2
80,453.2
81,429.4
82,438.0
83,509.6
84,474.4
85,478.6
86,491.8
87,514.6
88,546.0
89,628.6
90,598.6
91,614.2
92,704.0
93,648.2
94,601.4
95,660.6
96,660.0
97,569.4
98,655.8
99,766.6
100,746.4
101,767.0
102,898.6
103,876.0
104,854.6
105,932.2
106,942.8
107,858.2
108,839.6
109,792.0
110,775.2
111,823.8
112,815.8
113,817.8
114,843.8
115,829.4
116,776.2
117,813.4
118,849.4
119,803.0
120,757.6
121,739.2
122,679.2
123,675.4
124,694.0
125,763.2
126,748.4
127,727.4
128,659.4
129,622.8
130,571.2
131,613.0
132,644.0
133,664.2
134,610.8
135,589.4
136,533.6
137,534.6
138,519.8
139,630.6
140,617.0
141,578.4
142,499.8
143,490.8
144,442.0
145,466.0
146,521.2
147,544.8
148,512.2
149,457.0
150,435.2
151,423.4
152,429.8
153,472.8
154,495.4
155,463.6
156,391.0
157,349.4
158,344.2
159,380.2
160,415.8
161,449.2
162,455.0
163,422.4
164,379.2
165,363.8
166,374.4
167,436.6
168,446.0
169,429.8
170,415.4
171,440.8
172,431.6
173,560.0
174,627.4
175,649.8
176,616.6
177,578.8
178,480.2
179,480.2
180,532.0
181,584.8
182,599.8
183,577.2
184,534.6
185,502.6
186,525.8
187,570.6
188,596.4
189,680.6
190,644.4
191,614.2
192,619.4
193,649.4
194,634.8
195,725.0
196,716.8
197,666.4
198,625.2
199,630.2
200,605.6
201,654.8
202,751.2
203,801.0
204,760.2
205,729.0
206,716.8
207,703.0
208,777.0
209,853.4
210,919.2
211,977.0
212,950.0
213,1034.6
214,1063.8
215,1243.0
216,1384.6
217,1525.6
218,1468.0
219,1527.2
220,1505.2
221,1560.6
222,1720.0
223,1934.8
224,2100.8
225,2084.0
226,2197.4
227,2059.8
228,2018.0
229,2002.8
230,2062.4
231,2073.6
232,2473.6
233,2707.8
234,2877.0
235,3076.4
236,2960.2
237,2727.2
238,2492.2
239,2342.0
240,2259.8
241,2460.6
242,2446.8
243,2442.4
244,2365.8
245,2223.8
246,2823.8
247,3117.8
248,3317.8
249,3539.8
250,3819.2
251,3427.2
252,3154.0
253,2955.4
254,2711.2
255,2417.6
256,1595.4
257,1697.6
258,1891.8
259,2003.2
260,1667.0
261,2474.0
262,2136.4
263,1986.8
264,2098.6
265,2098.6
266,2016.8
267,1766.4
268,1694.0
269,1550.6
270,1847.4
271,2006.6
272,2006.6
273,1616.0
274,2910.0
275,2821.0
276,2403.0
277,2800.0
278,3452.0
279,2642.2
280,3032.0
281,2565.6
282,3186.8
283,2906.4
284,2519.0
285,2436.4
286,2875.0
287,1856.8
288,2279.0
289,1747.4
290,1642.4
291,1609.4
292,2023.4
293,1662.0
294,2051.8
295,1641.8
296,1624.8
297,1479.0
298,1408.0
299,1522.2
300,1920.6
301,1891.2
302,1623.0
303,1609.2
304,1376.6
305,1298.6
306,1256.2
307,1554.8
308,1362.2
309,1090.8
310,1384.0
311,1229.4
312,1067.0
313,1202.6
314,1404.2
315,966.6
316,804.4
317,668.2
318,717.4
319,728.0
320,792.0
321,971.4
322,1149.4
323,809.6
324,831.0
325,737.2
326,732.2
327,771.8
328,1005.6
329,962.2
330,816.0
331,828.6
332,757.6
333,682.8
334,663.4
335,819.0
336,764.8
337,618.2
338,699.0
339,662.6
340,652.6
341,670.4
342,796.8
343,738.8
344,604.4
345,675.0
346,645.0
347,699.2
348,696.4
349,873.4
350,855.2
351,734.6
352,794.8
353,725.8
354,741.4
355,764.8
356,976.8
357,1025.8
358,915.8
359,977.2
360,925.8
361,964.0
362,929.4
363,1200.0
364,1203.6
365,1033.6
366,1106.2
367,978.0
368,1011.0
369,961.8
370,1278.2
371,1242.6
372,1115.6
373,1156.4
374,1168.8
375,1109.0
376,1099.0
377,1532.8
378,1519.4
379,1298.6
380,1316.2
381,1398.6
382,1264.0
383,1258.0
384,1609.0
385,1678.4
386,1318.8
387,1440.6
388,1334.0
389,1311.0
390,1281.2
391,1545.6
392,1458.4
393,1240.0
394,1408.4
395,1377.8
396,1378.6
397,1273.2
398,1554.8
399,1357.8
400,1074.6
401,1154.4
402,1171.0
403,1107.4
404,1080.4
405,1555.4
406,1392.0
407,1147.0
408,1072.4
409,933.6
410,629.2
411,636.6
412,965.8
413,822.4
414,688.8
415,919.2
416,913.4
417,935.2
418,1241.4
419,1457.8
420,1270.0
421,1086.8
422,735.8
423,656.6
424,578.8
425,539.0
426,682.8
427,841.6
428,614.6
429,642.4
430,609.4
431,567.0
432,551.6
433,679.4
434,655.4
435,515.0
436,524.8
437,468.0
438,446.4
439,391.6
440,503.2
441,496.2
442,409.6
443,407.6
444,403.6
445,452.6
446,457.6
447,556.0
448,536.0
449,452.4
450,397.0
451,351.4
452,322.4
453,333.6
454,415.8
455,310.6
456,247.0
457,177.6
458,318.6
459,317.0
460,433.4
461,524.0
462,524.0
463,287.6
464,528.2
465,632.8
466,682.8
467,840.6
468,992.8
469,671.6
470,450.6
471,666.0
472,654.2
473,694.0
474,1206.4
475,1206.4
476,877.6
477,731.6
478,1154.2
479,846.8
480,1078.0
481,1225.4
482,1368.2
483,753.6
484,548.6
485,878.4
486,1799.0
487,2062.6
488,2645.4
489,3112.8
490,2551.8
491,1456.6
492,2389.8
493,1810.8
494,2358.8
495,3098.4
496,3730.8
497,2391.2
498,2387.4
499,2890.0
500,2616.4
501,2687.8
502,3475.2
503,4231.8
504,2713.8
505,2247.8
506,3216.2
507,3043.4
508,2885.0
509,3653.6
510,4507.0
511,2834.8
512,2220.2
513,3376.8
514,3264.0
515,3223.2
516,4096.0
517,4900.4
518,3145.6
519,2489.8
520,1677.2
521,3045.2
522,2958.2
523,3770.8
524,4448.4
525,4448.4
526,2207.6
527,3375.8
528,3113.4
529,3187.6
530,3827.8
531,4604.0
532,2718.4
533,2168.2
534,2963.6
535,2830.4
536,2505.2
537,3323.0
538,3948.8
539,2401.6
540,1894.6
541,3201.2
542,2928.8
543,2842.8
544,3426.0
545,4082.8
546,2325.2
547,1779.8
548,2624.8
549,2516.2
550,2374.4
551,2957.0
552,3417.0
553,2032.2
554,1557.6
555,2350.0
556,2144.4
557,2297.8
558,2868.4
