,0
0,0.0
1,0.0
2,0.0
3,1.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,1.0
44,2.0
45,0.0
46,0.0
47,2.0
48,3.0
49,0.0
50,0.0
51,3.0
52,0.0
53,6.0
54,2.0
55,7.0
56,18.0
57,23.0
58,36.0
59,48.0
60,83.0
61,91.0
62,75.0
63,107.0
64,157.0
65,108.0
66,146.0
67,238.0
68,132.0
69,124.0
70,183.0
71,173.0
72,250.0
73,250.0
74,191.0
75,115.0
76,151.0
77,292.0
78,94.0
79,281.0
80,149.0
81,163.0
82,104.0
83,155.0
84,273.0
85,274.0
86,213.0
87,209.0
88,135.0
89,188.0
90,217.0
91,299.0
92,273.0
93,241.0
94,248.0
95,191.0
96,230.0
97,254.0
98,446.0
99,314.0
100,395.0
101,276.0
102,284.0
103,381.0
104,402.0
105,238.0
106,581.0
107,434.0
108,159.0
109,264.0
110,353.0
111,480.0
112,458.0
113,495.0
114,497.0
115,279.0
116,263.0
117,368.0
118,330.0
119,442.0
120,276.0
121,429.0
122,324.0
123,198.0
124,289.0
125,454.0
126,559.0
127,595.0
128,786.0
129,678.0
130,193.0
131,1135.0
132,1092.0
133,530.0
134,1553.0
135,1012.0
136,1538.0
137,689.0
138,618.0
139,1556.0
140,1415.0
141,1772.0
142,1621.0
143,1046.0
144,1138.0
145,2341.0
146,1752.0
147,2508.0
148,3465.0
149,3217.0
150,2464.0
151,2008.0
152,3779.0
153,1812.0
154,3091.0
155,3378.0
156,3465.0
157,3796.0
158,625.0
159,4683.0
160,4877.0
161,3340.0
162,4427.0
163,2695.0
164,3536.0
165,3352.0
166,3639.0
167,3520.0
168,4057.0
169,4221.0
170,3038.0
171,2537.0
172,1357.0
173,4273.0
174,3257.0
175,3259.0
176,3910.0
177,2742.0
178,2359.0
179,1559.0
180,3500.0
181,1926.0
182,2335.0
183,3357.0
184,3740.0
185,1973.0
186,1813.0
187,2107.0
188,2339.0
189,2525.0
190,3212.0
191,2992.0
192,1465.0
193,1030.0
194,1008.0
195,1698.0
196,1453.0
197,1397.0
198,1054.0
199,816.0
200,600.0
201,1214.0
202,706.0
203,1351.0
204,927.0
205,933.0
206,883.0
207,468.0
208,915.0
209,637.0
210,723.0
211,619.0
212,996.0
213,208.0
214,311.0
215,859.0
216,186.0
217,680.0
218,519.0
219,629.0
220,374.0
221,174.0
222,507.0
223,519.0
224,1092.0
225,728.0
226,836.0
227,250.0
228,197.0
229,81.0
230,496.0
231,461.0
232,521.0
233,605.0
234,384.0
235,213.0
236,484.0
237,698.0
238,1753.0
239,1282.0
240,609.0
241,470.0
242,230.0
243,595.0
244,438.0
245,568.0
246,515.0
247,459.0
248,411.0
249,273.0
250,674.0
251,323.0
252,705.0
253,551.0
254,636.0
255,355.0
256,316.0
257,864.0
258,604.0
259,863.0
260,683.0
261,894.0
262,597.0
263,475.0
264,684.0
265,901.0
266,1113.0
267,738.0
268,973.0
269,690.0
270,748.0
271,1040.0
272,975.0
273,994.0
274,976.0
275,890.0
276,1391.0
277,801.0
278,1158.0
279,1043.0
280,1315.0
281,1565.0
282,1901.0
283,1527.0
284,666.0
285,1679.0
286,815.0
287,2135.0
288,1996.0
289,2620.0
290,1880.0
291,435.0
292,3434.0
293,2030.0
294,1399.0
295,3015.0
296,3476.0
297,2383.0
298,1476.0
299,2984.0
300,3206.0
301,4123.0
302,4471.0
303,3638.0
304,4331.0
305,2659.0
306,4544.0
307,3982.0
308,3474.0
309,4314.0
310,4136.0
311,3221.0
312,822.0
313,10322.0
314,3840.0
315,5442.0
316,5680.0
317,6799.0
318,5376.0
319,1567.0
320,12314.0
321,4444.0
322,4928.0
323,6983.0
324,8077.0
325,5853.0
326,11806.0
327,4134.0
328,4837.0
329,5817.0
330,7635.0
331,5560.0
332,5366.0
333,7748.0
334,5870.0
335,6058.0
336,7046.0
337,6616.0
338,6106.0
339,1296.0
340,10086.0
341,2799.0
342,5267.0
343,7718.0
344,10060.0
345,8883.0
346,17234.0
347,5158.0
348,5932.0
349,7206.0
350,9913.0
351,11658.0
352,11094.0
353,11201.0
354,8995.0
355,8559.0
356,5629.0
357,7311.0
358,9146.0
359,8715.0
360,6981.0
361,5400.0
362,6417.0
363,4845.0
364,9398.0
365,8099.0
366,7316.0
367,7217.0
368,5321.0
369,4748.0
370,5918.0
371,4671.0
372,5028.0
373,5119.0
374,5025.0
375,3741.0
376,2938.0
377,2296.0
378,4417.0
379,3826.0
380,3471.0
381,1544.0
382,2250.0
383,4381.0
384,1977.0
385,1861.0
386,2426.0
387,1791.0
388,1947.0
389,1338.0
390,1132.0
391,1315.0
392,1143.0
393,1918.0
394,2047.0
395,1804.0
396,1507.0
397,1184.0
398,1310.0
399,939.0
400,1621.0
401,1179.0
402,1075.0
403,1039.0
404,849.0
405,1284.0
406,1154.0
407,2276.0
408,1735.0
409,1335.0
410,783.0
411,563.0
412,830.0
413,2025.0
414,1177.0
415,262.0
416,649.0
417,638.0
418,497.0
419,445.0
420,284.0
421,423.0
422,735.0
423,488.0
424,484.0
425,507.0
426,605.0
427,138.0
428,571.0
429,776.0
430,554.0
431,604.0
432,586.0
433,733.0
434,381.0
435,940.0
436,706.0
437,464.0
438,608.0
439,570.0
440,750.0
441,670.0
442,1302.0
443,819.0
444,540.0
445,675.0
446,610.0
447,419.0
448,460.0
449,845.0
450,480.0
451,711.0
452,692.0
453,702.0
454,649.0
455,647.0
456,896.0
457,729.0
458,661.0
459,750.0
460,682.0
461,603.0
462,881.0
463,844.0
464,1074.0
465,356.0
466,652.0
467,701.0
468,742.0
469,601.0
470,820.0
471,939.0
472,448.0
473,642.0
474,683.0
475,469.0
476,544.0
477,854.0
478,474.0
479,482.0
480,468.0
481,619.0
482,540.0
483,590.0
484,571.0
485,645.0
486,321.0
487,450.0
488,500.0
489,656.0
490,764.0
491,807.0
492,557.0
493,0.0
494,984.0
495,4.0
496,915.0
497,322.0
498,346.0
499,277.0
500,507.0
501,374.0
502,414.0
503,433.0
504,370.0
505,422.0
506,570.0
507,348.0
508,394.0
509,423.0
510,436.0
511,332.0
512,364.0
513,641.0
514,385.0
515,384.0
516,422.0
517,490.0
518,626.0
519,587.0
520,475.0
521,436.0
522,413.0
523,546.0
524,769.0
525,472.0
526,526.0
527,645.0
528,442.0
529,50.0
530,900.0
531,373.0
532,625.0
533,921.0
534,807.0
535,803.0
536,122.0
537,345.0
538,1945.0
