,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,1.0
40,1.0
41,0.0
42,1.0
43,0.0
44,4.0
45,3.0
46,3.0
47,2.0
48,9.0
49,6.0
50,20.0
51,26.0
52,24.0
53,1.0
54,89.0
55,116.0
56,126.0
57,132.0
58,199.0
59,241.0
60,223.0
61,185.0
62,270.0
63,675.0
64,543.0
65,863.0
66,483.0
67,1227.0
68,1268.0
69,215.0
70,2052.0
71,1260.0
72,1269.0
73,813.0
74,974.0
75,1221.0
76,911.0
77,908.0
78,1167.0
79,963.0
80,1401.0
81,1124.0
82,609.0
83,883.0
84,832.0
85,1416.0
86,733.0
87,822.0
88,745.0
89,810.0
90,440.0
91,1339.0
92,885.0
93,306.0
94,693.0
95,606.0
96,710.0
97,345.0
98,497.0
99,1038.0
100,735.0
101,615.0
102,819.0
103,542.0
104,563.0
105,826.0
106,371.0
107,802.0
108,595.0
109,386.0
110,941.0
111,479.0
112,808.0
113,928.0
114,673.0
115,777.0
116,854.0
117,502.0
118,527.0
119,1204.0
120,776.0
121,676.0
122,740.0
123,879.0
124,509.0
125,379.0
126,651.0
127,1212.0
128,927.0
129,739.0
130,667.0
131,617.0
132,1317.0
133,1419.0
134,1305.0
135,1270.0
136,1180.0
137,966.0
138,1096.0
139,1371.0
140,1698.0
141,1902.0
142,2581.0
143,2016.0
144,1758.0
145,2783.0
146,2610.0
147,3207.0
148,3822.0
149,4049.0
150,3494.0
151,2926.0
152,3286.0
153,5511.0
154,5004.0
155,8942.0
156,9585.0
157,8530.0
158,5266.0
159,6093.0
160,6563.0
161,10109.0
162,9488.0
163,11458.0
164,10059.0
165,6336.0
166,7347.0
167,9989.0
168,8935.0
169,11433.0
170,10360.0
171,15300.0
172,12624.0
173,9194.0
174,10181.0
175,13965.0
176,11466.0
177,10328.0
178,12478.0
179,10347.0
180,9440.0
181,9785.0
182,10249.0
183,12444.0
184,12199.0
185,9344.0
186,8892.0
187,9230.0
188,9446.0
189,9956.0
190,9007.0
191,9642.0
192,7104.0
193,4752.0
194,5446.0
195,5409.0
196,7650.0
197,7686.0
198,8502.0
199,6229.0
200,4155.0
201,5831.0
202,8109.0
203,6236.0
204,6148.0
205,6352.0
206,3779.0
207,2678.0
208,3838.0
209,4115.0
210,4555.0
211,4684.0
212,4311.0
213,2974.0
214,2258.0
215,2673.0
216,3220.0
217,3269.0
218,3815.0
219,3197.0
220,2583.0
221,1885.0
222,7569.0
223,2402.0
224,3571.0
225,3198.0
226,3656.0
227,2564.0
228,1838.0
229,1823.0
230,2167.0
231,2472.0
232,3650.0
233,3190.0
234,2423.0
235,1736.0
236,3116.0
237,2355.0
238,3255.0
239,3204.0
240,3573.0
241,2521.0
242,1685.0
243,2470.0
244,2590.0
245,2541.0
246,2847.0
247,2795.0
248,1882.0
249,738.0
250,3266.0
251,1948.0
252,2628.0
253,2660.0
254,2787.0
255,1868.0
256,1415.0
257,2251.0
258,2582.0
259,3306.0
260,2908.0
261,0.0
262,5570.0
263,1533.0
264,2725.0
265,2883.0
266,3356.0
267,3449.0
268,4044.0
269,2539.0
270,1707.0
271,3662.0
272,2144.0
273,5558.0
274,3689.0
275,4471.0
276,2385.0
277,3377.0
278,4298.0
279,4115.0
280,4198.0
281,5592.0
282,2331.0
283,4865.0
284,4651.0
285,4637.0
286,4423.0
287,6257.0
288,5245.0
289,4452.0
290,6820.0
291,3924.0
292,4353.0
293,5838.0
294,5607.0
295,6933.0
296,4544.0
297,10105.0
298,4663.0
299,7459.0
300,7925.0
301,9085.0
302,9085.0
303,8409.0
304,6587.0
305,6331.0
306,8555.0
307,8376.0
308,0.0
309,17344.0
310,6277.0
311,7363.0
312,6659.0
313,8847.0
314,9994.0
315,10870.0
316,10177.0
317,10431.0
318,8436.0
319,7711.0
320,7985.0
321,9592.0
322,11335.0
323,11699.0
324,10577.0
325,8958.0
326,8452.0
327,9411.0
328,11541.0
329,13148.0
330,13000.0
331,11682.0
332,8401.0
333,11015.0
334,10434.0
335,11384.0
336,13147.0
337,0.0
338,17042.0
339,7391.0
340,8198.0
341,12075.0
342,13871.0
343,17192.0
344,0.0
345,31518.0
346,10603.0
347,11256.0
348,15431.0
349,17783.0
350,19816.0
351,19530.0
352,15445.0
353,12313.0
354,11576.0
355,14896.0
356,13990.0
357,13720.0
358,16875.0
359,12119.0
360,11093.0
361,8002.0
362,9816.0
363,11914.0
364,12873.0
365,13719.0
366,12311.0
367,9535.0
368,8720.0
369,9594.0
370,8408.0
371,11423.0
372,10976.0
373,15019.0
374,7788.0
375,5730.0
376,10533.0
377,6979.0
378,7711.0
379,11543.0
380,7486.0
381,6624.0
382,5737.0
383,7023.0
384,7537.0
385,8525.0
386,7617.0
387,7515.0
388,5436.0
389,3615.0
390,6297.0
391,7342.0
392,5117.0
393,6683.0
394,7280.0
395,5065.0
396,4151.0
397,5610.0
398,7128.0
399,6640.0
400,5922.0
401,5459.0
402,5539.0
403,1700.0
404,7179.0
405,6014.0
406,6118.0
407,5975.0
408,4690.0
409,4098.0
410,3312.0
411,4426.0
412,4853.0
413,5065.0
414,5214.0
415,5244.0
416,3699.0
417,2826.0
418,4791.0
419,4599.0
420,5093.0
421,5140.0
422,5105.0
423,3987.0
424,2862.0
425,5302.0
426,5143.0
427,5773.0
428,5750.0
429,5883.0
430,4943.0
431,3374.0
432,5062.0
433,5294.0
434,6790.0
435,6490.0
436,6017.0
437,4794.0
438,3480.0
439,5556.0
440,5885.0
441,7939.0
442,7121.0
443,6906.0
444,5520.0
445,1613.0
446,9068.0
447,6772.0
448,6762.0
449,7296.0
450,6323.0
451,6834.0
452,4237.0
453,5645.0
454,5571.0
455,6684.0
456,5464.0
457,7411.0
458,4671.0
459,3513.0
460,5271.0
461,5178.0
462,5666.0
463,5306.0
464,5419.0
465,3841.0
466,3075.0
467,3682.0
468,4394.0
469,4504.0
470,4165.0
471,3977.0
472,3231.0
473,2296.0
474,3263.0
475,3184.0
476,4064.0
477,3590.0
478,3319.0
479,2482.0
480,1976.0
481,2805.0
482,2811.0
483,2893.0
484,2371.0
485,3406.0
486,2069.0
487,1606.0
488,1874.0
489,2327.0
490,2338.0
491,2338.0
492,0.0
493,0.0
494,0.0
495,5937.0
496,1234.0
497,1878.0
498,0.0
499,3000.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,11454.0
506,0.0
507,0.0
508,0.0
509,0.0
