,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,3.0
43,1.0
44,4.0
45,3.0
46,2.0
47,3.0
48,5.0
49,6.0
50,17.0
51,16.0
52,4.0
53,21.0
54,26.0
55,86.0
56,109.0
57,123.0
58,153.0
59,61.0
60,121.0
61,204.0
62,280.0
63,315.0
64,374.0
65,518.0
66,337.0
67,381.0
68,636.0
69,-286.0
70,533.0
71,493.0
72,556.0
73,285.0
74,736.0
75,610.0
76,790.0
77,586.0
78,943.0
79,513.0
80,214.0
81,665.0
82,714.0
83,686.0
84,654.0
85,577.0
86,365.0
87,276.0
88,911.0
89,695.0
90,759.0
91,829.0
92,765.0
93,586.0
94,356.0
95,1393.0
96,692.0
97,1420.0
98,1167.0
99,1332.0
100,636.0
101,388.0
102,933.0
103,852.0
104,1303.0
105,860.0
106,1359.0
107,1554.0
108,393.0
109,916.0
110,1715.0
111,812.0
112,685.0
113,1249.0
114,1653.0
115,557.0
116,1226.0
117,1130.0
118,1090.0
119,867.0
120,830.0
121,292.0
122,619.0
123,743.0
124,1139.0
125,876.0
126,1208.0
127,1135.0
128,845.0
129,533.0
130,1280.0
131,1763.0
132,1081.0
133,8007.0
134,3174.0
135,1084.0
136,374.0
137,1409.0
138,3931.0
139,3138.0
140,1648.0
141,2571.0
142,1240.0
143,1259.0
144,4138.0
145,4105.0
146,3983.0
147,2912.0
148,3944.0
149,3840.0
150,2587.0
151,3687.0
152,6321.0
153,5888.0
154,4523.0
155,9014.0
156,5114.0
157,5191.0
158,8407.0
159,7370.0
160,7055.0
161,5545.0
162,6729.0
163,4077.0
164,7399.0
165,7725.0
166,8065.0
167,10687.0
168,10166.0
169,10284.0
170,7610.0
171,6368.0
172,10591.0
173,9020.0
174,9740.0
175,8262.0
176,6153.0
177,10355.0
178,5758.0
179,9737.0
180,9870.0
181,9213.0
182,9225.0
183,8620.0
184,5470.0
185,4417.0
186,10578.0
187,10039.0
188,7037.0
189,8761.0
190,8590.0
191,4702.0
192,4592.0
193,4875.0
194,17689.0
195,9327.0
196,9741.0
197,8077.0
198,15157.0
199,12028.0
200,12703.0
201,11918.0
202,9085.0
203,6806.0
204,15618.0
205,9203.0
206,2885.0
207,7808.0
208,9038.0
209,7840.0
210,4746.0
211,5632.0
212,3990.0
213,3062.0
214,3379.0
215,7197.0
216,4897.0
217,8100.0
218,5626.0
219,3991.0
220,1455.0
221,4588.0
222,3695.0
223,3721.0
224,4431.0
225,3564.0
226,3855.0
227,1639.0
228,1833.0
229,4348.0
230,3596.0
231,5012.0
232,2948.0
233,6491.0
234,9834.0
235,4326.0
236,3698.0
237,4041.0
238,3751.0
239,5399.0
240,4734.0
241,9488.0
242,3469.0
243,3692.0
244,4783.0
245,5813.0
246,2942.0
247,1577.0
248,1182.0
249,8190.0
250,4635.0
251,3358.0
252,3993.0
253,3977.0
254,3863.0
255,878.0
256,3501.0
257,5453.0
258,3306.0
259,2799.0
260,3119.0
261,3563.0
262,1450.0
263,4692.0
264,4434.0
265,4625.0
266,4009.0
267,6220.0
268,2019.0
269,6739.0
270,5155.0
271,5650.0
272,4365.0
273,5096.0
274,7276.0
275,3402.0
276,2551.0
277,5572.0
278,6481.0
279,13847.0
280,7150.0
281,5835.0
282,6025.0
283,3499.0
284,6326.0
285,5425.0
286,7543.0
287,9116.0
288,6825.0
289,4036.0
290,10145.0
291,9722.0
292,7645.0
293,10460.0
294,8817.0
295,10024.0
296,3959.0
297,8954.0
298,5916.0
299,11833.0
300,12623.0
301,14505.0
302,13618.0
303,12412.0
304,8367.0
305,19711.0
306,16271.0
307,12695.0
308,5649.0
309,15469.0
310,17599.0
311,11504.0
312,11841.0
313,17243.0
314,13159.0
315,14416.0
316,13973.0
317,16108.0
318,11367.0
319,13928.0
320,13061.0
321,14054.0
322,15648.0
323,16108.0
324,13899.0
325,14060.0
326,21782.0
327,22201.0
328,17914.0
329,19271.0
330,18706.0
331,10503.0
332,17897.0
333,24249.0
334,23342.0
335,19446.0
336,15799.0
337,15340.0
338,13439.0
339,9638.0
340,15595.0
341,26079.0
342,19013.0
343,71739.0
344,16311.0
345,4763.0
346,16095.0
347,18182.0
348,31630.0
349,24010.0
350,24578.0
351,23520.0
352,23290.0
353,15855.0
354,14834.0
355,26052.0
356,26082.0
357,24325.0
358,27204.0
359,24657.0
360,16402.0
361,11590.0
362,9476.0
363,31255.0
364,22360.0
365,22646.0
366,17672.0
367,11565.0
368,6319.0
369,26274.0
370,19613.0
371,18220.0
372,19076.0
373,19114.0
374,11490.0
375,31811.0
376,23047.0
377,17620.0
378,15283.0
379,14493.0
380,13897.0
381,6959.0
382,7485.0
383,13329.0
384,12897.0
385,11890.0
386,12502.0
387,11282.0
388,6933.0
389,3889.0
390,3348.0
391,3766.0
392,3131.0
393,2937.0
394,6486.0
395,4484.0
396,6365.0
397,11809.0
398,7517.0
399,7363.0
400,7961.0
401,11093.0
402,3815.0
403,3821.0
404,7747.0
405,7822.0
406,8028.0
407,6853.0
408,5570.0
409,2953.0
410,2595.0
411,5313.0
412,4863.0
413,4755.0
414,6505.0
415,4906.0
416,2628.0
417,2743.0
418,5068.0
419,5076.0
420,4541.0
421,3574.0
422,3794.0
423,1982.0
424,2532.0
425,4595.0
426,4344.0
427,3234.0
428,5580.0
429,4219.0
430,2415.0
431,3589.0
432,3139.0
433,4497.0
434,3337.0
435,3518.0
436,1650.0
437,1714.0
438,959.0
439,5771.0
440,4544.0
441,4699.0
442,3402.0
443,3198.0
444,1772.0
445,1660.0
446,7277.0
447,3422.0
448,3276.0
449,3474.0
450,2682.0
451,1904.0
452,1199.0
453,6057.0
454,4856.0
455,3341.0
456,3472.0
457,2449.0
458,1407.0
459,1918.0
460,5608.0
461,4269.0
462,3572.0
463,3515.0
464,3486.0
465,1307.0
466,1541.0
467,4153.0
468,2504.0
469,2360.0
470,2926.0
471,2190.0
472,1416.0
473,753.0
474,3966.0
475,2366.0
476,2448.0
477,2613.0
478,1983.0
479,650.0
480,500.0
481,4077.0
482,2015.0
483,1903.0
484,1577.0
485,1353.0
486,768.0
487,687.0
488,3964.0
489,2181.0
490,1289.0
491,2032.0
492,1081.0
493,384.0
494,144.0
495,159.0
496,1995.0
497,1862.0
498,2762.0
499,1979.0
500,637.0
501,505.0
502,1792.0
503,6493.0
504,2475.0
505,1463.0
506,1068.0
507,320.0
508,376.0
