,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,6.0
38,4.0
39,7.0
40,9.0
41,12.0
42,31.0
43,8.0
44,24.0
45,20.0
46,0.0
47,45.0
48,115.0
49,160.0
50,126.0
51,74.0
52,-39.0
53,176.0
54,176.0
55,67.0
56,352.0
57,150.0
58,269.0
59,204.0
60,224.0
61,107.0
62,263.0
63,616.0
64,270.0
65,553.0
66,435.0
67,458.0
68,509.0
69,176.0
70,781.0
71,457.0
72,401.0
73,578.0
74,486.0
75,381.0
76,584.0
77,363.0
78,480.0
79,315.0
80,175.0
81,26.0
82,164.0
83,143.0
84,115.0
85,460.0
86,259.0
87,202.0
88,136.0
89,278.0
90,204.0
91,157.0
92,224.0
93,342.0
94,202.0
95,165.0
96,156.0
97,228.0
98,257.0
99,310.0
100,366.0
101,182.0
102,277.0
103,132.0
104,311.0
105,326.0
106,157.0
107,286.0
108,217.0
109,231.0
110,208.0
111,182.0
112,261.0
113,178.0
114,337.0
115,145.0
116,178.0
117,200.0
118,160.0
119,146.0
120,148.0
121,0.0
122,563.0
123,237.0
124,116.0
125,225.0
126,358.0
127,307.0
128,278.0
129,353.0
130,537.0
131,277.0
132,248.0
133,260.0
134,459.0
135,284.0
136,311.0
137,300.0
138,252.0
139,262.0
140,284.0
141,366.0
142,283.0
143,333.0
144,372.0
145,257.0
146,406.0
147,415.0
148,617.0
149,451.0
150,198.0
151,520.0
152,480.0
153,498.0
154,494.0
155,556.0
156,344.0
157,501.0
158,564.0
159,608.0
160,713.0
161,757.0
162,351.0
163,642.0
164,1057.0
165,434.0
166,523.0
167,647.0
168,639.0
169,604.0
170,866.0
171,1077.0
172,546.0
173,742.0
174,1262.0
175,753.0
176,970.0
177,934.0
178,795.0
179,839.0
180,660.0
181,732.0
182,850.0
183,1038.0
184,799.0
185,670.0
186,862.0
187,778.0
188,772.0
189,985.0
190,850.0
191,630.0
192,551.0
193,680.0
194,685.0
195,831.0
196,723.0
197,897.0
198,606.0
199,580.0
200,491.0
201,540.0
202,639.0
203,815.0
204,735.0
205,592.0
206,273.0
207,532.0
208,536.0
209,740.0
210,518.0
211,827.0
212,464.0
213,343.0
214,347.0
215,473.0
216,583.0
217,584.0
218,619.0
219,465.0
220,310.0
221,307.0
222,475.0
223,560.0
224,497.0
225,525.0
226,420.0
227,316.0
228,197.0
229,289.0
230,499.0
231,600.0
232,494.0
233,364.0
234,318.0
235,336.0
236,384.0
237,417.0
238,417.0
239,629.0
240,383.0
241,303.0
242,345.0
243,544.0
244,583.0
245,1025.0
246,640.0
247,457.0
248,378.0
249,394.0
250,532.0
251,640.0
252,716.0
253,642.0
254,469.0
255,419.0
256,427.0
257,556.0
258,758.0
259,693.0
260,548.0
261,848.0
262,375.0
263,607.0
264,719.0
265,698.0
266,775.0
267,826.0
268,566.0
269,467.0
270,492.0
271,800.0
272,703.0
273,812.0
274,949.0
275,741.0
276,596.0
277,547.0
278,751.0
279,880.0
280,1111.0
281,978.0
282,876.0
283,1040.0
284,745.0
285,1534.0
286,1124.0
287,1772.0
288,1748.0
289,1450.0
290,1246.0
291,1420.0
292,1662.0
293,2025.0
294,2247.0
295,2320.0
296,2250.0
297,1578.0
298,2592.0
299,1559.0
300,2111.0
301,2174.0
302,1876.0
303,2648.0
304,3559.0
305,3282.0
306,3020.0
307,2873.0
308,2067.0
309,2394.0
310,2107.0
311,2269.0
312,2462.0
313,3071.0
314,2325.0
315,2085.0
316,1886.0
317,1752.0
318,6071.0
319,3795.0
320,3085.0
321,2996.0
322,3149.0
323,4111.0
324,2429.0
325,2092.0
326,1775.0
327,1681.0
328,0.0
329,2940.0
330,3063.0
331,2332.0
332,0.0
333,4035.0
334,1252.0
335,2315.0
336,2891.0
337,0.0
338,3626.0
339,0.0
340,1953.0
341,2174.0
342,1484.0
343,4422.0
344,0.0
345,0.0
346,8644.0
347,1039.0
348,2332.0
349,1985.0
350,3260.0
351,4595.0
352,2988.0
353,0.0
354,5091.0
355,1858.0
356,2658.0
357,2575.0
358,2193.0
359,0.0
360,3969.0
361,0.0
362,2050.0
363,2028.0
364,2070.0
365,2162.0
366,1949.0
367,0.0
368,1943.0
369,1341.0
370,1807.0
371,2520.0
372,1992.0
373,1796.0
374,0.0
375,1738.0
376,1357.0
377,1602.0
378,1584.0
379,1493.0
380,775.0
381,0.0
382,3068.0
383,811.0
384,681.0
385,1453.0
386,1008.0
387,880.0
388,0.0
389,0.0
390,1699.0
391,1061.0
392,1200.0
393,897.0
394,890.0
395,0.0
396,1168.0
397,731.0
398,872.0
399,1088.0
400,1169.0
401,951.0
402,0.0
403,935.0
404,733.0
405,795.0
406,854.0
407,778.0
408,664.0
409,0.0
410,1199.0
411,672.0
412,728.0
413,753.0
414,632.0
415,909.0
416,0.0
417,1081.0
418,603.0
419,903.0
420,895.0
421,885.0
422,990.0
423,0.0
424,1204.0
425,550.0
426,963.0
427,1107.0
428,1060.0
429,1449.0
430,0.0
431,1270.0
432,850.0
433,1251.0
434,1276.0
435,1353.0
436,1288.0
437,0.0
438,1614.0
439,635.0
440,1518.0
441,1042.0
442,1582.0
443,1436.0
444,0.0
445,1722.0
446,1104.0
447,1283.0
448,1386.0
449,2169.0
450,1655.0
451,0.0
452,1371.0
453,1798.0
454,1496.0
455,1625.0
456,1755.0
457,1718.0
458,0.0
459,2105.0
460,1092.0
461,1640.0
462,1569.0
463,1322.0
464,1669.0
465,0.0
466,2482.0
467,1416.0
468,1326.0
469,1142.0
470,1408.0
471,1497.0
472,0.0
473,1725.0
474,1225.0
475,1090.0
476,1362.0
477,2375.0
478,908.0
479,0.0
480,717.0
481,668.0
482,853.0
483,945.0
484,1646.0
485,0.0
486,0.0
487,2005.0
488,916.0
489,1755.0
490,1531.0
491,1082.0
492,1066.0
493,0.0
494,0.0
495,1135.0
496,693.0
497,867.0
498,719.0
499,794.0
500,0.0
501,832.0
502,702.0
503,507.0
504,717.0
505,639.0
506,712.0
507,0.0
508,556.0
509,433.0
510,531.0
511,438.0
512,558.0
513,521.0
514,0.0
515,521.0
516,418.0
517,803.0
518,546.0
519,492.0
520,421.0
521,0.0
522,526.0
523,318.0
524,347.0
525,477.0
526,411.0
527,0.0
528,0.0
529,0.0
530,1182.0
531,403.0
532,582.0
533,453.0
534,0.0
535,0.0
536,1606.0
537,1105.0
538,703.0
539,789.0
540,761.0
541,0.0
542,0.0
543,1780.0
544,730.0
545,960.0
