,0
0,183.0
1,173.0
2,250.0
3,250.0
4,191.0
5,115.0
6,151.0
7,292.0
8,94.0
9,281.0
10,149.0
11,163.0
12,104.0
13,155.0
14,273.0
15,274.0
16,213.0
17,209.0
18,135.0
19,188.0
20,217.0
21,299.0
22,273.0
23,241.0
24,248.0
25,191.0
26,230.0
27,254.0
28,446.0
29,314.0
30,395.0
31,276.0
32,284.0
33,381.0
34,402.0
35,238.0
36,581.0
37,434.0
38,159.0
39,264.0
40,353.0
41,480.0
42,458.0
43,495.0
44,497.0
45,279.0
46,263.0
47,368.0
48,330.0
49,442.0
50,276.0
51,429.0
52,324.0
53,198.0
54,289.0
55,454.0
56,559.0
57,595.0
58,786.0
59,678.0
60,193.0
61,1135.0
62,1092.0
63,530.0
64,1553.0
65,1012.0
66,1538.0
67,689.0
68,618.0
69,1556.0
70,1415.0
71,1772.0
72,1621.0
73,1046.0
74,1138.0
75,2341.0
76,1752.0
77,2508.0
78,3465.0
79,3217.0
80,2464.0
81,2008.0
82,3779.0
83,1812.0
84,3091.0
85,3378.0
86,3465.0
87,3796.0
88,625.0
89,4683.0
90,4877.0
91,3340.0
92,4427.0
93,2695.0
94,3536.0
95,3352.0
96,3639.0
97,3520.0
98,4057.0
99,4221.0
100,3038.0
101,2537.0
102,1357.0
103,4273.0
104,3257.0
105,3259.0
106,3910.0
107,2742.0
108,2359.0
109,1559.0
110,3500.0
111,1926.0
112,2335.0
113,3357.0
114,3740.0
115,1973.0
116,1813.0
117,2107.0
118,2339.0
119,2525.0
120,3212.0
121,2992.0
122,1465.0
123,1030.0
124,1008.0
125,1698.0
126,1453.0
127,1397.0
128,1054.0
129,816.0
130,600.0
131,1214.0
132,706.0
133,1351.0
134,927.0
135,933.0
136,883.0
137,468.0
138,915.0
139,637.0
140,723.0
141,619.0
142,996.0
143,208.0
144,311.0
145,859.0
146,186.0
147,680.0
148,519.0
149,629.0
150,374.0
151,174.0
152,507.0
153,519.0
154,1092.0
155,728.0
156,836.0
157,250.0
158,197.0
159,81.0
160,496.0
161,461.0
162,521.0
163,605.0
164,384.0
165,213.0
166,484.0
167,698.0
168,1753.0
169,1282.0
170,609.0
171,470.0
172,230.0
173,595.0
174,438.0
175,568.0
176,515.0
177,459.0
178,411.0
179,273.0
180,674.0
181,323.0
182,705.0
183,551.0
184,636.0
185,355.0
186,316.0
187,864.0
188,604.0
189,863.0
190,683.0
191,894.0
192,597.0
193,475.0
194,684.0
195,901.0
196,1113.0
197,738.0
198,973.0
199,690.0
200,748.0
201,1040.0
202,975.0
203,994.0
204,976.0
205,890.0
206,1391.0
207,801.0
208,1158.0
209,1043.0
210,1315.0
211,1565.0
212,1901.0
213,1527.0
214,666.0
215,1679.0
216,815.0
217,2135.0
218,1996.0
219,2620.0
220,1880.0
221,435.0
222,3434.0
223,2030.0
224,1399.0
225,3015.0
226,3476.0
227,2383.0
228,1476.0
229,2984.0
230,3206.0
231,4123.0
232,4471.0
233,3638.0
234,4331.0
235,2659.0
236,4544.0
237,3982.0
238,3474.0
239,4314.0
240,4136.0
241,3221.0
242,822.0
243,10322.0
244,3840.0
245,5442.0
246,5680.0
247,6799.0
248,5376.0
249,1567.0
250,12314.0
251,4444.0
252,4928.0
253,6983.0
254,8077.0
255,5853.0
256,11806.0
257,4134.0
258,4837.0
259,5817.0
260,7635.0
261,5560.0
262,5366.0
263,7748.0
264,5870.0
265,6058.0
266,7046.0
267,6616.0
268,6106.0
269,1296.0
270,10086.0
271,2799.0
272,5267.0
273,7718.0
274,10060.0
275,8883.0
276,17234.0
277,5158.0
278,5932.0
279,7206.0
280,9913.0
281,11658.0
282,11094.0
283,11201.0
284,8995.0
285,8559.0
286,5629.0
287,7311.0
288,9146.0
289,8715.0
290,6981.0
291,5400.0
292,6417.0
293,4845.0
294,9398.0
295,8099.0
296,7316.0
297,7217.0
298,5321.0
299,4748.0
300,5918.0
301,4671.0
302,5028.0
303,5119.0
304,5025.0
305,3741.0
306,2938.0
307,2296.0
308,4417.0
309,3826.0
310,3471.0
311,1544.0
312,2250.0
313,4381.0
314,1977.0
315,1861.0
316,2426.0
317,1791.0
318,1947.0
319,1338.0
320,1132.0
321,1315.0
322,1143.0
323,1918.0
324,2047.0
325,1804.0
326,1507.0
327,1184.0
328,1310.0
