,0
0,7
1,3
2,7
3,9
4,7
5,6
6,6
7,5
8,11
9,10
10,19
11,12
12,19
13,12
14,17
15,18
16,13
17,7
18,11
19,19
20,23
21,31
22,29
23,22
24,20
25,32
26,31
27,16
28,23
29,19
30,24
31,33
32,34
33,21
34,26
35,23
36,35
37,24
38,19
39,19
40,21
41,22
42,26
43,27
44,20
45,34
46,23
47,25
48,19
49,31
50,35
51,28
52,32
53,47
54,48
55,39
56,46
57,44
58,44
59,38
60,38
61,45
62,36
63,43
64,40
65,44
66,32
67,37
68,21
69,25
70,19
71,0
72,24
73,25
74,25
75,28
76,15
77,17
78,25
79,28
80,27
81,15
82,14
83,18
84,31
85,29
86,27
87,32
88,15
89,37
90,31
91,24
92,30
93,24
94,17
95,9
96,12
97,14
98,15
99,12
100,12
101,9
102,11
103,16
104,13
105,17
106,8
107,10
108,12
109,7
110,3
111,4
112,6
113,10
114,9
115,1
116,9
117,3
118,3
119,9
120,5
121,4
122,3
123,7
124,3
125,9
126,7
127,6
128,11
129,10
130,4
131,8
132,4
133,6
134,3
135,5
136,2
137,5
138,3
139,2
140,2
141,4
142,2
143,4
144,5
145,4
146,3
147,4
148,2
149,4
150,4
151,4
152,5
153,3
154,4
155,2
156,1
157,4
158,3
159,1
160,4
161,2
162,1
163,4
164,6
165,3
166,6
167,3
168,4
169,6
170,1
171,2
172,2
173,3
174,5
175,5
176,3
177,4
178,3
179,4
180,1
181,2
182,1
183,2
184,2
185,3
186,7
187,4
188,2
189,1
190,2
191,1
192,1
193,3
194,1
195,1
196,6
197,3
198,4
199,5
200,5
201,3
202,2
203,4
204,4
205,2
206,4
207,2
208,1
209,1
210,1
211,1
212,3
213,3
214,0
215,1
216,3
217,3
218,2
219,1
220,5
221,3
222,0
