,0
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,1
12,3
13,3
14,2
15,0
16,0
17,0
18,1
19,2
20,0
21,4
22,1
23,1
24,1
25,1
26,1
27,4
28,2
29,4
30,2
31,1
32,2
33,1
34,1
35,2
36,5
37,3
38,5
39,6
40,3
41,6
42,3
43,5
44,2
45,2
46,4
47,3
48,4
49,1
50,6
51,3
52,1
53,4
54,6
55,12
56,9
57,11
58,8
59,10
60,9
61,14
62,15
63,12
64,10
65,10
66,8
67,14
68,11
69,18
70,12
71,13
72,26
73,21
74,22
75,28
76,32
77,29
78,30
79,34
80,32
81,24
82,41
83,39
84,60
85,60
86,54
87,50
88,60
89,52
90,45
91,48
92,45
93,34
94,38
95,30
96,38
97,38
98,41
99,39
100,30
101,29
102,31
103,30
104,32
105,27
106,32
107,27
108,19
109,25
110,22
111,24
112,26
113,24
114,27
115,23
116,26
117,11
118,16
119,12
120,17
121,15
122,16
123,15
124,16
125,15
126,19
127,17
128,14
129,15
130,9
131,22
132,21
133,21
134,24
135,14
136,12
137,15
138,10
139,18
140,13
141,24
142,24
143,14
144,21
145,26
146,22
147,33
148,30
149,20
150,24
151,23
152,22
153,25
154,33
155,29
156,20
157,23
158,23
159,20
160,21
161,13
162,14
163,13
164,10
165,6
166,12
167,10
168,13
169,14
170,12
171,8
