,0
0,3
1,7
2,1
3,2
4,2
5,7
6,3
7,1
8,3
9,0
10,4
11,3
12,2
13,4
14,3
15,7
16,1
17,1
18,1
19,1
20,2
21,1
22,2
23,3
24,2
25,5
26,1
27,1
28,3
29,11
30,3
31,10
32,2
33,4
34,2
35,9
36,1
37,3
38,9
39,8
40,11
41,5
42,7
43,4
44,9
45,8
46,10
47,11
48,16
49,6
50,16
51,17
52,12
53,6
54,13
55,24
56,15
57,10
58,19
59,19
60,22
61,18
62,22
63,14
64,31
65,31
66,31
67,37
68,29
69,38
70,24
71,27
72,48
73,35
74,26
75,34
76,29
77,28
78,41
79,50
80,37
81,65
82,43
83,74
84,65
85,82
86,91
87,107
88,62
89,60
90,58
91,81
92,80
93,63
94,51
95,57
96,42
97,50
98,42
99,61
100,61
101,53
102,29
103,55
104,41
105,40
106,51
107,42
108,62
109,40
110,53
111,59
112,36
113,61
114,64
115,29
116,43
117,71
118,66
119,56
120,47
121,63
122,75
123,65
124,66
125,73
126,92
127,91
128,107
129,96
130,79
131,95
132,96
133,100
134,100
135,103
136,98
137,115
138,141
139,120
140,120
141,121
142,120
143,104
144,110
145,142
146,122
147,146
148,124
149,131
150,126
151,103
152,107
153,135
154,126
155,118
156,94
157,99
158,80
159,61
160,69
161,85
162,79
163,81
164,81
165,53
166,75
167,92
