,0
0,5
1,8
2,5
3,5
4,5
5,4
6,13
7,8
8,3
9,7
10,6
11,7
12,5
13,7
14,4
15,7
16,8
17,5
18,7
19,11
20,12
21,17
22,16
23,16
24,16
25,18
26,12
27,22
28,32
29,25
30,39
31,25
32,35
33,28
34,31
35,37
36,47
37,38
38,48
39,49
40,50
41,67
42,69
43,76
44,75
45,74
46,85
47,62
48,103
49,111
50,117
51,115
52,139
53,142
54,144
55,189
56,219
57,202
58,199
59,174
60,199
61,168
62,181
63,228
64,234
65,222
66,226
67,239
68,201
69,241
70,253
71,254
72,259
73,279
74,232
75,223
76,257
77,239
78,224
79,207
80,170
81,206
82,182
83,140
84,197
85,239
86,214
87,172
88,165
89,146
90,141
91,140
92,121
93,100
94,121
95,102
96,72
97,90
98,90
99,51
100,58
101,45
102,53
103,38
104,37
105,36
106,41
107,35
108,38
109,30
110,26
111,28
112,33
113,25
114,21
115,16
116,15
117,16
118,14
119,13
120,15
121,12
122,16
123,12
124,12
125,13
126,11
127,18
128,15
129,15
130,11
131,15
132,13
133,11
134,13
135,16
136,11
137,8
138,12
139,3
140,11
141,9
142,7
143,4
144,9
145,7
146,7
147,12
148,6
149,7
150,4
151,6
152,9
153,6
154,7
155,11
156,8
157,5
158,10
159,10
160,11
161,12
162,6
163,7
164,9
165,12
166,7
167,9
168,15
169,8
170,9
171,10
172,14
173,8
174,14
175,9
176,4
177,14
178,9
179,17
180,11
181,9
182,12
183,15
184,15
185,8
186,8
187,9
188,12
189,8
190,17
191,14
192,8
193,7
194,8
195,5
196,11
197,7
198,9
199,4
200,3
201,6
202,2
203,6
204,2
205,7
206,10
207,4
208,9
209,4
210,8
211,13
212,11
213,3
214,4
215,7
216,6
217,4
218,8
219,10
220,12
221,7
222,1
