,0
0,3
1,3
2,2
3,1
4,3
5,1
6,0
7,1
8,4
9,1
10,0
11,4
12,4
13,3
14,3
15,7
16,2
17,3
18,2
19,2
20,2
21,1
22,3
23,12
24,7
25,2
26,7
27,4
28,4
29,12
30,14
31,18
32,20
33,12
34,22
35,11
36,22
37,24
38,24
39,21
40,29
41,40
42,44
43,43
44,50
45,55
46,52
47,55
48,83
49,70
50,76
51,98
52,93
53,102
54,90
55,104
56,130
57,115
58,127
59,125
60,112
61,108
62,103
63,125
64,134
65,138
66,94
67,82
68,83
69,98
70,92
71,90
72,68
73,73
74,77
75,65
76,81
77,76
78,83
79,102
80,88
81,90
82,84
83,81
84,83
85,117
86,127
87,92
88,80
89,76
90,69
91,65
92,58
93,54
94,36
95,30
96,38
97,25
98,24
99,22
100,19
101,23
102,13
103,14
104,21
105,19
106,17
107,17
108,17
109,14
110,7
111,8
112,5
113,5
114,7
115,7
116,13
117,5
118,3
119,8
120,11
121,12
122,14
123,10
124,13
125,9
126,10
127,7
128,10
129,6
130,7
131,3
132,8
133,7
134,2
135,4
136,7
137,7
138,3
139,7
140,8
141,9
142,6
143,8
144,4
145,11
146,7
147,7
148,12
149,6
150,4
151,6
152,5
153,5
154,11
155,3
156,7
157,7
158,9
159,7
160,11
161,10
162,12
163,9
164,5
165,4
166,3
167,13
168,6
169,7
170,4
171,5
172,3
173,4
174,3
175,2
176,3
177,9
178,6
179,9
180,8
181,9
182,7
183,8
184,9
185,12
186,9
187,14
188,11
189,17
190,12
191,12
192,15
193,17
194,5
195,12
196,10
197,14
198,19
199,6
200,8
201,9
202,12
203,18
204,8
205,16
206,14
207,1
208,8
209,6
210,9
211,13
212,8
213,12
214,7
215,13
216,6
217,10
218,10
219,14
220,12
221,20
222,8
