,0
0,0.0
1,21205.93014891606
2,44530.70750583736
3,70151.34869148527
4,98249.04158985609
5,129006.58974776525
6,162608.41237484713
7,199240.54434355552
8,239087.42058579196
9,282266.9985222344
10,328972.3531310182
11,379402.41866558784
12,433713.4466165558
13,492019.0057117021
14,554389.9819159746
15,620854.5784314888
16,691398.315697528
17,765964.031390543
18,844451.8804241525
19,926719.3349491429
20,1012581.1843534687
21,1101809.535262251
22,1194133.8115377803
23,1289240.7542795131
24,1386822.7645965223
25,1486435.5185582063
26,1587546.3579439672
27,1689650.246858238
28,1792269.7749723138
29,1894955.1575243524
30,1997284.2353193746
31,2098862.4747292628
32,2199322.967692763
33,2298326.4317154833
34,2395561.2098698947
35,2490743.2707953295
36,2583616.208697984
37,2673951.2433509175
38,2761547.2200940493
39,2846230.6098341634
40,2927852.3427354093
41,3006138.3258138113
42,3080942.793032653
43,3152244.292672693
44,3220046.452355562
45,3284377.979043767
46,3345232.8286205847
47,3402244.8054894237
48,3456253.832932545
49,3508589.785338629
50,3560799.938222021
51,3614625.718636789
52,3670198.9728005715
53,3726790.3322115405
54,3784165.7280009133
55,3842084.032225557
56,3900300.028721038
57,3958583.532397636
58,4016679.7147975187
59,4074343.3003299744
60,4131347.6222726386
61,4187484.6227714927
62,4242564.852840865
63,4296417.47236343
64,4348890.25009021
65,4399849.56364057
66,4449180.399502228
67,4496786.353031243
68,4542589.628452022
69,4586531.038857319
70,4628570.006208235
71,4668684.561334216
72,4706871.343933056
73,4743145.602570895
74,4777535.444429949
75,4810075.813403269
76,4840836.008649004
77,4869886.7518421225
78,4897297.261090648
79,4923135.250935655
80,4947466.932351271
81,4970357.0127446735
82,4991868.695956095
83,5012063.682258816
84,5031002.168359173
85,5048742.847396554
86,5065342.908943397
87,5080858.039005192
88,5095342.420020483
89,5108848.730860867
90,5121428.146830989
91,5133130.339668549
92,5144004.627637033
93,5154119.200928404
94,5163528.367086324
95,5172276.787324584
96,5180407.220871691
97,5187960.524970867
98,5194975.654880049
99,5201489.66387189
