,0
0,0.0
1,0.0
2,0.0
3,1.0
4,0.0
5,1.0
6,0.0
7,0.0
8,0.0
9,0.0
10,1.0
11,1.0
12,1.0
13,1.0
14,4.0
15,3.0
16,4.0
17,12.0
18,7.0
19,12.0
20,11.0
21,19.0
22,20.0
23,27.0
24,26.0
25,28.0
26,48.0
27,54.0
28,54.0
29,40.0
30,42.0
31,51.0
32,43.0
33,49.0
34,42.0
35,42.0
36,49.0
37,34.0
38,46.0
39,36.0
40,53.0
41,43.0
42,31.0
43,41.0
44,32.0
45,41.0
46,44.0
47,33.0
48,32.0
49,29.0
50,41.0
51,32.0
52,60.0
53,34.0
54,31.0
55,25.0
56,23.0
57,30.0
58,32.0
59,26.0
60,16.0
61,25.0
62,30.0
63,28.0
64,27.0
65,35.0
66,22.0
67,33.0
68,22.0
69,21.0
70,17.0
71,46.0
72,25.0
73,16.0
74,17.0
75,11.0
76,16.0
77,13.0
78,12.0
79,21.0
80,14.0
81,14.0
82,17.0
83,8.0
84,18.0
85,10.0
86,16.0
87,12.0
88,14.0
89,10.0
90,11.0
91,9.0
92,23.0
93,10.0
94,12.0
95,16.0
96,7.0
97,15.0
98,13.0
