,0
0,100000.0
1,134154.75087241182
2,179108.81000102448
3,237638.65099643913
4,312609.5028054398
5,406736.42684243096
6,522652.54520102416
7,660476.4058810022
8,817463.5038539402
9,989408.0212911092
10,1164587.1424381968
11,1328799.5233878125
12,1470176.6164028076
13,1579182.6699162764
14,1648614.7285315539
15,1674298.1034385273
16,1659783.8711546476
17,1610003.0771067785
18,1530638.6776264457
19,1428555.5300639365
20,1311800.3927883015
21,1189601.925187354
22,1072370.6876676711
23,965204.9765612347
24,863330.155807636
25,767937.9238648079
26,679931.8949431825
27,599790.3045621498
28,527566.0095500606
29,462886.48804422363
30,404973.52354261925
31,353407.1348647191
32,307832.8813643242
33,267721.4887574579
34,232556.008318906
35,201831.8168822169
36,175056.61683970186
37,151750.43614243448
38,131444.13294273586
39,113741.27586732988
40,98363.91282204137
41,85051.66806444095
42,73553.71063329294
43,63628.754348555405
44,55045.05781138013
45,47585.08141594032
46,41182.55869363159
47,35606.69545217215
48,30609.283948277793
49,26050.3046010135
50,21897.925991793603
51,18228.504864381684
52,15195.42542445165
53,12686.100466939422
54,10592.534887609065
55,8850.247812642125
56,7399.345932545648
57,6184.536696249133
58,5163.776771478858
59,4310.944300354871
60,3600.8053891505974
61,3009.8763439775685
62,2516.423670785422
63,2101.6562707192597
64,1754.415665108705
65,1465.006764629396
66,1224.2624311530872
67,1023.65975881803
68,855.3799153964488
69,714.106891264971
70,596.182823105074
71,498.0437489291389
72,416.3696535889549
73,348.08446877571896
74,290.6616596089107
75,242.63844134258215
76,202.63459065562856
77,169.35768227786457
78,141.6074585446936
79,118.3013072989199
80,98.75769576067914
81,82.45543199848085
82,68.89185128249184
83,57.599113325358076
84,48.14424826343247
85,40.1970422775859
86,33.556608639080295
87,28.02760649796828
88,23.427852439941134
89,19.588320486328875
90,16.360874093216403
91,13.65767188309056
92,11.404213974796251
93,9.529618867962412
94,7.9679761393361765
95,6.658694022457159
96,5.560820074553929
97,4.644388001425124
98,3.879933981055308
99,3.241340394717912
