,0
0,100000.0
1,90517.98572034018
2,82249.40204677018
3,75025.7521451634
4,68702.48276866018
5,63157.22218157507
6,58287.03217976614
7,54004.527256270405
8,50235.02703116719
9,46913.56218992785
10,43984.872006753816
11,41403.25192808319
12,39128.6681124477
13,37127.125335176046
14,35369.32341574149
15,33829.64356206363
16,32486.14837050833
17,31320.581825887726
18,30318.239572778657
19,29465.790408750883
20,28752.308130160876
21,28168.835763987972
22,27707.93603735298
23,27363.691377518167
24,27131.703911887274
25,27009.095468005497
26,26994.507573559502
27,27088.243920092897
28,27291.139320182294
29,27604.669158623932
30,28032.0506894562
31,28578.25394011764
32,29250.00171144698
33,30055.76957768312
34,31005.785886465128
35,32112.031758832258
36,33388.24108922391
37,34850.04087855581
38,36520.37270990117
39,38424.476475486284
40,40588.89136247702
41,43043.548380661654
42,45821.77036245083
43,48960.27196287767
44,52499.1596595977
45,56481.931752888886
46,60955.47836565157
47,65970.08144340856
48,71579.41475430506
49,77840.54388910873
50,84813.92626120956
51,92496.234094632
52,100794.81986935118
53,109751.14803472496
54,119407.26678095145
55,129800.34795313136
56,140962.68705126812
57,152921.70323026745
58,165699.939299938
59,179315.06172499096
60,193779.86062504002
61,209102.2497746016
62,225285.2666030947
63,242327.00658800706
64,260214.40330698734
65,278916.5489096569
66,298391.42848713533
67,318586.5942065552
68,339439.16531106154
69,360875.82811981224
70,382812.8360279779
71,405156.0095067418
72,427800.73610329995
73,450631.97044086107
74,473524.2342186468
75,496341.61621189106
76,518937.772271841
77,541155.9253257562
78,562828.8653769088
79,583782.617606747
80,603892.7364127004
81,623082.0132979384
82,641283.1703381074
83,658438.1051139341
84,674497.8907112251
85,689422.7757208658
86,703182.184238822
87,715754.7158661383
88,727128.1457089398
89,737299.4243784304
90,746274.6779908941
91,754069.2081676942
92,760707.4920352738
93,766223.1822251556
94,770659.106873942
95,774067.2696233146
96,776512.0285509853
97,778096.931608216
98,778935.0957096481
99,779129.4414942787
100,778772.6450587742
101,777947.1379574696
102,776725.1072023691
103,775168.4952631458
104,773329.0000671417
105,771248.0749993677
106,768956.9289025038
107,766476.5260768987
108,763817.5862805704
109,760987.7065257861
110,758071.3313978437
111,755121.7002541269
112,752169.8282366876
113,749242.5756984927
114,746362.6482034248
115,743548.5965262812
116,740814.8166527749
117,738171.5497795336
118,735624.8823141009
119,733176.745874935
120,730824.9172914096
121,728563.0186038136
122,726380.5170633511
123,724284.8856803036
124,722306.435315439
125,720438.9464756779
126,718675.6783999049
127,717010.3217242445
