,0
0,100000.0
1,110077.29573765995
2,120995.81082832917
3,132793.21184844605
4,145498.14126696397
5,159126.57387484773
6,173681.81678507332
7,189154.50943262826
8,205523.48700359178
9,222767.22434179625
10,240809.77254109783
11,259544.17819620037
12,278847.1567122515
13,298579.09230484266
14,318584.03800000914
15,338689.7156342297
16,358707.5158544271
17,378432.498117968
18,397643.39069266256
19,416102.59065676486
20,433556.1638989727
21,449733.84511842777
22,464349.03782471543
23,477098.81433786475
24,487598.85628969094
25,495735.7314822011
26,501604.8928438282
27,505300.5147578139
28,506915.4874124261
29,506541.4168009589
30,504268.6247217327
31,500186.14877809404
32,494381.7423784158
33,486941.87473609694
34,477951.7308695628
35,467495.21160226484
36,455654.93356268085
37,442512.2291843148
38,428147.14670569694
39,412638.45017038356
40,396071.1772983839
41,378938.5462859796
42,361617.4558412457
43,344256.9215295293
44,326989.57408244145
45,309931.6593978568
46,292650.7123307722
47,273058.07505572855
48,259498.35766506876
49,256936.98652530144
50,263821.08672534174
51,272187.48939444486
52,277794.45470911387
53,282268.6491897134
54,285557.59829723026
55,287629.87780927
56,288472.9988749168
57,288087.9746762163
58,286525.78744521854
59,283849.61899042915
60,280126.8524728498
61,275429.07240597764
62,269832.0646558058
63,263415.8164408229
64,256264.51633201347
65,248466.55425285772
66,240114.5214793316
67,231305.21063990676
68,222139.61571555067
69,212722.93203972644
70,203164.556298393
71,193578.08653000498
72,184081.32212551282
73,174796.26382836248
74,165808.22972349418
75,157039.04079724321
76,148498.33032036095
77,140207.17586819862
78,132183.96443512972
79,124444.39243454995
80,117001.4656988772
81,109865.4994795516
82,103044.11844703546
83,96542.2566908134
84,90362.15771939214
85,84503.37446030072
86,78962.76926009034
87,73734.5138843344
88,68810.08951762857
89,64178.286763590746
90,59825.20564486095
91,55734.25560310153
92,51886.88939365286
93,48277.790084205786
94,44899.28329746684
95,41739.708742933035
96,38787.558341400356
97,36031.4762249636
98,33460.2587370166
99,31062.85443225213
