,0
0,0.0
1,21205.93014891606
2,44530.70750583736
3,70151.34869148527
4,98249.0415898561
5,129006.58974776522
6,162608.41237484707
7,199240.54434355543
8,239087.42058579193
9,282266.99852223444
10,328972.35313101835
11,379402.41866558825
12,433713.4466165563
13,492019.00571170275
14,554389.9819159752
15,620854.5784314896
16,691398.3156975288
17,765964.0313905436
18,844451.880424153
19,926719.3349491432
20,1012581.1843534686
21,1101809.5352622508
22,1194133.8115377799
23,1289240.7542795127
24,1386822.7645965223
25,1486435.5185582063
26,1587546.3579439665
27,1689650.2468582366
28,1792269.7749723115
29,1894955.1575243492
30,1997284.2353193709
31,2098862.4747292586
32,2199322.967692759
33,2298326.4317154796
34,2395561.2098698914
35,2490743.270795327
36,2583616.2086979835
37,2673951.243350918
38,2761547.2200940517
39,2846230.609834168
40,2927852.3427354163
41,3006138.3258138183
42,3080942.7930326606
43,3152244.2926727007
44,3220046.45235557
45,3284377.9790437752
46,3345232.8286205903
47,3402244.805489427
48,3456253.832932556
49,3508589.7853386607
50,3560799.93822209
51,3614625.7186369128
52,3670198.9728007405
53,3726790.3322117543
54,3784165.728001171
55,3842084.0322258566
56,3900300.028721377
57,3958583.532398013
58,4016679.714797931
59,4074343.300330419
60,4131347.622273113
61,4187484.6227719937
62,4242564.85284139
63,4296417.472363976
64,4348890.250090773
65,4399849.56364115
66,4449180.399502819
67,4496786.353031844
68,4542589.628452629
69,4586531.038857931
70,4628570.006208848
71,4668684.56133483
72,4706871.343933668
73,4743145.602571503
74,4777535.4444305515
75,4810075.813403866
76,4840836.008649594
77,4869886.751842706
78,4897297.261091224
79,4923135.250936223
80,4947466.93235183
81,4970357.012745224
82,4991868.695956636
83,5012063.682259348
84,5031002.168359696
85,5048742.847397067
86,5065342.9089439
87,5080858.039005686
88,5095342.420020968
89,5108848.730861341
90,5121428.146831454
91,5133130.339669005
92,5144004.62763748
93,5154119.200928844
94,5163528.367086755
95,5172276.787325008
96,5180407.220872107
97,5187960.5249712765
98,5194975.654880452
99,5201489.663872287
