,0
0,1
1,0
2,5
3,3
4,5
5,2
6,1
7,1
8,3
9,3
10,2
11,1
12,6
13,0
14,2
15,2
16,4
17,5
18,2
19,5
20,4
21,5
22,5
23,6
24,4
25,4
26,7
27,4
28,3
29,3
30,10
31,7
32,9
33,6
34,12
35,11
36,13
37,13
38,14
39,20
40,22
41,22
42,30
43,32
44,44
45,52
46,41
47,49
48,46
49,84
50,83
51,98
52,91
53,93
54,110
55,111
56,101
57,112
58,114
59,95
60,89
61,94
62,92
63,101
64,97
65,84
66,76
67,137
68,120
69,130
70,123
71,133
72,121
73,64
74,69
75,69
76,68
77,67
78,53
79,51
80,51
81,45
82,52
83,38
84,78
85,55
86,57
87,63
88,41
89,48
90,44
91,29
92,42
93,29
94,18
95,21
96,25
97,25
98,19
99,22
100,15
101,16
102,22
103,14
104,12
105,9
106,10
107,9
108,12
109,11
110,17
111,9
112,10
113,7
114,8
115,8
116,7
117,7
118,3
119,5
120,7
121,3
122,8
123,9
124,9
125,6
126,5
127,11
128,6
129,7
130,3
131,4
132,2
133,4
134,8
135,6
136,2
137,5
138,10
139,4
140,2
141,9
142,6
143,3
144,4
145,6
146,11
147,10
148,9
149,4
150,11
151,7
152,5
153,9
154,8
155,10
156,5
157,3
158,7
159,0
160,4
161,4
162,2
163,7
164,6
165,5
166,2
167,5
168,7
169,7
170,3
171,1
172,3
173,2
174,7
175,7
176,1
177,2
178,7
179,6
180,3
181,4
182,1
183,2
184,6
185,5
186,5
187,0
188,4
189,5
190,5
191,9
192,2
193,2
194,5
195,2
196,3
197,1
198,4
199,2
200,1
201,3
202,2
203,1
204,3
205,2
206,2
207,1
208,0
209,5
210,2
211,2
212,1
213,2
214,1
215,1
216,0
217,3
218,2
219,1
220,3
221,0
222,3
