,0
0,1
1,0
2,1
3,1
4,0
5,1
6,1
7,2
8,2
9,1
10,1
11,1
12,2
13,5
14,2
15,9
16,8
17,5
18,14
19,12
20,13
21,15
22,14
23,25
24,22
25,24
26,27
27,27
28,35
29,29
30,25
31,28
32,22
33,30
34,29
35,28
36,24
37,26
38,22
39,20
40,22
41,20
42,26
43,21
44,19
45,11
46,14
47,10
48,20
49,20
50,18
51,12
52,24
53,9
54,13
55,9
56,12
57,11
58,16
59,4
60,8
61,7
62,12
63,5
64,6
65,7
66,7
67,4
68,3
69,8
70,4
71,4
72,6
73,4
74,4
75,5
76,1
77,4
78,1
79,3
80,3
81,3
82,3
83,2
84,1
85,1
86,1
87,7
88,5
89,3
90,3
91,1
92,1
93,0
94,2
95,1
96,1
97,1
98,2
99,2
100,0
101,2
102,2
103,1
104,1
105,1
106,0
107,0
108,0
109,2
110,1
111,0
112,0
113,0
114,0
115,2
116,0
117,0
118,1
