,date,state,previous_day_admission_influenza_confirmed
28734,2020-03-14,TN,
33402,2020-03-15,TN,
32499,2020-03-16,TN,
31729,2020-03-17,TN,
26742,2020-03-18,TN,
24447,2020-03-19,TN,
28687,2020-03-20,TN,
27026,2020-03-21,TN,
33365,2020-03-22,TN,
31306,2020-03-23,TN,
32458,2020-03-24,TN,
24317,2020-03-25,TN,
30400,2020-03-26,TN,
32543,2020-03-27,TN,
27658,2020-03-28,TN,
33242,2020-03-29,TN,
31988,2020-03-30,TN,
23902,2020-03-31,TN,
26332,2020-04-01,TN,
32810,2020-04-02,TN,
31225,2020-04-03,TN,
27812,2020-04-04,TN,
24271,2020-04-05,TN,
23491,2020-04-06,TN,
24470,2020-04-07,TN,
26748,2020-04-08,TN,
33653,2020-04-09,TN,
27111,2020-04-10,TN,
23330,2020-04-11,TN,
31817,2020-04-12,TN,
23669,2020-04-13,TN,
31816,2020-04-14,TN,
24474,2020-04-15,TN,
34698,2020-04-16,TN,
28492,2020-04-17,TN,
32813,2020-04-18,TN,
28477,2020-04-19,TN,
25231,2020-04-20,TN,
32415,2020-04-21,TN,
25167,2020-04-22,TN,
14489,2020-04-23,TN,
14515,2020-04-24,TN,
16890,2020-04-25,TN,
22496,2020-04-26,TN,
19318,2020-04-27,TN,
20023,2020-04-28,TN,
21474,2020-04-29,TN,
16451,2020-04-30,TN,
16196,2020-05-01,TN,
14048,2020-05-02,TN,
16415,2020-05-03,TN,
21613,2020-05-04,TN,
20982,2020-05-05,TN,
20892,2020-05-06,TN,
14499,2020-05-07,TN,
20902,2020-05-08,TN,
20785,2020-05-09,TN,
21380,2020-05-10,TN,
15200,2020-05-11,TN,
15577,2020-05-12,TN,
21078,2020-05-13,TN,
15264,2020-05-14,TN,
22896,2020-05-15,TN,
15519,2020-05-16,TN,
14782,2020-05-17,TN,
14879,2020-05-18,TN,
15385,2020-05-19,TN,
23107,2020-05-20,TN,
15044,2020-05-21,TN,
20047,2020-05-22,TN,
18894,2020-05-23,TN,
21880,2020-05-24,TN,
17255,2020-05-25,TN,
15073,2020-05-26,TN,
21696,2020-05-27,TN,
16919,2020-05-28,TN,
21414,2020-05-29,TN,
16247,2020-05-30,TN,
21214,2020-05-31,TN,
19969,2020-06-01,TN,
13427,2020-06-02,TN,
19441,2020-06-03,TN,
21288,2020-06-04,TN,
18506,2020-06-05,TN,
16200,2020-06-06,TN,
15752,2020-06-07,TN,
17195,2020-06-08,TN,
19377,2020-06-09,TN,
21040,2020-06-10,TN,
13403,2020-06-11,TN,
22933,2020-06-12,TN,
19763,2020-06-13,TN,
15856,2020-06-14,TN,
18370,2020-06-15,TN,
18487,2020-06-16,TN,
20721,2020-06-17,TN,
17940,2020-06-18,TN,
18808,2020-06-19,TN,
14681,2020-06-20,TN,
16240,2020-06-21,TN,
17033,2020-06-22,TN,
15424,2020-06-23,TN,
17831,2020-06-24,TN,
