,Unnamed: 0,previous_day_admission_influenza_confirmed
1349,61015,2.0
1350,64166,4.0
1351,66071,2.0
1352,69721,2.0
1353,60991,2.0
1354,64094,4.0
1355,74045,7.0
1356,70799,5.0
1357,69092,7.0
1358,72285,4.0
1359,70268,4.0
1360,62339,5.0
1361,69464,3.0
1362,73953,4.0
1363,71929,7.0
1364,61778,4.0
1365,70543,7.0
1366,66360,6.0
1367,66525,7.0
1368,61083,15.0
1369,70600,11.0
1370,66865,9.0
1371,73022,16.0
1372,60609,9.0
1373,63623,7.0
1374,73170,7.0
1375,67741,11.0
1376,70327,10.0
1377,63030,14.0
1378,64891,12.0
1379,61170,12.0
1380,70638,17.0
1381,68046,10.0
1382,71102,19.0
1383,63429,14.0
1384,69738,15.0
1385,68959,18.0
1386,66941,17.0
1387,62293,16.0
1388,68501,12.0
1389,61899,19.0
1390,67447,19.0
1391,63111,29.0
1392,62709,37.0
1393,61882,25.0
1394,68636,14.0
1395,67690,23.0
1396,63713,24.0
1397,62920,34.0
1398,61984,22.0
1399,68105,40.0
1400,67534,38.0
1401,63217,30.0
1402,63868,29.0
1403,69270,19.0
1404,68500,36.0
1405,60977,39.0
1406,62555,26.0
1407,67704,30.0
1408,72639,30.0
1409,64675,24.0
1410,65962,23.0
1411,70887,22.0
1412,62412,23.0
1413,68744,24.0
1414,67424,25.0
1415,60828,20.0
1416,71519,21.0
1417,71329,19.0
1418,71208,25.0
1419,66959,24.0
1420,62211,21.0
1421,63659,18.0
1422,68493,17.0
1423,70406,14.0
1424,66520,23.0
1425,72040,15.0
1426,69074,16.0
1427,71924,23.0
1428,65583,19.0
1429,62031,10.0
65646,8.0
4.0
