,date,state,previous_day_admission_influenza_confirmed
25451,2020-01-04,AR,
27312,2020-01-05,AR,
29184,2020-01-06,AR,
27380,2020-01-07,AR,
26012,2020-01-08,AR,
28599,2020-03-11,AR,
33589,2020-03-12,AR,
24509,2020-03-13,AR,
32433,2020-03-14,AR,
25041,2020-03-15,AR,
23312,2020-03-16,AR,
32498,2020-03-17,AR,
24016,2020-03-18,AR,
33988,2020-03-19,AR,
26088,2020-03-20,AR,
26142,2020-03-21,AR,
33194,2020-03-22,AR,
28522,2020-03-23,AR,
32550,2020-03-24,AR,
26383,2020-03-25,AR,
26835,2020-03-26,AR,
32209,2020-03-27,AR,
34429,2020-03-28,AR,
34073,2020-03-29,AR,
32564,2020-03-30,AR,
24148,2020-03-31,AR,
30485,2020-04-01,AR,
28150,2020-04-02,AR,
31872,2020-04-03,AR,
25874,2020-04-04,AR,
29063,2020-04-05,AR,
26959,2020-04-06,AR,
33322,2020-04-07,AR,
24250,2020-04-08,AR,
29096,2020-04-09,AR,
29378,2020-04-10,AR,
32697,2020-04-11,AR,
30212,2020-04-12,AR,
32462,2020-04-13,AR,
26734,2020-04-14,AR,
25539,2020-04-15,AR,
30246,2020-04-16,AR,
26255,2020-04-17,AR,
23735,2020-04-18,AR,
25420,2020-04-19,AR,
34379,2020-04-20,AR,
33055,2020-04-21,AR,
23882,2020-04-22,AR,
20273,2020-04-23,AR,
20431,2020-04-24,AR,
22758,2020-04-25,AR,
22895,2020-04-26,AR,
19152,2020-04-27,AR,
21693,2020-04-28,AR,
20667,2020-04-29,AR,
17510,2020-04-30,AR,
18096,2020-05-01,AR,
19897,2020-05-02,AR,
18425,2020-05-03,AR,
18271,2020-05-04,AR,
17370,2020-05-05,AR,
18947,2020-05-06,AR,
19986,2020-05-07,AR,
19227,2020-05-08,AR,
20262,2020-05-09,AR,
17231,2020-05-10,AR,
19038,2020-05-11,AR,
16125,2020-05-12,AR,
18482,2020-05-13,AR,
16156,2020-05-14,AR,
17060,2020-05-15,AR,
19439,2020-05-16,AR,
20797,2020-05-17,AR,
19744,2020-05-18,AR,
16330,2020-05-19,AR,
22900,2020-05-20,AR,
19322,2020-05-21,AR,
20773,2020-05-22,AR,
15399,2020-05-23,AR,
16652,2020-05-24,AR,
22906,2020-05-25,AR,
14922,2020-05-26,AR,
16168,2020-05-27,AR,
14712,2020-05-28,AR,
22746,2020-05-29,AR,
18097,2020-05-30,AR,
22677,2020-05-31,AR,
16566,2020-06-01,AR,
16172,2020-06-02,AR,
18513,2020-06-03,AR,
15255,2020-06-04,AR,
15688,2020-06-05,AR,
14054,2020-06-06,AR,
22773,2020-06-07,AR,
22924,2020-06-08,AR,
22134,2020-06-09,AR,
22751,2020-06-10,AR,
17274,2020-06-11,AR,
20682,2020-06-12,AR,
19995,2020-06-13,AR,
15197,2020-06-14,AR,
21003,2020-06-15,AR,
15367,2020-06-16,AR,
17555,2020-06-17,AR,
19367,2020-06-18,AR,
21336,2020-06-19,AR,
18416,2020-06-20,AR,
22619,2020-06-21,AR,
20137,2020-06-22,AR,
19866,2020-06-23,AR,
20755,2020-06-24,AR,
14723,2020-06-25,AR,
19295,2020-06-26,AR,
16478,2020-06-27,AR,
22601,2020-06-28,AR,
17563,2020-06-29,AR,
21779,2020-06-30,AR,
18476,2020-07-01,AR,
14427,2020-07-02,AR,
20248,2020-07-03,AR,
19967,2020-07-04,AR,
20166,2020-07-05,AR,
16085,2020-07-06,AR,
18033,2020-07-07,AR,
17476,2020-07-08,AR,
19261,2020-07-09,AR,
22504,2020-07-10,AR,
13922,2020-07-11,AR,
15359,2020-07-12,AR,
14148,2020-07-13,AR,
16395,2020-07-14,AR,
20269,2020-07-15,AR,
21877,2020-07-16,AR,
17108,2020-07-17,AR,
15897,2020-07-18,AR,
13456,2020-07-19,AR,
17190,2020-07-20,AR,
14585,2020-07-21,AR,
14780,2020-07-22,AR,
14145,2020-07-23,AR,
20293,2020-07-24,AR,
21900,2020-07-25,AR,
22438,2020-07-26,AR,
17777,2020-07-27,AR,
21465,2020-07-28,AR,
17074,2020-07-29,AR,
13765,2020-07-30,AR,
20407,2020-07-31,AR,
15617,2020-08-01,AR,
17238,2020-08-02,AR,
15077,2020-08-03,AR,
21586,2020-08-04,AR,
18212,2020-08-05,AR,
20881,2020-08-06,AR,
14994,2020-08-07,AR,
22844,2020-08-08,AR,
19366,2020-08-09,AR,
14612,2020-08-10,AR,
18665,2020-08-11,AR,
22727,2020-08-12,AR,
15718,2020-08-13,AR,
16958,2020-08-14,AR,
13761,2020-08-15,AR,
15672,2020-08-16,AR,
