,date,state,previous_day_admission_influenza_confirmed
34399,2020-02-04,CA,
23349,2020-02-05,CA,
28033,2020-02-06,CA,
27479,2020-02-07,CA,
26494,2020-02-08,CA,
28006,2020-03-01,CA,
32953,2020-03-02,CA,
23932,2020-03-03,CA,
27116,2020-03-04,CA,
29465,2020-03-05,CA,
28309,2020-03-06,CA,
25563,2020-03-07,CA,
27043,2020-03-08,CA,
26330,2020-03-09,CA,
31784,2020-03-10,CA,
26481,2020-03-11,CA,
28259,2020-03-12,CA,
31414,2020-03-13,CA,
26945,2020-03-14,CA,
23691,2020-03-15,CA,
32219,2020-03-16,CA,
27069,2020-03-17,CA,
31625,2020-03-18,CA,
27939,2020-03-19,CA,
28808,2020-03-20,CA,
34449,2020-03-21,CA,
25170,2020-03-22,CA,
34535,2020-03-23,CA,
26594,2020-03-24,CA,
31140,2020-03-25,CA,
27438,2020-03-26,CA,
29007,2020-03-27,CA,
23285,2020-03-28,CA,
27302,2020-03-29,CA,
31887,2020-03-30,CA,
30963,2020-03-31,CA,
27985,2020-04-01,CA,
32790,2020-04-02,CA,
32599,2020-04-03,CA,
29282,2020-04-04,CA,
28710,2020-04-05,CA,
33561,2020-04-06,CA,
24906,2020-04-07,CA,
31096,2020-04-08,CA,
33925,2020-04-09,CA,
31904,2020-04-10,CA,
27879,2020-04-11,CA,
27735,2020-04-12,CA,
26872,2020-04-13,CA,
30800,2020-04-14,CA,
33057,2020-04-15,CA,
25215,2020-04-16,CA,
33199,2020-04-17,CA,
29827,2020-04-18,CA,
28860,2020-04-19,CA,
29177,2020-04-20,CA,
26200,2020-04-21,CA,
29980,2020-04-22,CA,
14849,2020-04-23,CA,
13897,2020-04-24,CA,
15438,2020-04-25,CA,
22287,2020-04-26,CA,
13632,2020-04-27,CA,
15721,2020-04-28,CA,
13473,2020-04-29,CA,
20950,2020-04-30,CA,
22150,2020-05-01,CA,
13948,2020-05-02,CA,
20453,2020-05-03,CA,
14785,2020-05-04,CA,
22645,2020-05-05,CA,
22757,2020-05-06,CA,
14035,2020-05-07,CA,
13322,2020-05-08,CA,
14876,2020-05-09,CA,
21531,2020-05-10,CA,
18211,2020-05-11,CA,
14569,2020-05-12,CA,
13838,2020-05-13,CA,
20334,2020-05-14,CA,
21795,2020-05-15,CA,
13472,2020-05-16,CA,
19857,2020-05-17,CA,
14386,2020-05-18,CA,
20587,2020-05-19,CA,
16963,2020-05-20,CA,
14046,2020-05-21,CA,
20323,2020-05-22,CA,
19515,2020-05-23,CA,
21113,2020-05-24,CA,
17603,2020-05-25,CA,
19065,2020-05-26,CA,
15826,2020-05-27,CA,
20681,2020-05-28,CA,
18040,2020-05-29,CA,
18871,2020-05-30,CA,
16097,2020-05-31,CA,
15527,2020-06-01,CA,
22162,2020-06-02,CA,
15639,2020-06-03,CA,
16731,2020-06-04,CA,
20432,2020-06-05,CA,
18738,2020-06-06,CA,
20425,2020-06-07,CA,
16303,2020-06-08,CA,
18066,2020-06-09,CA,
18073,2020-06-10,CA,
21952,2020-06-11,CA,
16137,2020-06-12,CA,
15193,2020-06-13,CA,
15209,2020-06-14,CA,
15570,2020-06-15,CA,
19425,2020-06-16,CA,
22831,2020-06-17,CA,
22777,2020-06-18,CA,
17870,2020-06-19,CA,
22550,2020-06-20,CA,
17489,2020-06-21,CA,
15355,2020-06-22,CA,
21604,2020-06-23,CA,
15379,2020-06-24,CA,
20142,2020-06-25,CA,
14853,2020-06-26,CA,
22449,2020-06-27,CA,
13950,2020-06-28,CA,
22822,2020-06-29,CA,
20279,2020-06-30,CA,
17534,2020-07-01,CA,
19767,2020-07-02,CA,
14799,2020-07-03,CA,
15281,2020-07-04,CA,
17367,2020-07-05,CA,
15093,2020-07-06,CA,
16744,2020-07-07,CA,
22747,2020-07-08,CA,
21707,2020-07-09,CA,
21903,2020-07-10,CA,
19231,2020-07-11,CA,
20128,2020-07-12,CA,
20116,2020-07-13,CA,
19253,2020-07-14,CA,
14881,2020-07-15,CA,
16534,2020-07-16,CA,
17480,2020-07-17,CA,
23132,2020-07-18,CA,
19405,2020-07-19,CA,
22482,2020-07-20,CA,
19363,2020-07-21,CA,
16980,2020-07-22,CA,
19457,2020-07-23,CA,
14860,2020-07-24,CA,
20377,2020-07-25,CA,
16488,2020-07-26,CA,
22424,2020-07-27,CA,
16056,2020-07-28,CA,
14834,2020-07-29,CA,
22129,2020-07-30,CA,
15069,2020-07-31,CA,
19736,2020-08-01,CA,
14094,2020-08-02,CA,
22283,2020-08-03,CA,
16854,2020-08-04,CA,
22257,2020-08-05,CA,
18113,2020-08-06,CA,
16485,2020-08-07,CA,
19385,2020-08-08,CA,
14079,2020-08-09,CA,
13650,2020-08-10,CA,
15163,2020-08-11,CA,
17538,2020-08-12,CA,
19794,2020-08-13,CA,
22077,2020-08-14,CA,
21010,2020-08-15,CA,
19810,2020-08-16,CA,
14757,2020-08-17,CA,
17702,2020-08-18,CA,
14709,2020-08-19,CA,
18207,2020-08-20,CA,
17271,2020-08-21,CA,
18483,2020-08-22,CA,
15436,2020-08-23,CA,
21503,2020-08-24,CA,
15131,2020-08-25,CA,
15728,2020-08-26,CA,
19732,2020-08-27,CA,
18427,2020-08-28,CA,
19206,2020-08-29,CA,
16344,2020-08-30,CA,
22880,2020-08-31,CA,
16999,2020-09-01,CA,
21059,2020-09-02,CA,
15742,2020-09-03,CA,
14137,2020-09-04,CA,
21050,2020-09-05,CA,
22530,2020-09-06,CA,
19258,2020-09-07,CA,
20466,2020-09-08,CA,
22321,2020-09-09,CA,
22759,2020-09-10,CA,
15535,2020-09-11,CA,
16430,2020-09-12,CA,
15544,2020-09-13,CA,
15548,2020-09-14,CA,
19975,2020-09-15,CA,
22726,2020-09-16,CA,
19593,2020-09-17,CA,
22640,2020-09-18,CA,
23197,2020-09-19,CA,
17199,2020-09-20,CA,
16013,2020-09-21,CA,
17536,2020-09-22,CA,
18967,2020-09-23,CA,
19566,2020-09-24,CA,
13915,2020-09-25,CA,
14014,2020-09-26,CA,
15266,2020-09-27,CA,
21593,2020-09-28,CA,
14281,2020-09-29,CA,
21653,2020-09-30,CA,
15943,2020-10-01,CA,
23258,2020-10-02,CA,
19748,2020-10-03,CA,
15959,2020-10-04,CA,
18780,2020-10-05,CA,
13806,2020-10-06,CA,
22683,2020-10-07,CA,
17381,2020-10-08,CA,
14318,2020-10-09,CA,
20465,2020-10-10,CA,
23017,2020-10-11,CA,
20327,2020-10-12,CA,
15272,2020-10-13,CA,
21675,2020-10-14,CA,
22623,2020-10-15,CA,
19894,2020-10-16,CA,0.0
17335,2020-10-17,CA,0.0
17571,2020-10-18,CA,0.0
20074,2020-10-19,CA,0.0
20631,2020-10-20,CA,1.0
22128,2020-10-21,CA,3.0
14721,2020-10-22,CA,3.0
21542,2020-10-23,CA,0.0
19399,2020-10-24,CA,2.0
19490,2020-10-25,CA,2.0
20171,2020-10-26,CA,11.0
16334,2020-10-27,CA,2.0
19114,2020-10-28,CA,2.0
10183,2020-10-29,CA,7.0
2131,2020-10-30,CA,2.0
8483,2020-10-31,CA,4.0
3236,2020-11-01,CA,1.0
13100,2020-11-02,CA,2.0
3984,2020-11-03,CA,7.0
11152,2020-11-04,CA,11.0
12367,2020-11-05,CA,1.0
9774,2020-11-06,CA,3.0
6497,2020-11-07,CA,4.0
1515,2020-11-08,CA,3.0
11292,2020-11-09,CA,6.0
11117,2020-11-10,CA,6.0
9610,2020-11-11,CA,16.0
4008,2020-11-12,CA,5.0
8174,2020-11-13,CA,1.0
10630,2020-11-14,CA,4.0
5077,2020-11-15,CA,6.0
6698,2020-11-16,CA,1.0
4062,2020-11-17,CA,7.0
1765,2020-11-18,CA,10.0
4675,2020-11-19,CA,9.0
8925,2020-11-20,CA,5.0
12941,2020-11-21,CA,1.0
9570,2020-11-22,CA,8.0
8622,2020-11-23,CA,2.0
2069,2020-11-24,CA,25.0
2875,2020-11-25,CA,9.0
6155,2020-11-26,CA,14.0
10197,2020-11-27,CA,12.0
6165,2020-11-28,CA,6.0
1571,2020-11-29,CA,13.0
3406,2020-11-30,CA,2.0
6298,2020-12-01,CA,5.0
7703,2020-12-02,CA,5.0
5411,2020-12-03,CA,8.0
7427,2020-12-04,CA,9.0
3507,2020-12-05,CA,5.0
8571,2020-12-06,CA,5.0
7641,2020-12-07,CA,7.0
7000,2020-12-08,CA,3.0
5560,2020-12-09,CA,15.0
1707,2020-12-10,CA,5.0
8979,2020-12-11,CA,6.0
1937,2020-12-12,CA,13.0
6930,2020-12-13,CA,9.0
3361,2020-12-14,CA,9.0
7613,2020-12-15,CA,2.0
9631,2020-12-16,CA,2.0
8565,2020-12-17,CA,9.0
10357,2020-12-18,CA,10.0
2673,2020-12-19,CA,12.0
2593,2020-12-20,CA,10.0
3990,2020-12-21,CA,13.0
5958,2020-12-22,CA,15.0
12530,2020-12-23,CA,5.0
10023,2020-12-24,CA,7.0
8376,2020-12-25,CA,10.0
1467,2020-12-26,CA,10.0
12607,2020-12-27,CA,2.0
8087,2020-12-28,CA,13.0
10079,2020-12-29,CA,9.0
5779,2020-12-30,CA,8.0
1776,2020-12-31,CA,3.0
12639,2021-01-01,CA,10.0
2525,2021-01-02,CA,6.0
8671,2021-01-03,CA,7.0
6097,2021-01-04,CA,4.0
2557,2021-01-05,CA,10.0
12878,2021-01-06,CA,11.0
8768,2021-01-07,CA,17.0
7850,2021-01-08,CA,22.0
4758,2021-01-09,CA,8.0
8694,2021-01-10,CA,11.0
10946,2021-01-11,CA,4.0
8951,2021-01-12,CA,5.0
2512,2021-01-13,CA,3.0
2921,2021-01-14,CA,4.0
5530,2021-01-15,CA,6.0
7469,2021-01-16,CA,13.0
7158,2021-01-17,CA,11.0
3208,2021-01-18,CA,6.0
11683,2021-01-19,CA,5.0
7371,2021-01-20,CA,8.0
5585,2021-01-21,CA,8.0
3954,2021-01-22,CA,3.0
2606,2021-01-23,CA,7.0
9332,2021-01-24,CA,7.0
5667,2021-01-25,CA,4.0
12133,2021-01-26,CA,2.0
10637,2021-01-27,CA,2.0
11381,2021-01-28,CA,4.0
13139,2021-01-29,CA,3.0
6210,2021-01-30,CA,4.0
2339,2021-01-31,CA,1.0
2110,2021-02-01,CA,5.0
7826,2021-02-02,CA,7.0
10220,2021-02-03,CA,2.0
8704,2021-02-04,CA,1.0
11062,2021-02-05,CA,0.0
10697,2021-02-06,CA,3.0
12849,2021-02-07,CA,1.0
1721,2021-02-08,CA,4.0
5440,2021-02-09,CA,8.0
7762,2021-02-10,CA,2.0
7924,2021-02-11,CA,4.0
7660,2021-02-12,CA,4.0
10395,2021-02-13,CA,1.0
1869,2021-02-14,CA,1.0
12635,2021-02-15,CA,3.0
9190,2021-02-16,CA,2.0
5187,2021-02-17,CA,5.0
1947,2021-02-18,CA,3.0
10555,2021-02-19,CA,0.0
7308,2021-02-20,CA,4.0
11794,2021-02-21,CA,2.0
3422,2021-02-22,CA,4.0
10262,2021-02-23,CA,3.0
1343,2021-02-24,CA,4.0
4876,2021-02-25,CA,4.0
9857,2021-02-26,CA,5.0
6682,2021-02-27,CA,3.0
9881,2021-02-28,CA,1.0
8128,2021-03-01,CA,3.0
7875,2021-03-02,CA,1.0
7120,2021-03-03,CA,5.0
10527,2021-03-04,CA,3.0
6697,2021-03-05,CA,1.0
4750,2021-03-06,CA,3.0
5298,2021-03-07,CA,0.0
1351,2021-03-08,CA,2.0
7753,2021-03-09,CA,2.0
10100,2021-03-10,CA,5.0
3895,2021-03-11,CA,3.0
7045,2021-03-12,CA,3.0
6817,2021-03-13,CA,2.0
5148,2021-03-14,CA,1.0
6597,2021-03-15,CA,2.0
4836,2021-03-16,CA,2.0
3728,2021-03-17,CA,2.0
11019,2021-03-18,CA,1.0
7384,2021-03-19,CA,1.0
10361,2021-03-20,CA,2.0
1309,2021-03-21,CA,3.0
5735,2021-03-22,CA,1.0
7425,2021-03-23,CA,3.0
7021,2021-03-24,CA,3.0
7118,2021-03-25,CA,3.0
11696,2021-03-26,CA,3.0
3347,2021-03-27,CA,0.0
9757,2021-03-28,CA,0.0
3621,2021-03-29,CA,1.0
1283,2021-03-30,CA,0.0
7205,2021-03-31,CA,1.0
9528,2021-04-01,CA,0.0
6061,2021-04-02,CA,1.0
11937,2021-04-03,CA,1.0
10325,2021-04-04,CA,1.0
2900,2021-04-05,CA,3.0
5993,2021-04-06,CA,1.0
3552,2021-04-07,CA,1.0
2860,2021-04-08,CA,0.0
10170,2021-04-09,CA,0.0
11845,2021-04-10,CA,2.0
7451,2021-04-11,CA,2.0
13045,2021-04-12,CA,0.0
7966,2021-04-13,CA,3.0
13018,2021-04-14,CA,3.0
9892,2021-04-15,CA,3.0
9214,2021-04-16,CA,0.0
2534,2021-04-17,CA,0.0
5680,2021-04-18,CA,1.0
8564,2021-04-19,CA,4.0
7339,2021-04-20,CA,1.0
8670,2021-04-21,CA,5.0
10647,2021-04-22,CA,2.0
1235,2021-04-23,CA,3.0
5263,2021-04-24,CA,2.0
7470,2021-04-25,CA,2.0
5021,2021-04-26,CA,0.0
8412,2021-04-27,CA,3.0
7799,2021-04-28,CA,0.0
6089,2021-04-29,CA,1.0
3576,2021-04-30,CA,0.0
7464,2021-05-01,CA,3.0
5176,2021-05-02,CA,2.0
6927,2021-05-03,CA,5.0
9173,2021-05-04,CA,3.0
12205,2021-05-05,CA,2.0
4699,2021-05-06,CA,2.0
5892,2021-05-07,CA,1.0
3472,2021-05-08,CA,2.0
6219,2021-05-09,CA,0.0
2500,2021-05-10,CA,0.0
4497,2021-05-11,CA,1.0
3282,2021-05-12,CA,1.0
5376,2021-05-13,CA,2.0
2695,2021-05-14,CA,0.0
5157,2021-05-15,CA,1.0
8155,2021-05-16,CA,3.0
12645,2021-05-17,CA,2.0
1966,2021-05-18,CA,1.0
11672,2021-05-19,CA,3.0
2419,2021-05-20,CA,1.0
4391,2021-05-21,CA,2.0
10198,2021-05-22,CA,2.0
3346,2021-05-23,CA,1.0
1503,2021-05-24,CA,1.0
10925,2021-05-25,CA,1.0
1816,2021-05-26,CA,2.0
3675,2021-05-27,CA,3.0
11884,2021-05-28,CA,3.0
11447,2021-05-29,CA,2.0
1950,2021-05-30,CA,1.0
10159,2021-05-31,CA,1.0
13150,2021-06-01,CA,0.0
2886,2021-06-02,CA,1.0
8234,2021-06-03,CA,1.0
12612,2021-06-04,CA,1.0
13065,2021-06-05,CA,2.0
9176,2021-06-06,CA,1.0
12259,2021-06-07,CA,0.0
2007,2021-06-08,CA,0.0
9983,2021-06-09,CA,1.0
8847,2021-06-10,CA,0.0
5771,2021-06-11,CA,1.0
7988,2021-06-12,CA,1.0
11444,2021-06-13,CA,1.0
8560,2021-06-14,CA,1.0
6293,2021-06-15,CA,1.0
35503,2021-06-16,CA,1.0
41220,2021-06-17,CA,2.0
34851,2021-06-18,CA,2.0
46919,2021-06-19,CA,1.0
46559,2021-06-20,CA,1.0
35757,2021-06-21,CA,1.0
46544,2021-06-22,CA,0.0
37370,2021-06-23,CA,2.0
46868,2021-06-24,CA,4.0
46357,2021-06-25,CA,3.0
45900,2021-06-26,CA,3.0
40424,2021-06-27,CA,2.0
36258,2021-06-28,CA,0.0
46109,2021-06-29,CA,2.0
40109,2021-06-30,CA,1.0
38898,2021-07-01,CA,2.0
35925,2021-07-02,CA,0.0
43929,2021-07-03,CA,0.0
45366,2021-07-04,CA,0.0
35895,2021-07-05,CA,1.0
36166,2021-07-06,CA,1.0
35043,2021-07-07,CA,1.0
43490,2021-07-08,CA,1.0
38708,2021-07-09,CA,1.0
36146,2021-07-10,CA,3.0
35230,2021-07-11,CA,1.0
41387,2021-07-12,CA,0.0
46626,2021-07-13,CA,2.0
39719,2021-07-14,CA,2.0
41244,2021-07-15,CA,1.0
35433,2021-07-16,CA,3.0
43279,2021-07-17,CA,2.0
39287,2021-07-18,CA,4.0
41707,2021-07-19,CA,1.0
38621,2021-07-20,CA,1.0
44807,2021-07-21,CA,2.0
46195,2021-07-22,CA,2.0
34970,2021-07-23,CA,1.0
38009,2021-07-24,CA,0.0
38540,2021-07-25,CA,1.0
41116,2021-07-26,CA,3.0
43799,2021-07-27,CA,0.0
37911,2021-07-28,CA,0.0
39754,2021-07-29,CA,2.0
34799,2021-07-30,CA,3.0
44432,2021-07-31,CA,2.0
37876,2021-08-01,CA,0.0
37084,2021-08-02,CA,0.0
36877,2021-08-03,CA,4.0
41044,2021-08-04,CA,1.0
41567,2021-08-05,CA,2.0
47133,2021-08-06,CA,1.0
47314,2021-08-07,CA,4.0
40606,2021-08-08,CA,4.0
38325,2021-08-09,CA,4.0
39596,2021-08-10,CA,2.0
35159,2021-08-11,CA,1.0
42783,2021-08-12,CA,1.0
37517,2021-08-13,CA,2.0
47259,2021-08-14,CA,1.0
36795,2021-08-15,CA,1.0
44377,2021-08-16,CA,2.0
46730,2021-08-17,CA,2.0
44612,2021-08-18,CA,0.0
43684,2021-08-19,CA,1.0
40708,2021-08-20,CA,0.0
41750,2021-08-21,CA,1.0
36619,2021-08-22,CA,0.0
46648,2021-08-23,CA,0.0
36163,2021-08-24,CA,4.0
41778,2021-08-25,CA,1.0
42344,2021-08-26,CA,0.0
41219,2021-08-27,CA,0.0
43158,2021-08-28,CA,2.0
44629,2021-08-29,CA,1.0
35031,2021-08-30,CA,0.0
45104,2021-08-31,CA,1.0
38336,2021-09-01,CA,2.0
42177,2021-09-02,CA,1.0
38113,2021-09-03,CA,1.0
40828,2021-09-04,CA,0.0
35142,2021-09-05,CA,2.0
41008,2021-09-06,CA,4.0
42110,2021-09-07,CA,0.0
35283,2021-09-08,CA,0.0
39178,2021-09-09,CA,1.0
45009,2021-09-10,CA,2.0
36547,2021-09-11,CA,0.0
36934,2021-09-12,CA,1.0
41364,2021-09-13,CA,0.0
46302,2021-09-14,CA,0.0
41993,2021-09-15,CA,2.0
39547,2021-09-16,CA,1.0
45111,2021-09-17,CA,1.0
47191,2021-09-18,CA,1.0
44718,2021-09-19,CA,1.0
40362,2021-09-20,CA,3.0
41331,2021-09-21,CA,3.0
37684,2021-09-22,CA,1.0
40045,2021-09-23,CA,1.0
36615,2021-09-24,CA,3.0
42150,2021-09-25,CA,2.0
39488,2021-09-26,CA,2.0
36031,2021-09-27,CA,0.0
40412,2021-09-28,CA,2.0
43029,2021-09-29,CA,0.0
38949,2021-09-30,CA,1.0
37280,2021-10-01,CA,4.0
41864,2021-10-02,CA,3.0
35653,2021-10-03,CA,2.0
40927,2021-10-04,CA,2.0
40326,2021-10-05,CA,3.0
45350,2021-10-06,CA,2.0
41475,2021-10-07,CA,3.0
43242,2021-10-08,CA,2.0
38694,2021-10-09,CA,1.0
44140,2021-10-10,CA,1.0
37840,2021-10-11,CA,1.0
42215,2021-10-12,CA,1.0
