,date,state,previous_day_admission_influenza_confirmed
24741,2020-03-18,CT,
24367,2020-03-19,CT,
27821,2020-03-20,CT,
24044,2020-03-21,CT,
33962,2020-03-22,CT,
31410,2020-03-23,CT,
26059,2020-03-24,CT,
30540,2020-03-25,CT,
32121,2020-03-26,CT,
30090,2020-03-27,CT,
27980,2020-03-28,CT,
32225,2020-03-29,CT,
31913,2020-03-30,CT,
23359,2020-03-31,CT,
33324,2020-04-01,CT,
27396,2020-04-02,CT,
27190,2020-04-03,CT,
33900,2020-04-04,CT,
34170,2020-04-05,CT,
28913,2020-04-06,CT,
29628,2020-04-07,CT,
24901,2020-04-08,CT,
24226,2020-04-09,CT,
23271,2020-04-10,CT,
34673,2020-04-11,CT,
32445,2020-04-12,CT,
34409,2020-04-13,CT,
33084,2020-04-14,CT,
26203,2020-04-15,CT,
31422,2020-04-16,CT,
29845,2020-04-17,CT,
25857,2020-04-18,CT,
33469,2020-04-19,CT,
23707,2020-04-20,CT,
34259,2020-04-21,CT,
27366,2020-04-22,CT,
19326,2020-04-23,CT,
18525,2020-04-24,CT,
19651,2020-04-25,CT,
17587,2020-04-26,CT,
17874,2020-04-27,CT,
19787,2020-04-28,CT,
18573,2020-04-29,CT,
16372,2020-04-30,CT,
17486,2020-05-01,CT,
19469,2020-05-02,CT,
15046,2020-05-03,CT,
18898,2020-05-04,CT,
15482,2020-05-05,CT,
17431,2020-05-06,CT,
19362,2020-05-07,CT,
18587,2020-05-08,CT,
18392,2020-05-09,CT,
17848,2020-05-10,CT,
22255,2020-05-11,CT,
19431,2020-05-12,CT,
17865,2020-05-13,CT,
15628,2020-05-14,CT,
17724,2020-05-15,CT,
22970,2020-05-16,CT,
13927,2020-05-17,CT,
22851,2020-05-18,CT,
15204,2020-05-19,CT,
22253,2020-05-20,CT,
22376,2020-05-21,CT,
14891,2020-05-22,CT,
13524,2020-05-23,CT,
15681,2020-05-24,CT,
22260,2020-05-25,CT,
14351,2020-05-26,CT,
21822,2020-05-27,CT,
13976,2020-05-28,CT,
13399,2020-05-29,CT,
13648,2020-05-30,CT,
22070,2020-05-31,CT,
18297,2020-06-01,CT,
15916,2020-06-02,CT,
20457,2020-06-03,CT,
20823,2020-06-04,CT,
13774,2020-06-05,CT,
13435,2020-06-06,CT,
14507,2020-06-07,CT,
