,date,state,previous_day_admission_influenza_confirmed
30896,2020-03-12,FL,
23871,2020-03-13,FL,
27406,2020-03-14,FL,
30531,2020-03-15,FL,
23734,2020-03-16,FL,
30347,2020-03-17,FL,
23941,2020-03-18,FL,
28887,2020-03-19,FL,
29299,2020-03-20,FL,
27076,2020-03-21,FL,
31373,2020-03-22,FL,
27596,2020-03-23,FL,
23754,2020-03-24,FL,
24561,2020-03-25,FL,
29380,2020-03-26,FL,
28456,2020-03-27,FL,
24209,2020-03-28,FL,
24177,2020-03-29,FL,
26540,2020-03-30,FL,
30498,2020-03-31,FL,
25904,2020-04-01,FL,
26438,2020-04-02,FL,
30667,2020-04-03,FL,
32724,2020-04-04,FL,
28158,2020-04-05,FL,
32282,2020-04-06,FL,
33776,2020-04-07,FL,
31165,2020-04-08,FL,
27859,2020-04-09,FL,
31077,2020-04-10,FL,
32215,2020-04-11,FL,
25017,2020-04-12,FL,
25732,2020-04-13,FL,
24602,2020-04-14,FL,
33207,2020-04-15,FL,
30449,2020-04-16,FL,
34303,2020-04-17,FL,
27203,2020-04-18,FL,
32891,2020-04-19,FL,
29292,2020-04-20,FL,
26915,2020-04-21,FL,
29401,2020-04-22,FL,
21301,2020-04-23,FL,
21875,2020-04-24,FL,
21087,2020-04-25,FL,
16222,2020-04-26,FL,
15466,2020-04-27,FL,
15520,2020-04-28,FL,
20742,2020-04-29,FL,
20994,2020-04-30,FL,
15714,2020-05-01,FL,
18436,2020-05-02,FL,
19585,2020-05-03,FL,
15079,2020-05-04,FL,
17650,2020-05-05,FL,
15377,2020-05-06,FL,
15060,2020-05-07,FL,
17839,2020-05-08,FL,
21638,2020-05-09,FL,
17976,2020-05-10,FL,
19873,2020-05-11,FL,
19855,2020-05-12,FL,
16368,2020-05-13,FL,
16691,2020-05-14,FL,
15975,2020-05-15,FL,
20049,2020-05-16,FL,
16483,2020-05-17,FL,
16339,2020-05-18,FL,
15974,2020-05-19,FL,
16630,2020-05-20,FL,
18781,2020-05-21,FL,
16628,2020-05-22,FL,
15913,2020-05-23,FL,
15862,2020-05-24,FL,
20289,2020-05-25,FL,
18314,2020-05-26,FL,
20705,2020-05-27,FL,
21371,2020-05-28,FL,
17321,2020-05-29,FL,
19084,2020-05-30,FL,
16174,2020-05-31,FL,
17879,2020-06-01,FL,
13608,2020-06-02,FL,
14786,2020-06-03,FL,
15814,2020-06-04,FL,
14330,2020-06-05,FL,
21187,2020-06-06,FL,
16816,2020-06-07,FL,
21395,2020-06-08,FL,
13653,2020-06-09,FL,
15036,2020-06-10,FL,
18256,2020-06-11,FL,
13651,2020-06-12,FL,
15448,2020-06-13,FL,
