,date,state,previous_day_admission_influenza_confirmed
25561,2020-03-01,GA,
33841,2020-03-02,GA,
23768,2020-03-03,GA,
27107,2020-03-04,GA,
23675,2020-03-05,GA,
32729,2020-03-06,GA,
25401,2020-03-07,GA,
33709,2020-03-08,GA,
31649,2020-03-09,GA,
30210,2020-03-10,GA,
26390,2020-03-11,GA,
29590,2020-03-12,GA,
26809,2020-03-13,GA,
23936,2020-03-14,GA,
28894,2020-03-15,GA,
26826,2020-03-16,GA,
32349,2020-03-17,GA,
27326,2020-03-18,GA,
31256,2020-03-19,GA,
32034,2020-03-20,GA,
33741,2020-03-21,GA,
27910,2020-03-22,GA,
25233,2020-03-23,GA,
32917,2020-03-24,GA,
32740,2020-03-25,GA,
28245,2020-03-26,GA,
25075,2020-03-27,GA,
27369,2020-03-28,GA,
32678,2020-03-29,GA,
29680,2020-03-30,GA,
33831,2020-03-31,GA,
34349,2020-04-01,GA,
23746,2020-04-02,GA,
27875,2020-04-03,GA,
30362,2020-04-04,GA,
25829,2020-04-05,GA,
34099,2020-04-06,GA,
31848,2020-04-07,GA,
34623,2020-04-08,GA,
24900,2020-04-09,GA,
30028,2020-04-10,GA,
28418,2020-04-11,GA,
34541,2020-04-12,GA,
30913,2020-04-13,GA,
33803,2020-04-14,GA,
23851,2020-04-15,GA,
31673,2020-04-16,GA,
30599,2020-04-17,GA,
27668,2020-04-18,GA,
29797,2020-04-19,GA,
33053,2020-04-20,GA,
30329,2020-04-21,GA,
28187,2020-04-22,GA,
22417,2020-04-23,GA,
13913,2020-04-24,GA,
18934,2020-04-25,GA,
14434,2020-04-26,GA,
15920,2020-04-27,GA,
17899,2020-04-28,GA,
19323,2020-04-29,GA,
18594,2020-04-30,GA,
18501,2020-05-01,GA,
21135,2020-05-02,GA,
23144,2020-05-03,GA,
17159,2020-05-04,GA,
13673,2020-05-05,GA,
18068,2020-05-06,GA,
23077,2020-05-07,GA,
20506,2020-05-08,GA,
18953,2020-05-09,GA,
15574,2020-05-10,GA,
22811,2020-05-11,GA,
22450,2020-05-12,GA,
20046,2020-05-13,GA,
17539,2020-05-14,GA,
13492,2020-05-15,GA,
22338,2020-05-16,GA,
22396,2020-05-17,GA,
18437,2020-05-18,GA,
17059,2020-05-19,GA,
14297,2020-05-20,GA,
23005,2020-05-21,GA,
14348,2020-05-22,GA,
18861,2020-05-23,GA,
13872,2020-05-24,GA,
19082,2020-05-25,GA,
21283,2020-05-26,GA,
22385,2020-05-27,GA,
13383,2020-05-28,GA,
13934,2020-05-29,GA,
16404,2020-05-30,GA,
18857,2020-05-31,GA,
20254,2020-06-01,GA,
21346,2020-06-02,GA,
22184,2020-06-03,GA,
18921,2020-06-04,GA,
16046,2020-06-05,GA,
15304,2020-06-06,GA,
17628,2020-06-07,GA,
19961,2020-06-08,GA,
15944,2020-06-09,GA,
18741,2020-06-10,GA,
21282,2020-06-11,GA,
21523,2020-06-12,GA,
21153,2020-06-13,GA,
13792,2020-06-14,GA,
19731,2020-06-15,GA,
14099,2020-06-16,GA,
18711,2020-06-17,GA,
18451,2020-06-18,GA,
17637,2020-06-19,GA,
17171,2020-06-20,GA,
21375,2020-06-21,GA,
21479,2020-06-22,GA,
13788,2020-06-23,GA,
14620,2020-06-24,GA,
15180,2020-06-25,GA,
18335,2020-06-26,GA,
20106,2020-06-27,GA,
21032,2020-06-28,GA,
13746,2020-06-29,GA,
13329,2020-06-30,GA,
20663,2020-07-01,GA,
17020,2020-07-02,GA,
13991,2020-07-03,GA,
20928,2020-07-04,GA,
18252,2020-07-05,GA,
19229,2020-07-06,GA,
14554,2020-07-07,GA,
21161,2020-07-08,GA,
18174,2020-07-09,GA,
15801,2020-07-10,GA,
20227,2020-07-11,GA,
16342,2020-07-12,GA,
20220,2020-07-13,GA,
15135,2020-07-14,GA,
19095,2020-07-15,GA,
17691,2020-07-16,GA,
20907,2020-07-17,GA,
18034,2020-07-18,GA,
22289,2020-07-19,GA,
16806,2020-07-20,GA,
13700,2020-07-21,GA,
18499,2020-07-22,GA,
20756,2020-07-23,GA,
20146,2020-07-24,GA,
17105,2020-07-25,GA,
15186,2020-07-26,GA,
16796,2020-07-27,GA,
17964,2020-07-28,GA,
19958,2020-07-29,GA,
15291,2020-07-30,GA,
14182,2020-07-31,GA,
18448,2020-08-01,GA,
21281,2020-08-02,GA,
13802,2020-08-03,GA,
17953,2020-08-04,GA,
19778,2020-08-05,GA,
17275,2020-08-06,GA,
13737,2020-08-07,GA,
21620,2020-08-08,GA,
15662,2020-08-09,GA,
19579,2020-08-10,GA,
14878,2020-08-11,GA,
21577,2020-08-12,GA,
19117,2020-08-13,GA,
20572,2020-08-14,GA,
17576,2020-08-15,GA,
21039,2020-08-16,GA,
19468,2020-08-17,GA,
15529,2020-08-18,GA,
17673,2020-08-19,GA,
15254,2020-08-20,GA,
14000,2020-08-21,GA,
17162,2020-08-22,GA,
22674,2020-08-23,GA,
19846,2020-08-24,GA,
22985,2020-08-25,GA,
19164,2020-08-26,GA,
21660,2020-08-27,GA,
20111,2020-08-28,GA,
17728,2020-08-29,GA,
13567,2020-08-30,GA,
16933,2020-08-31,GA,
19157,2020-09-01,GA,0.0
