,date,state,previous_day_admission_influenza_confirmed
24881,2020-02-18,IL,
27044,2020-02-19,IL,
31155,2020-02-20,IL,
28832,2020-02-21,IL,
26270,2020-02-22,IL,
24952,2020-02-23,IL,
33990,2020-02-24,IL,
28042,2020-02-25,IL,
25898,2020-02-26,IL,
29731,2020-02-27,IL,
26443,2020-02-28,IL,
25869,2020-02-29,IL,
31429,2020-03-01,IL,
25040,2020-03-02,IL,
33031,2020-03-03,IL,
24389,2020-03-04,IL,
27776,2020-03-05,IL,
31606,2020-03-06,IL,
27802,2020-03-07,IL,
26228,2020-03-08,IL,
24223,2020-03-09,IL,
26777,2020-03-10,IL,
30944,2020-03-11,IL,
25764,2020-03-12,IL,
33298,2020-03-13,IL,
26098,2020-03-14,IL,
25229,2020-03-15,IL,
24656,2020-03-16,IL,
25645,2020-03-17,IL,
31259,2020-03-18,IL,
29208,2020-03-19,IL,
33164,2020-03-20,IL,
33218,2020-03-21,IL,
28626,2020-03-22,IL,
25181,2020-03-23,IL,
33570,2020-03-24,IL,
33621,2020-03-25,IL,
25989,2020-03-26,IL,
25648,2020-03-27,IL,
29561,2020-03-28,IL,
33398,2020-03-29,IL,
24633,2020-03-30,IL,
30671,2020-03-31,IL,
29342,2020-04-01,IL,
25900,2020-04-02,IL,
25657,2020-04-03,IL,
29371,2020-04-04,IL,
26841,2020-04-05,IL,
32101,2020-04-06,IL,
31091,2020-04-07,IL,
32560,2020-04-08,IL,
27950,2020-04-09,IL,
30810,2020-04-10,IL,
32088,2020-04-11,IL,
27937,2020-04-12,IL,
30170,2020-04-13,IL,
31683,2020-04-14,IL,
27467,2020-04-15,IL,
29596,2020-04-16,IL,
31371,2020-04-17,IL,
26864,2020-04-18,IL,
29073,2020-04-19,IL,
31138,2020-04-20,IL,
26689,2020-04-21,IL,
28985,2020-04-22,IL,
23041,2020-04-23,IL,
14476,2020-04-24,IL,
13520,2020-04-25,IL,
15102,2020-04-26,IL,
14071,2020-04-27,IL,
23140,2020-04-28,IL,
19980,2020-04-29,IL,
19321,2020-04-30,IL,
15686,2020-05-01,IL,
23051,2020-05-02,IL,
18830,2020-05-03,IL,
19992,2020-05-04,IL,
18919,2020-05-05,IL,
13736,2020-05-06,IL,
22405,2020-05-07,IL,
14087,2020-05-08,IL,
19739,2020-05-09,IL,
17525,2020-05-10,IL,
13809,2020-05-11,IL,
23018,2020-05-12,IL,
21913,2020-05-13,IL,
18352,2020-05-14,IL,
16570,2020-05-15,IL,
19166,2020-05-16,IL,
23088,2020-05-17,IL,
19031,2020-05-18,IL,
13972,2020-05-19,IL,
16182,2020-05-20,IL,
19393,2020-05-21,IL,
16135,2020-05-22,IL,
19535,2020-05-23,IL,
14095,2020-05-24,IL,
20934,2020-05-25,IL,
23142,2020-05-26,IL,
16078,2020-05-27,IL,
15220,2020-05-28,IL,
17042,2020-05-29,IL,
19549,2020-05-30,IL,
16010,2020-05-31,IL,
22033,2020-06-01,IL,
23201,2020-06-02,IL,
21573,2020-06-03,IL,
22217,2020-06-04,IL,
14306,2020-06-05,IL,
19974,2020-06-06,IL,
14453,2020-06-07,IL,
19432,2020-06-08,IL,
20598,2020-06-09,IL,
19662,2020-06-10,IL,
21861,2020-06-11,IL,
21124,2020-06-12,IL,
23068,2020-06-13,IL,
18171,2020-06-14,IL,
16959,2020-06-15,IL,
20043,2020-06-16,IL,
19401,2020-06-17,IL,
20386,2020-06-18,IL,
21076,2020-06-19,IL,
13970,2020-06-20,IL,
23242,2020-06-21,IL,
16539,2020-06-22,IL,
16962,2020-06-23,IL,
14055,2020-06-24,IL,
21352,2020-06-25,IL,
20322,2020-06-26,IL,
19487,2020-06-27,IL,
14077,2020-06-28,IL,
21970,2020-06-29,IL,
17686,2020-06-30,IL,
16260,2020-07-01,IL,
16352,2020-07-02,IL,
15923,2020-07-03,IL,
19015,2020-07-04,IL,
18865,2020-07-05,IL,
18688,2020-07-06,IL,
17894,2020-07-07,IL,
15340,2020-07-08,IL,
17228,2020-07-09,IL,
16358,2020-07-10,IL,
16355,2020-07-11,IL,
15440,2020-07-12,IL,
18261,2020-07-13,IL,
19758,2020-07-14,IL,
13874,2020-07-15,IL,
13331,2020-07-16,IL,
18091,2020-07-17,IL,
16185,2020-07-18,IL,
17748,2020-07-19,IL,
16173,2020-07-20,IL,
15552,2020-07-21,IL,
21651,2020-07-22,IL,
18717,2020-07-23,IL,
15641,2020-07-24,IL,
15167,2020-07-25,IL,
17065,2020-07-26,IL,
18586,2020-07-27,IL,
16022,2020-07-28,IL,
18020,2020-07-29,IL,
21082,2020-07-30,IL,
14749,2020-07-31,IL,
22821,2020-08-01,IL,
15432,2020-08-02,IL,
14389,2020-08-03,IL,
19521,2020-08-04,IL,
22909,2020-08-05,IL,
17855,2020-08-06,IL,
22840,2020-08-07,IL,
21000,2020-08-08,IL,
21147,2020-08-09,IL,
18672,2020-08-10,IL,
13440,2020-08-11,IL,
14689,2020-08-12,IL,
18342,2020-08-13,IL,
22444,2020-08-14,IL,
19445,2020-08-15,IL,
22917,2020-08-16,IL,
22133,2020-08-17,IL,
22897,2020-08-18,IL,
19605,2020-08-19,IL,
19730,2020-08-20,IL,
14655,2020-08-21,IL,
16506,2020-08-22,IL,
18284,2020-08-23,IL,
22898,2020-08-24,IL,
17181,2020-08-25,IL,
20947,2020-08-26,IL,
14209,2020-08-27,IL,
16332,2020-08-28,IL,
15772,2020-08-29,IL,
17001,2020-08-30,IL,
18712,2020-08-31,IL,
18296,2020-09-01,IL,
13907,2020-09-02,IL,
15413,2020-09-03,IL,
19520,2020-09-04,IL,
16922,2020-09-05,IL,
16108,2020-09-06,IL,
19717,2020-09-07,IL,
22894,2020-09-08,IL,
15882,2020-09-09,IL,
19412,2020-09-10,IL,
15333,2020-09-11,IL,
17426,2020-09-12,IL,
14064,2020-09-13,IL,
13698,2020-09-14,IL,
14517,2020-09-15,IL,
18055,2020-09-16,IL,
15092,2020-09-17,IL,
14838,2020-09-18,IL,
19091,2020-09-19,IL,
22580,2020-09-20,IL,
14331,2020-09-21,IL,
22079,2020-09-22,IL,
14426,2020-09-23,IL,
16760,2020-09-24,IL,0.0
20206,2020-09-25,IL,0.0
21600,2020-09-26,IL,0.0
13849,2020-09-27,IL,0.0
21511,2020-09-28,IL,0.0
13306,2020-09-29,IL,0.0
13845,2020-09-30,IL,0.0
22279,2020-10-01,IL,0.0
20945,2020-10-02,IL,0.0
18219,2020-10-03,IL,0.0
21276,2020-10-04,IL,0.0
22675,2020-10-05,IL,0.0
15478,2020-10-06,IL,0.0
19357,2020-10-07,IL,0.0
15212,2020-10-08,IL,0.0
22473,2020-10-09,IL,0.0
20222,2020-10-10,IL,0.0
