,date,state,previous_day_admission_influenza_confirmed
29616,2020-03-01,KY,
28672,2020-03-02,KY,
28092,2020-03-03,KY,
34641,2020-03-04,KY,
33255,2020-03-05,KY,
32080,2020-03-06,KY,
28127,2020-03-07,KY,
30798,2020-03-08,KY,
30563,2020-03-09,KY,
32775,2020-03-10,KY,
23907,2020-03-11,KY,
26461,2020-03-12,KY,
30716,2020-03-13,KY,
25631,2020-03-14,KY,
31943,2020-03-15,KY,
25143,2020-03-16,KY,
28541,2020-03-17,KY,
30033,2020-03-18,KY,
27541,2020-03-19,KY,
24708,2020-03-20,KY,
25447,2020-03-21,KY,
26752,2020-03-22,KY,
32612,2020-03-23,KY,
28063,2020-03-24,KY,
28869,2020-03-25,KY,
33680,2020-03-26,KY,
24542,2020-03-27,KY,
33806,2020-03-28,KY,
25719,2020-03-29,KY,
28095,2020-03-30,KY,
23553,2020-03-31,KY,
24423,2020-04-01,KY,
27769,2020-04-02,KY,
32024,2020-04-03,KY,
31405,2020-04-04,KY,
29622,2020-04-05,KY,
33591,2020-04-06,KY,
26773,2020-04-07,KY,
23680,2020-04-08,KY,
24463,2020-04-09,KY,
31630,2020-04-10,KY,
33645,2020-04-11,KY,
24106,2020-04-12,KY,
32245,2020-04-13,KY,
28994,2020-04-14,KY,
29392,2020-04-15,KY,
31803,2020-04-16,KY,
27202,2020-04-17,KY,
34711,2020-04-18,KY,
25489,2020-04-19,KY,
33710,2020-04-20,KY,
28390,2020-04-21,KY,
25111,2020-04-22,KY,
20153,2020-04-23,KY,
20728,2020-04-24,KY,
17091,2020-04-25,KY,
19244,2020-04-26,KY,
16775,2020-04-27,KY,
19577,2020-04-28,KY,
19715,2020-04-29,KY,
17320,2020-04-30,KY,
18944,2020-05-01,KY,
16487,2020-05-02,KY,
20805,2020-05-03,KY,
14164,2020-05-04,KY,
16285,2020-05-05,KY,
19524,2020-05-06,KY,
21020,2020-05-07,KY,
15868,2020-05-08,KY,
17892,2020-05-09,KY,
21712,2020-05-10,KY,
18310,2020-05-11,KY,
15942,2020-05-12,KY,
15120,2020-05-13,KY,
18017,2020-05-14,KY,
20966,2020-05-15,KY,
13689,2020-05-16,KY,
20462,2020-05-17,KY,
15587,2020-05-18,KY,
21826,2020-05-19,KY,
22836,2020-05-20,KY,
15394,2020-05-21,KY,
15370,2020-05-22,KY,
14566,2020-05-23,KY,
22401,2020-05-24,KY,
13902,2020-05-25,KY,
21896,2020-05-26,KY,
14677,2020-05-27,KY,
15045,2020-05-28,KY,
20986,2020-05-29,KY,
23137,2020-05-30,KY,
22500,2020-05-31,KY,
14069,2020-06-01,KY,
19933,2020-06-02,KY,
18773,2020-06-03,KY,
14504,2020-06-04,KY,
20769,2020-06-05,KY,
22593,2020-06-06,KY,
17096,2020-06-07,KY,
19944,2020-06-08,KY,
22525,2020-06-09,KY,
18502,2020-06-10,KY,
22067,2020-06-11,KY,
19757,2020-06-12,KY,
17286,2020-06-13,KY,
19870,2020-06-14,KY,
20854,2020-06-15,KY,
19854,2020-06-16,KY,
17029,2020-06-17,KY,
22029,2020-06-18,KY,
16786,2020-06-19,KY,
18908,2020-06-20,KY,
22499,2020-06-21,KY,
158,2020-06-22,KY,
19664,2020-06-23,KY,
19841,2020-06-24,KY,
16737,2020-06-25,KY,
16950,2020-06-26,KY,
15947,2020-06-27,KY,
17070,2020-06-28,KY,
17573,2020-06-29,KY,
21862,2020-06-30,KY,
14009,2020-07-01,KY,
14388,2020-07-02,KY,
14808,2020-07-03,KY,
16036,2020-07-04,KY,
18993,2020-07-05,KY,
23149,2020-07-06,KY,
21242,2020-07-07,KY,
16510,2020-07-08,KY,
14277,2020-07-09,KY,
18183,2020-07-10,KY,
14959,2020-07-11,KY,
17478,2020-07-12,KY,
14343,2020-07-13,KY,
16100,2020-07-14,KY,
15047,2020-07-15,KY,
22463,2020-07-16,KY,
19211,2020-07-17,KY,
23055,2020-07-18,KY,
13821,2020-07-19,KY,
14461,2020-07-20,KY,
19760,2020-07-21,KY,
15560,2020-07-22,KY,
14880,2020-07-23,KY,
22715,2020-07-24,KY,
21650,2020-07-25,KY,
15929,2020-07-26,KY,
22386,2020-07-27,KY,
14904,2020-07-28,KY,
20753,2020-07-29,KY,
18684,2020-07-30,KY,
18516,2020-07-31,KY,
18868,2020-08-01,KY,
22262,2020-08-02,KY,
14431,2020-08-03,KY,
15924,2020-08-04,KY,
15526,2020-08-05,KY,
21701,2020-08-06,KY,
20504,2020-08-07,KY,
22904,2020-08-08,KY,
20048,2020-08-09,KY,
22790,2020-08-10,KY,
18606,2020-08-11,KY,
20847,2020-08-12,KY,
16623,2020-08-13,KY,
