,date,state,previous_day_admission_influenza_confirmed
30443,2020-03-01,MI,
23513,2020-03-02,MI,
28798,2020-03-03,MI,
28132,2020-03-04,MI,
29695,2020-03-05,MI,
32735,2020-03-06,MI,
31937,2020-03-07,MI,
13450,2020-03-08,MI,
31482,2020-03-09,MI,
30648,2020-03-10,MI,
25995,2020-03-11,MI,
30113,2020-03-12,MI,
32866,2020-03-13,MI,
23522,2020-03-14,MI,
26863,2020-03-15,MI,
29862,2020-03-16,MI,
23499,2020-03-17,MI,
30849,2020-03-18,MI,
28338,2020-03-19,MI,
34275,2020-03-20,MI,
28115,2020-03-21,MI,
24634,2020-03-22,MI,
31882,2020-03-23,MI,
27325,2020-03-24,MI,
26683,2020-03-25,MI,
33134,2020-03-26,MI,
24445,2020-03-27,MI,
31131,2020-03-28,MI,
33868,2020-03-29,MI,
34018,2020-03-30,MI,
34524,2020-03-31,MI,
25000,2020-04-01,MI,
30176,2020-04-02,MI,
25584,2020-04-03,MI,
32513,2020-04-04,MI,
25410,2020-04-05,MI,
31360,2020-04-06,MI,
26668,2020-04-07,MI,
33840,2020-04-08,MI,
26453,2020-04-09,MI,
26282,2020-04-10,MI,
30675,2020-04-11,MI,
23327,2020-04-12,MI,
31728,2020-04-13,MI,
23904,2020-04-14,MI,
25925,2020-04-15,MI,
28397,2020-04-16,MI,
33052,2020-04-17,MI,
28398,2020-04-18,MI,
24756,2020-04-19,MI,
34208,2020-04-20,MI,
25300,2020-04-21,MI,
24637,2020-04-22,MI,
16941,2020-04-23,MI,
15872,2020-04-24,MI,
22218,2020-04-25,MI,
19450,2020-04-26,MI,
20626,2020-04-27,MI,
19389,2020-04-28,MI,
15749,2020-04-29,MI,
18206,2020-04-30,MI,
14573,2020-05-01,MI,
16035,2020-05-02,MI,
19167,2020-05-03,MI,
21261,2020-05-04,MI,
23118,2020-05-05,MI,
14602,2020-05-06,MI,
21158,2020-05-07,MI,
17939,2020-05-08,MI,
21889,2020-05-09,MI,
13743,2020-05-10,MI,
14555,2020-05-11,MI,
21481,2020-05-12,MI,
23227,2020-05-13,MI,
22174,2020-05-14,MI,
13593,2020-05-15,MI,
15237,2020-05-16,MI,
21717,2020-05-17,MI,
20799,2020-05-18,MI,
22720,2020-05-19,MI,
14822,2020-05-20,MI,
20302,2020-05-21,MI,
22398,2020-05-22,MI,
21084,2020-05-23,MI,
17873,2020-05-24,MI,
14271,2020-05-25,MI,
21762,2020-05-26,MI,
17377,2020-05-27,MI,
21478,2020-05-28,MI,
16039,2020-05-29,MI,
20493,2020-05-30,MI,
19538,2020-05-31,MI,
15566,2020-06-01,MI,
19530,2020-06-02,MI,
23048,2020-06-03,MI,
18554,2020-06-04,MI,
18095,2020-06-05,MI,
18649,2020-06-06,MI,
18162,2020-06-07,MI,
20691,2020-06-08,MI,
21908,2020-06-09,MI,
13622,2020-06-10,MI,
23213,2020-06-11,MI,
19976,2020-06-12,MI,
17157,2020-06-13,MI,
19104,2020-06-14,MI,
18223,2020-06-15,MI,
20360,2020-06-16,MI,
17919,2020-06-17,MI,
19170,2020-06-18,MI,
14734,2020-06-19,MI,
15523,2020-06-20,MI,
14160,2020-06-21,MI,
15321,2020-06-22,MI,
17453,2020-06-23,MI,
22426,2020-06-24,MI,
22528,2020-06-25,MI,
16391,2020-06-26,MI,
13621,2020-06-27,MI,
15238,2020-06-28,MI,
14831,2020-06-29,MI,
19938,2020-06-30,MI,
15071,2020-07-01,MI,
17906,2020-07-02,MI,
22483,2020-07-03,MI,
22749,2020-07-04,MI,
17617,2020-07-05,MI,
22672,2020-07-06,MI,
14191,2020-07-07,MI,
16624,2020-07-08,MI,
18409,2020-07-09,MI,
17883,2020-07-10,MI,
15402,2020-07-11,MI,
21817,2020-07-12,MI,
22068,2020-07-13,MI,
20827,2020-07-14,MI,
14897,2020-07-15,MI,
23112,2020-07-16,MI,
19661,2020-07-17,MI,
19869,2020-07-18,MI,
19500,2020-07-19,MI,
22042,2020-07-20,MI,
21723,2020-07-21,MI,
22509,2020-07-22,MI,
17897,2020-07-23,MI,
16750,2020-07-24,MI,
22382,2020-07-25,MI,
18576,2020-07-26,MI,
20162,2020-07-27,MI,
19550,2020-07-28,MI,
22028,2020-07-29,MI,
19687,2020-07-30,MI,
21829,2020-07-31,MI,
17139,2020-08-01,MI,
16777,2020-08-02,MI,
21518,2020-08-03,MI,
18138,2020-08-04,MI,0.0
19176,2020-08-05,MI,0.0
19985,2020-08-06,MI,0.0
13936,2020-08-07,MI,0.0
22375,2020-08-08,MI,0.0
15216,2020-08-09,MI,0.0
17491,2020-08-10,MI,0.0
17208,2020-08-11,MI,0.0
21172,2020-08-12,MI,0.0
19671,2020-08-13,MI,0.0
18447,2020-08-14,MI,0.0
13451,2020-08-15,MI,0.0
16580,2020-08-16,MI,0.0
13304,2020-08-17,MI,0.0
14478,2020-08-18,MI,0.0
15963,2020-08-19,MI,0.0
17150,2020-08-20,MI,0.0
13402,2020-08-21,MI,0.0
20433,2020-08-22,MI,0.0
17281,2020-08-23,MI,0.0
14272,2020-08-24,MI,0.0
13501,2020-08-25,MI,0.0
18230,2020-08-26,MI,0.0
18244,2020-08-27,MI,0.0
15345,2020-08-28,MI,0.0
16961,2020-08-29,MI,0.0
15701,2020-08-30,MI,0.0
14564,2020-08-31,MI,0.0
16940,2020-09-01,MI,0.0
22663,2020-09-02,MI,0.0
14243,2020-09-03,MI,0.0
21373,2020-09-04,MI,0.0
23094,2020-09-05,MI,0.0
17552,2020-09-06,MI,0.0
21123,2020-09-07,MI,0.0
21464,2020-09-08,MI,0.0
14482,2020-09-09,MI,0.0
16087,2020-09-10,MI,0.0
14269,2020-09-11,MI,0.0
13696,2020-09-12,MI,0.0
18714,2020-09-13,MI,0.0
21492,2020-09-14,MI,0.0
13373,2020-09-15,MI,0.0
21491,2020-09-16,MI,0.0
21931,2020-09-17,MI,0.0
23249,2020-09-18,MI,0.0
20031,2020-09-19,MI,0.0
21403,2020-09-20,MI,0.0
23093,2020-09-21,MI,0.0
18500,2020-09-22,MI,0.0
23240,2020-09-23,MI,0.0
22332,2020-09-24,MI,0.0
18987,2020-09-25,MI,0.0
20408,2020-09-26,MI,0.0
17218,2020-09-27,MI,0.0
20357,2020-09-28,MI,0.0
19589,2020-09-29,MI,0.0
16728,2020-09-30,MI,0.0
18531,2020-10-01,MI,0.0
19718,2020-10-02,MI,0.0
17424,2020-10-03,MI,0.0
17040,2020-10-04,MI,0.0
21442,2020-10-05,MI,0.0
16071,2020-10-06,MI,0.0
17819,2020-10-07,MI,0.0
18982,2020-10-08,MI,0.0
16838,2020-10-09,MI,0.0
18991,2020-10-10,MI,0.0
18467,2020-10-11,MI,0.0
15398,2020-10-12,MI,0.0
16446,2020-10-13,MI,0.0
19349,2020-10-14,MI,0.0
16076,2020-10-15,MI,0.0
16230,2020-10-16,MI,0.0
20252,2020-10-17,MI,0.0
14650,2020-10-18,MI,0.0
15960,2020-10-19,MI,0.0
13571,2020-10-20,MI,0.0
15627,2020-10-21,MI,0.0
18239,2020-10-22,MI,0.0
22969,2020-10-23,MI,5.0
13857,2020-10-24,MI,2.0
15094,2020-10-25,MI,4.0
22838,2020-10-26,MI,0.0
14629,2020-10-27,MI,1.0
15000,2020-10-28,MI,5.0
22351,2020-10-29,MI,1.0
4827,2020-10-30,MI,1.0
2611,2020-10-31,MI,1.0
2526,2020-11-01,MI,0.0
9756,2020-11-02,MI,2.0
12238,2020-11-03,MI,0.0
11426,2020-11-04,MI,2.0
5982,2020-11-05,MI,1.0
11745,2020-11-06,MI,4.0
3643,2020-11-07,MI,0.0
6944,2020-11-08,MI,2.0
11194,2020-11-09,MI,1.0
5098,2020-11-10,MI,2.0
12712,2020-11-11,MI,0.0
2674,2020-11-12,MI,2.0
12856,2020-11-13,MI,1.0
2237,2020-11-14,MI,3.0
11090,2020-11-15,MI,5.0
12179,2020-11-16,MI,1.0
9153,2020-11-17,MI,5.0
10563,2020-11-18,MI,1.0
2262,2020-11-19,MI,1.0
8004,2020-11-20,MI,2.0
13131,2020-11-21,MI,1.0
12507,2020-11-22,MI,0.0
4725,2020-11-23,MI,2.0
1545,2020-11-24,MI,1.0
2281,2020-11-25,MI,1.0
9747,2020-11-26,MI,0.0
12006,2020-11-27,MI,1.0
11016,2020-11-28,MI,0.0
7501,2020-11-29,MI,0.0
12307,2020-11-30,MI,2.0
3443,2020-12-01,MI,2.0
6526,2020-12-02,MI,1.0
4249,2020-12-03,MI,1.0
10335,2020-12-04,MI,1.0
6289,2020-12-05,MI,1.0
5451,2020-12-06,MI,1.0
6926,2020-12-07,MI,1.0
9908,2020-12-08,MI,1.0
10628,2020-12-09,MI,0.0
6436,2020-12-10,MI,0.0
5474,2020-12-11,MI,2.0
4347,2020-12-12,MI,1.0
9450,2020-12-13,MI,2.0
5355,2020-12-14,MI,3.0
6943,2020-12-15,MI,3.0
5544,2020-12-16,MI,1.0
4266,2020-12-17,MI,1.0
10039,2020-12-18,MI,0.0
2528,2020-12-19,MI,1.0
4649,2020-12-20,MI,1.0
6123,2020-12-21,MI,1.0
10801,2020-12-22,MI,2.0
9635,2020-12-23,MI,2.0
6076,2020-12-24,MI,1.0
11122,2020-12-25,MI,2.0
6570,2020-12-26,MI,1.0
4492,2020-12-27,MI,0.0
1919,2020-12-28,MI,0.0
6453,2020-12-29,MI,1.0
11150,2020-12-30,MI,1.0
13080,2020-12-31,MI,1.0
8824,2021-01-01,MI,1.0
1669,2021-01-02,MI,1.0
13241,2021-01-03,MI,3.0
11337,2021-01-04,MI,0.0
10351,2021-01-05,MI,0.0
3701,2021-01-06,MI,3.0
6107,2021-01-07,MI,0.0
13221,2021-01-08,MI,0.0
3329,2021-01-09,MI,0.0
10635,2021-01-10,MI,0.0
3698,2021-01-11,MI,0.0
11877,2021-01-12,MI,3.0
10603,2021-01-13,MI,0.0
10539,2021-01-14,MI,2.0
12626,2021-01-15,MI,1.0
5834,2021-01-16,MI,1.0
8549,2021-01-17,MI,1.0
7695,2021-01-18,MI,1.0
