,date,state,previous_day_admission_influenza_confirmed
31910,2020-03-01,NE,
24187,2020-03-02,NE,
29303,2020-03-03,NE,
33172,2020-03-04,NE,
29444,2020-03-05,NE,
32764,2020-03-06,NE,
25661,2020-03-07,NE,
33338,2020-03-08,NE,
30139,2020-03-09,NE,
24310,2020-03-10,NE,
32597,2020-03-11,NE,
23404,2020-03-12,NE,
28821,2020-03-13,NE,
33715,2020-03-14,NE,
34494,2020-03-15,NE,
31804,2020-03-16,NE,
28391,2020-03-17,NE,
34660,2020-03-18,NE,
31968,2020-03-19,NE,
28288,2020-03-20,NE,
29715,2020-03-21,NE,
25769,2020-03-22,NE,
23298,2020-03-23,NE,
27269,2020-03-24,NE,
25280,2020-03-25,NE,
25864,2020-03-26,NE,
25194,2020-03-27,NE,
25180,2020-03-28,NE,
23591,2020-03-29,NE,
24417,2020-03-30,NE,
24966,2020-03-31,NE,
29393,2020-04-01,NE,
25103,2020-04-02,NE,
28564,2020-04-03,NE,
30503,2020-04-04,NE,
32443,2020-04-05,NE,
26956,2020-04-06,NE,
30573,2020-04-07,NE,
25913,2020-04-08,NE,
28179,2020-04-09,NE,
30429,2020-04-10,NE,
27348,2020-04-11,NE,
29060,2020-04-12,NE,
30016,2020-04-13,NE,
27165,2020-04-14,NE,
27423,2020-04-15,NE,
29165,2020-04-16,NE,
26688,2020-04-17,NE,
28411,2020-04-18,NE,
29104,2020-04-19,NE,
23277,2020-04-20,NE,
26312,2020-04-21,NE,
28870,2020-04-22,NE,
20932,2020-04-23,NE,
19435,2020-04-24,NE,
22114,2020-04-25,NE,
14964,2020-04-26,NE,
22644,2020-04-27,NE,
22704,2020-04-28,NE,
20350,2020-04-29,NE,
14407,2020-04-30,NE,
13708,2020-05-01,NE,
22051,2020-05-02,NE,
17451,2020-05-03,NE,
20764,2020-05-04,NE,
17293,2020-05-05,NE,
18507,2020-05-06,NE,
23183,2020-05-07,NE,
13975,2020-05-08,NE,
13421,2020-05-09,NE,
13965,2020-05-10,NE,
19472,2020-05-11,NE,
18134,2020-05-12,NE,
17241,2020-05-13,NE,
14020,2020-05-14,NE,
18658,2020-05-15,NE,
18418,2020-05-16,NE,
16059,2020-05-17,NE,
14984,2020-05-18,NE,
14150,2020-05-19,NE,
18268,2020-05-20,NE,
17051,2020-05-21,NE,
16163,2020-05-22,NE,
15425,2020-05-23,NE,
14126,2020-05-24,NE,
18471,2020-05-25,NE,
17810,2020-05-26,NE,
16600,2020-05-27,NE,
15606,2020-05-28,NE,
19023,2020-05-29,NE,
20073,2020-05-30,NE,
16888,2020-05-31,NE,
13960,2020-06-01,NE,
21069,2020-06-02,NE,
21756,2020-06-03,NE,
17908,2020-06-04,NE,
17462,2020-06-05,NE,
14558,2020-06-06,NE,
18940,2020-06-07,NE,
18291,2020-06-08,NE,
15276,2020-06-09,NE,
14060,2020-06-10,NE,
13964,2020-06-11,NE,
16308,2020-06-12,NE,
16373,2020-06-13,NE,
13339,2020-06-14,NE,
21565,2020-06-15,NE,
20243,2020-06-16,NE,
19287,2020-06-17,NE,
14875,2020-06-18,NE,
21239,2020-06-19,NE,
13539,2020-06-20,NE,
17966,2020-06-21,NE,
16437,2020-06-22,NE,
16688,2020-06-23,NE,
18890,2020-06-24,NE,
21524,2020-06-25,NE,
18747,2020-06-26,NE,
14322,2020-06-27,NE,
13385,2020-06-28,NE,
16821,2020-06-29,NE,
22942,2020-06-30,NE,
16153,2020-07-01,NE,
20877,2020-07-02,NE,
23191,2020-07-03,NE,
19814,2020-07-04,NE,
20724,2020-07-05,NE,
13687,2020-07-06,NE,
18007,2020-07-07,NE,
16118,2020-07-08,NE,
17353,2020-07-09,NE,
19293,2020-07-10,NE,
21079,2020-07-11,NE,
23098,2020-07-12,NE,
18770,2020-07-13,NE,
15089,2020-07-14,NE,
15636,2020-07-15,NE,
17352,2020-07-16,NE,
20388,2020-07-17,NE,
16234,2020-07-18,NE,
17876,2020-07-19,NE,
20987,2020-07-20,NE,
15336,2020-07-21,NE,
21438,2020-07-22,NE,
13499,2020-07-23,NE,
20673,2020-07-24,NE,
18457,2020-07-25,NE,
22810,2020-07-26,NE,
19475,2020-07-27,NE,
148,2020-07-28,NE,
147,2020-07-29,NE,
21646,2020-07-30,NE,
20713,2020-07-31,NE,
13538,2020-08-01,NE,
14938,2020-08-02,NE,
14902,2020-08-03,NE,
19299,2020-08-04,NE,
21063,2020-08-05,NE,
21383,2020-08-06,NE,
22788,2020-08-07,NE,
22267,2020-08-08,NE,
19743,2020-08-09,NE,
18556,2020-08-10,NE,
14364,2020-08-11,NE,
20629,2020-08-12,NE,
20511,2020-08-13,NE,
22034,2020-08-14,NE,
15420,2020-08-15,NE,
23203,2020-08-16,NE,
14420,2020-08-17,NE,
16089,2020-08-18,NE,
20655,2020-08-19,NE,
23218,2020-08-20,NE,
19289,2020-08-21,NE,
16724,2020-08-22,NE,
14130,2020-08-23,NE,
13722,2020-08-24,NE,
19202,2020-08-25,NE,
16431,2020-08-26,NE,
14233,2020-08-27,NE,
16464,2020-08-28,NE,
22625,2020-08-29,NE,
16356,2020-08-30,NE,
19136,2020-08-31,NE,
21710,2020-09-01,NE,
17224,2020-09-02,NE,
15549,2020-09-03,NE,
17709,2020-09-04,NE,
16374,2020-09-05,NE,
16458,2020-09-06,NE,
14886,2020-09-07,NE,
22505,2020-09-08,NE,
20292,2020-09-09,NE,
21625,2020-09-10,NE,
15344,2020-09-11,NE,
22628,2020-09-12,NE,
