,date,state,previous_day_admission_influenza_confirmed
29571,2020-03-02,SC,
31496,2020-03-03,SC,
25915,2020-03-04,SC,
25698,2020-03-05,SC,
29955,2020-03-06,SC,
23421,2020-03-07,SC,
24443,2020-03-08,SC,
34653,2020-03-09,SC,
33425,2020-03-10,SC,
29775,2020-03-11,SC,
33027,2020-03-12,SC,
24299,2020-03-13,SC,
26468,2020-03-14,SC,
23595,2020-03-15,SC,
34713,2020-03-16,SC,
26455,2020-03-17,SC,
23355,2020-03-18,SC,
33103,2020-03-19,SC,
30273,2020-03-20,SC,
23619,2020-03-21,SC,
25261,2020-03-22,SC,
34281,2020-03-23,SC,
28119,2020-03-24,SC,
34337,2020-03-25,SC,
24327,2020-03-26,SC,
33836,2020-03-27,SC,
24539,2020-03-28,SC,
30110,2020-03-29,SC,
26616,2020-03-30,SC,
30968,2020-03-31,SC,
25547,2020-04-01,SC,
28018,2020-04-02,SC,
26487,2020-04-03,SC,
32962,2020-04-04,SC,
30410,2020-04-05,SC,
32565,2020-04-06,SC,
34005,2020-04-07,SC,
32933,2020-04-08,SC,
29030,2020-04-09,SC,
28829,2020-04-10,SC,
32113,2020-04-11,SC,
25660,2020-04-12,SC,
30495,2020-04-13,SC,
23523,2020-04-14,SC,
33995,2020-04-15,SC,
29971,2020-04-16,SC,
34530,2020-04-17,SC,
27600,2020-04-18,SC,
32463,2020-04-19,SC,
31382,2020-04-20,SC,
26989,2020-04-21,SC,
29143,2020-04-22,SC,
21757,2020-04-23,SC,
22511,2020-04-24,SC,
21589,2020-04-25,SC,
16029,2020-04-26,SC,
14560,2020-04-27,SC,
20771,2020-04-28,SC,
16068,2020-04-29,SC,
21790,2020-04-30,SC,
15455,2020-05-01,SC,
19984,2020-05-02,SC,
21803,2020-05-03,SC,
15312,2020-05-04,SC,
18163,2020-05-05,SC,
13675,2020-05-06,SC,
15117,2020-05-07,SC,
16828,2020-05-08,SC,
21188,2020-05-09,SC,
17921,2020-05-10,SC,
19941,2020-05-11,SC,
19750,2020-05-12,SC,
17621,2020-05-13,SC,
15847,2020-05-14,SC,
18213,2020-05-15,SC,
19646,2020-05-16,SC,
16893,2020-05-17,SC,
18955,2020-05-18,SC,
16966,2020-05-19,SC,
17868,2020-05-20,SC,
19196,2020-05-21,SC,
16439,2020-05-22,SC,
13626,2020-05-23,SC,
15927,2020-05-24,SC,
18722,2020-05-25,SC,
19783,2020-05-26,SC,
16675,2020-05-27,SC,
20946,2020-05-28,SC,
17217,2020-05-29,SC,
19495,2020-05-30,SC,
16420,2020-05-31,SC,
13384,2020-06-01,SC,
18186,2020-06-02,SC,
14699,2020-06-03,SC,
15886,2020-06-04,SC,
14403,2020-06-05,SC,
22752,2020-06-06,SC,
20520,2020-06-07,SC,
23108,2020-06-08,SC,
13562,2020-06-09,SC,
14477,2020-06-10,SC,
20597,2020-06-11,SC,
14466,2020-06-12,SC,
15623,2020-06-13,SC,
23106,2020-06-14,SC,
22146,2020-06-15,SC,
14438,2020-06-16,SC,
21667,2020-06-17,SC,
13517,2020-06-18,SC,
15932,2020-06-19,SC,
20650,2020-06-20,SC,
21615,2020-06-21,SC,
15703,2020-06-22,SC,
22694,2020-06-23,SC,
14385,2020-06-24,SC,
20791,2020-06-25,SC,
15439,2020-06-26,SC,
22781,2020-06-27,SC,
19947,2020-06-28,SC,
21515,2020-06-29,SC,
20690,2020-06-30,SC,
22740,2020-07-01,SC,
20729,2020-07-02,SC,
21874,2020-07-03,SC,
17636,2020-07-04,SC,
17664,2020-07-05,SC,
21811,2020-07-06,SC,
17328,2020-07-07,SC,
20180,2020-07-08,SC,
19890,2020-07-09,SC,
13981,2020-07-10,SC,
18990,2020-07-11,SC,
21552,2020-07-12,SC,
17692,2020-07-13,SC,
17087,2020-07-14,SC,
19641,2020-07-15,SC,
17213,2020-07-16,SC,
