,date,state,previous_day_admission_influenza_confirmed
32096,2020-03-25,SD,
32408,2020-03-26,SD,
23324,2020-03-27,SD,
27223,2020-03-28,SD,
33144,2020-03-29,SD,
29352,2020-03-30,SD,
34654,2020-03-31,SD,
34084,2020-04-01,SD,
25329,2020-04-02,SD,
29916,2020-04-03,SD,
29946,2020-04-04,SD,
30987,2020-04-05,SD,
23272,2020-04-06,SD,
31735,2020-04-07,SD,
29491,2020-04-08,SD,
25853,2020-04-09,SD,
29806,2020-04-10,SD,
23473,2020-04-11,SD,
34077,2020-04-12,SD,
27046,2020-04-13,SD,
34453,2020-04-14,SD,
25203,2020-04-15,SD,
32437,2020-04-16,SD,
31544,2020-04-17,SD,
24666,2020-04-18,SD,
29349,2020-04-19,SD,
26240,2020-04-20,SD,
30052,2020-04-21,SD,
28912,2020-04-22,SD,
22172,2020-04-23,SD,
14595,2020-04-24,SD,
18580,2020-04-25,SD,
15161,2020-04-26,SD,
16634,2020-04-27,SD,
18710,2020-04-28,SD,
19098,2020-04-29,SD,
18842,2020-04-30,SD,
18260,2020-05-01,SD,
22573,2020-05-02,SD,
19461,2020-05-03,SD,
13330,2020-05-04,SD,
11739,2020-05-05,SD,
18016,2020-05-06,SD,
22480,2020-05-07,SD,
14168,2020-05-08,SD,
22723,2020-05-09,SD,
15530,2020-05-10,SD,
23193,2020-05-11,SD,
22072,2020-05-12,SD,
14016,2020-05-13,SD,
13850,2020-05-14,SD,
14575,2020-05-15,SD,
22560,2020-05-16,SD,
22171,2020-05-17,SD,
21673,2020-05-18,SD,
13398,2020-05-19,SD,
14494,2020-05-20,SD,
22427,2020-05-21,SD,
14400,2020-05-22,SD,
16897,2020-05-23,SD,
13340,2020-05-24,SD,
20271,2020-05-25,SD,
21557,2020-05-26,SD,
14326,2020-05-27,SD,
13326,2020-05-28,SD,
14309,2020-05-29,SD,
17780,2020-05-30,SD,
18221,2020-05-31,SD,
21385,2020-06-01,SD,
20851,2020-06-02,SD,
22111,2020-06-03,SD,
18305,2020-06-04,SD,
16449,2020-06-05,SD,
18265,2020-06-06,SD,
17878,2020-06-07,SD,
19568,2020-06-08,SD,
15880,2020-06-09,SD,
18345,2020-06-10,SD,
17949,2020-06-11,SD,
20919,2020-06-12,SD,
22680,2020-06-13,SD,
13394,2020-06-14,SD,
19811,2020-06-15,SD,
15819,2020-06-16,SD,
22076,2020-06-17,SD,
18384,2020-06-18,SD,
17697,2020-06-19,SD,
17075,2020-06-20,SD,
14238,2020-06-21,SD,
21280,2020-06-22,SD,
13574,2020-06-23,SD,
15481,2020-06-24,SD,
15583,2020-06-25,SD,
18708,2020-06-26,SD,
20439,2020-06-27,SD,
21382,2020-06-28,SD,
22249,2020-06-29,SD,
18024,2020-06-30,SD,
20458,2020-07-01,SD,
17435,2020-07-02,SD,
13921,2020-07-03,SD,
19959,2020-07-04,SD,
13502,2020-07-05,SD,
23168,2020-07-06,SD,
14637,2020-07-07,SD,
21264,2020-07-08,SD,
18130,2020-07-09,SD,
21349,2020-07-10,SD,
16694,2020-07-11,SD,
17600,2020-07-12,SD,
20356,2020-07-13,SD,
