,date,state,previous_day_admission_influenza_confirmed
24874,2020-03-02,VA,
26525,2020-03-03,VA,
25176,2020-03-04,VA,
31595,2020-03-05,VA,
25277,2020-03-06,VA,
34126,2020-03-07,VA,
29837,2020-03-08,VA,
29403,2020-03-09,VA,
27284,2020-03-10,VA,
28702,2020-03-11,VA,
26437,2020-03-12,VA,
31868,2020-03-13,VA,
32851,2020-03-14,VA,
25674,2020-03-15,VA,
29106,2020-03-16,VA,
24098,2020-03-17,VA,
34061,2020-03-18,VA,
32563,2020-03-19,VA,
24127,2020-03-20,VA,
33019,2020-03-21,VA,
27903,2020-03-22,VA,
26022,2020-03-23,VA,
168,2020-03-24,VA,
31094,2020-03-25,VA,
24996,2020-03-26,VA,
25404,2020-03-27,VA,
166,2020-03-28,VA,
29477,2020-03-29,VA,
24225,2020-03-30,VA,
30972,2020-03-31,VA,
31377,2020-04-01,VA,
26034,2020-04-02,VA,
32090,2020-04-03,VA,
30709,2020-04-04,VA,
25223,2020-04-05,VA,
26048,2020-04-06,VA,
32620,2020-04-07,VA,
31668,2020-04-08,VA,
28054,2020-04-09,VA,
30492,2020-04-10,VA,
32873,2020-04-11,VA,
29266,2020-04-12,VA,
27803,2020-04-13,VA,
30875,2020-04-14,VA,
27552,2020-04-15,VA,
30202,2020-04-16,VA,
32193,2020-04-17,VA,
25339,2020-04-18,VA,
30073,2020-04-19,VA,
30432,2020-04-20,VA,
26432,2020-04-21,VA,
29570,2020-04-22,VA,
22815,2020-04-23,VA,
22825,2020-04-24,VA,
18089,2020-04-25,VA,
13370,2020-04-26,VA,
13437,2020-04-27,VA,
21257,2020-04-28,VA,
19952,2020-04-29,VA,
19473,2020-04-30,VA,
13612,2020-05-01,VA,
22925,2020-05-02,VA,
21402,2020-05-03,VA,
20496,2020-05-04,VA,
22568,2020-05-05,VA,
14111,2020-05-06,VA,
23135,2020-05-07,VA,
22555,2020-05-08,VA,
19696,2020-05-09,VA,
17557,2020-05-10,VA,
13544,2020-05-11,VA,
22676,2020-05-12,VA,
17102,2020-05-13,VA,
19223,2020-05-14,VA,
14023,2020-05-15,VA,
19238,2020-05-16,VA,
22858,2020-05-17,VA,
22234,2020-05-18,VA,
14044,2020-05-19,VA,
17712,2020-05-20,VA,
19153,2020-05-21,VA,
15763,2020-05-22,VA,
17570,2020-05-23,VA,
13667,2020-05-24,VA,
18360,2020-05-25,VA,
22160,2020-05-26,VA,
15869,2020-05-27,VA,
15130,2020-05-28,VA,
17488,2020-05-29,VA,
19654,2020-05-30,VA,
16605,2020-05-31,VA,
19384,2020-06-01,VA,
22617,2020-06-02,VA,
21489,2020-06-03,VA,
22598,2020-06-04,VA,
13313,2020-06-05,VA,
16559,2020-06-06,VA,
13454,2020-06-07,VA,
19016,2020-06-08,VA,
20379,2020-06-09,VA,
16549,2020-06-10,VA,
17318,2020-06-11,VA,
21244,2020-06-12,VA,
