,state,abbreviation,state_code,population
0,Alabama,AL,01,5024279
1,Alaska,AK,02,733391
2,Arizona,AZ,04,7151502
3,Arkansas,AR,05,3011524
4,California,CA,06,39538223
5,Colorado,CO,08,5773714
6,Connecticut,CT,09,3605944
7,Delaware,DE,10,989948
8,Florida,FL,12,21538187
9,Georgia,GA,13,10711908
10,Hawaii,HI,15,1455271
11,Idaho,ID,16,1839106
12,Illinois,IL,17,12812508
13,Indiana,IN,18,6785528
14,Iowa,IA,19,3190369
15,Kansas,KS,20,2937880
16,Kentucky,KY,21,4505836
17,Louisiana,LA,22,4657757
18,Maine,ME,23,1362359
19,Maryland,MD,24,6177224
20,Massachusetts,MA,25,7029917
21,Michigan,MI,26,10077331
22,Minnesota,MN,27,5706494
23,Mississippi,MS,28,2961279
24,Missouri,MO,29,6154913
25,Montana,MT,30,1084225
26,Nebraska,NE,31,1961504
27,Nevada,NV,32,3104614
28,New Hampshire,NH,33,1377529
29,New Jersey,NJ,34,9288994
30,New Mexico,NM,35,2117522
31,New York,NY,36,20201249
32,North Carolina,NC,37,10439388
33,North Dakota,ND,38,779094
34,Ohio,OH,39,11799448
35,Oklahoma,OK,40,3959353
36,Oregon,OR,41,4237256
37,Pennsylvania,PA,42,13002700
38,Rhode Island,RI,44,1097379
39,South Carolina,SC,45,5118425
40,South Dakota,SD,46,886667
41,Tennessee,TN,47,6910840
42,Texas,TX,48,29145505
43,Utah,UT,49,3271616
44,Vermont,VT,50,643077
45,Virginia,VA,51,8631393
46,Washington,WA,53,7693612
47,West Virginia,WV,54,1793716
48,Wisconsin,WI,55,5893718
49,Wyoming,WY,56,576851
50,District of Columbia,DC,11,689545
51,Puerto Rico,PR,72,3285874
